# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	1980
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Xahoápati and titled "Killing the panther".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "04 panther.pdf".

<line_4.1>	xakI xakI ti kagAIhiaI kagi ab-A-i-p-I * k o-A-i
<translation>	Then the panther pounced on my dog.

<line_4.7>	xaI ti gA xai-A kopaIyai xAaga-hA-I-a
<glossing>	then_RB 1_PRP speak_VB do_VB-thus panther_NN be_VB-COMPL_CERT-down-DECL
<translation>	Then I said that this is the work of a panther.

<line_4.8>	xaI kopaI ti gAi xakI-si xIs a-p-i * k ob-ab-A-o-p-iI-haI
<glossing>	then_RB panther_NN 1_PRP speak_VB here_RB-old_info animal_NN move_VB-down_vert-sudden * it_PRP see_VB-DUR-move-onto-vertical-INTENT-REL_CERT
<translation>	Then I said with respect to the panter, "Here is where it went. I think I see where it went".

<line_4.9>	mm ti gA xai-A xakI xIs a-o-b-ogA xai-A xai
<glossing>	vocal_pause_UH 1_PRP speak_VB do_VB-thus here_RB animal_NN move_VB-horizontal-down-on_raised_surface do_VB-thus be_in_VB
<translation>	Uh, I said "The jaguar then jumped up on the log".

<line_4.10>	giaibaI kopaIyai kAgi ab-A-i-p-A-hA-ii
<glossing>	dog_NN panther_NN companion_NN grab_VB-move-into-vertical-COMPLETIVE-COMPL_CERT-INTENT
<translation>	As for the dog, the panther pounced on the partner.

<line_4.11>	kopaIyai xIb-ai k oaI s aagA-hai
<glossing>	panther_NN hit_VB-do it_PRP die_VB animal_clitic_NN be_temporary_VB-REL_CERT
<translation>	The panther hit the dog and it had died.

<line_4.12>	xaI * k apA-g-ob-aO s ob-A-I-b-A-o-hoagAi-xii-gA xaI
<glossing>	then_RB * it_PRP expel_away_VB-COMPLETIVE-move_horizontal-COMPLETIVE animal_clitic_NN see_VB-down-into-on_up-down-onto-inchoative_action-continuative-incompletive do_VB
<translation>	Then when I had gunshot the jaguar, it began to fall.

<line_4.13>	kaapAsi xaI ti gAI kaapAsi * kaxAowI k ob-A-aA-ta-haI
<glossing>	Kaapasi_NNP then_RB 1_PRP speak_VB Kaapasi_NNP * basket_NN it_PRP throw_VB-causative-IMPERATIVE-repet-REL_CERT
<translation>	"KaapAsi", I said, "Throw a basket to me".

<line_4.14>	xI kagi-hoi xOb-A-aA-ta-haI * kagi ab-A-i-p-I
<glossing>	3fem_PRP basket_NN-thing throw_VB-causative-IMPERATIVE-repet-REL_CERT * basket_NN grab_VB-move-into-down-DECL
<translation>	Throw me a basket to put the dog into.

<line_4.15>	* sigi Ai-hI xaI bAOhoipaI s a-o xab-a-ab-o
<glossing>	* same_JJ be_VB-NOMLZR then_RB cat_NN animal_clitic_NN move_VB-horizontal grab_VB-cause-DUR-onto
<translation>	The same cat pounced on the dog.

<line_4.16>	kopaIai s a-o xab-a-ab-A-hA taIo xaI * xab a-ab-A-A taIo
<glossing>	panther_NN animal_clitic_NN move_VB-onto grab_VB-cause-DUR-COMPLETIVE-COMPL_CERT therefore_RB then_RB * NEG_RB cause_VB-DUR-move-COMPL_CERT therefore_RB
<translation>	The panther pounced on the dog, thus it caused him to be not.

<line_4.17>	xI kag igI a xiowi hi A-o-b-IsigI-o kag igI-a xiowi
<glossing>	animal_clitic_NN companion_NN com_IN be_in_VB there_proximate_RB 3_PRP move_VB-onto-down-same-directional basket_NN com_IN-DECL there_proximate_RB
<translation>	Put the jaguar into the same basket with the dog.

<line_4.18>	* hi a-o-b * is ig-I-o xab-a-ab-A taO hi agIa *-sO-xo-i
<glossing>	* 3_PRP move_VB-onto-down * animal_NN com_IN-into-directional set_VB-cause-DUR-move thus_RB 3_PRP therefore_RB *-completive-pass-immediate
<translation>	Put it in with the dog, he caused the dog to be not. He has therefore already died.

<line_4.19>	xIs agIa xI ig A-i-p-AO * kagi-hoi xo-A-o-b-A-hA xaI
<glossing>	animal_NN therefore_RB animal_clitic_NN com_IN move_VB-into-down-when * basket_NN-thing move_jerk_VB-move-onto-down-cause-COMPL_CERT then_RB
<translation>	When you have the jaguar parts in the basket, then put the basket on your head [with a tumpline -DLE].

<line_4.20>	giaibAi-hi xaI xa hoa-O xita Ogi xaaga-hA xai
<glossing>	dog_NN-NOMLZR then_RB cause_VB fire_NN-directional snout_NN big_JJ be_temp_VB-COMPL_CERT then_RB
<translation>	The dog then at night smelled him for sure then.

<line_4.21>	* kagi Igi-I bag-Ai-hI * kagi ab-A-boi-ta-A hI ab *-A
<glossing>	* companion_NN com_IN-into touch_VB-be_in-COMPL_CERT * companion_NN grab_VB-move-move_quickly_down-repet-move 3_PRP NEG_RB *-COMPL_CERT
<translation>	It is right on top of the dog. It pounced on the dog and killed him.

<line_4.22>	* kagi ab o-I-boI-ta-A-sog-ab-ai-sai xOO-agA
<glossing>	* companion_NN NEG_RB move_VB-into-move_quickly_down-repet-move-want-DUR-be_in-gerund_formation know_VB-be_temporary
<translation>	It is right on top of the dog. It pounced on the dog and killed him.

<line_4.23>	xaI ti gA xai-A
<glossing>	then_RB 1_PRP speak_VB do_VB-DECL
<translation>	Then I was talking, then Kaapasi he, animal, he ...

<line_4.24>	* kA ap-I-xoog-ab-i-sahaI * k apA-o-b-Ii-ga-At-i
<glossing>	* far_RB expel_away_VB-sudden-want-DUR-into-PROHIBITIVE * it_PRP expel_away_VB-onto-down-continuative-incompletive-IMPERATIVE-DECL
<translation>	Don't shoot from far away. Be shooting down on it.

<line_4.25>	xi ti boI-t-A-o-b-I-haI * xI k o-ab-A-o-b-A-hA taIo xIs *-agI-a
<glossing>	animal_clitic_NN 1_PRP move_quickly_down_VB-repet-move-onto-down-sudden-REL_CERT * animal_clitic_NN accomplishment die_VB-DUR-move-onto-down-DECL-COMPL_CERT thus_RB animal_NN *-logical_connective-COMPL_CERT
<translation>	I moved quickly down towards the action onto the trunk, I killed it, thus it changed died.

<line_4.26>	xI k o-ab-A-o-b-Ii-gA-hA taI-o xI k ahA-p-iI-hiab a-hA taI-o
<glossing>	animal_clitic_NN it_PRP die_VB-DUR-move-onto-down-continuative-incompletive-COMPL_CERT thus_RB-directional animal_clitic_NN accomplishment depart_VB-down-intend-NEG be_VB-COMPL_CERT thus_RB-directional
<translation>	It was dying and it wasn't able to leave therefore.

<line_4.27>	xigI xai xI k o-ab-A-o-b-A-A taI-o xaI k o-ab-A-o-b-Ii-g
<glossing>	okay_UH then_RB animal_clitic_NN it_PRP die_VB-DUR-move-onto-down-move-COMPL_CERT thus_RB-directional then_RB it_PRP die_VB-DUR-move-onto-down-continuative-incompletive
<translation>	OK, then, it thus came to die. Then it was coming to die.

<line_4.28>	xaI kaapAsi xapA-o-b-I-sAi-hI
<glossing>	then_RB Kaapasi_NNP expel_rapidly_away_VB-onto-down-sudden-gerundive-comment
<translation>	Then Kaapasi, OK, he shot it.

<line_4.29>	xaI s agIa k o-Ab-A-o-b-A-I s agIa sit-o-A-op-AO k ahA-pi-tA
<glossing>	then_RB animal_clitic_NN therefore_RB it_PRP die_VB-DUR-move-onto-down-move-comment animal_clitic_NN therefore_RB stand_VB-move_onto-move-go-when it_PRP go_VB-down-repet
<translation>	Then the animal thus changed and was dying. When the animal stood up it went away again.

<line_4.30>	k o-Ab-A-o-b-AI-saI
<glossing>	it_PRP die_VB-DUR-move-onto-down-do-gerundive
<translation>	Its dying was lingering.

<line_4.31>	ti xagiA k apa-Ig-A-o-b-I-ta-haI i toI hi-O xI Ai hI xaI *
<glossing>	1_PRP therefore_RB it_PRP expel_rapidly_away_VB-com-move-onto-down-sudden-repet-REL_CERT animal_clitic_NN elbow_NN 3_PRP-directional animal_clitic_NN bone_NN 3_PRP hurt_JJ *
<translation>	I therefore shot it again, breaking its elbow.

<line_4.32>	ti I k apa-Ig-A-o-b-I-ta-haI xaI ti giA k ap-A-o-b-I-so
<glossing>	1_PRP animal_clitic_NN it_PRP expel_rapidly_away_VB-com-move-onto-down-sudden-repet-REL_CERT then_RB 1_PRP therefore_RB it_PRP expel_rapidly_away_VB-move-onto-down-sudden-when
<translation>	Then I shot it again, I therefore shot it again then.

<line_4.33>	k o-ab-Ai k o-ab-A-ig-A-o-b-i-haA xaI xis ai-ta Ogi *
<glossing>	it_PRP die_VB-DUR-do it_PRP die_VB-DUR-move-com-move-onto-down-sudden-COMPL_CERT then_RB animal_NN bone_NN-projection strong_JJ *
<translation>	It came to die, it came to die; it had thick fur.

<line_4.34>	xI k oa-iI hi ab a-A taI-o gIi-sai xis ai-ta Ogi *
<glossing>	animal_clitic_NN it_PRP die_VB-INTENT 3_PRP NEG_RB do_VB-move therefore_RB-directional there_RB-NOMINALIZER animal_NN bone_NN-projection strong_JJ *
<translation>	It intended thus to die. He did not move, therefore. His fur/essence is strong.

<line_4.35>	k o-aI-hiab-i-kwI gAi xaowi-I xaowi gIai k ob-ai-hiab-i-kwI
<glossing>	it_PRP die_VB-do-NEG-transition_vowel-temporary_quality there_RB foreigner_NN-directional foreigner_NN 2_PRP it_PRP see_VB-do-NEG-transition_vowel-temporary_quality
<translation>	He had not died. I said "That foreigner, you Dan the foreigner, have not seen a jaguar dead."

<line_4.36>	xaI pixAi * xI k a-ap-I-kwI pixAi-xII-g-a
<glossing>	then_RB now_RB * animal_clitic_NN it_PRP move_VB-move_away-transition_vowel-temporary_quality now_RB-continuative-incompletive-DECL
<translation>	Then right away, I moved it, right then.

<line_4.37>	xaI bAOhoipaI so xisaitaOgi sowA k ob-ai
<glossing>	then_RB cat_NN only_FW Steve_NNP already_RB it_PRP see_VB-do
<translation>	Then cats, Xisaitaógi not DLE has already seen.

<line_4.38>	xakI kagAIhiAI * * so kopaIyai xisaitaOgi hi I k ob-ai-hiab-ii-g-A
<glossing>	here_RB jaguar_NN * * only_FW panther_NN Steve_NNP 3_PRP animal_clitic_NN it_PRP see_VB-do-NEG-continuative-incompletive-DECL
<translation>	Here jaguars [marked-he-is] he has seen, only panthers the foreigner not DLE has not yet seen.

<line_4.39>	pixAi soxOA hiaitIihI k ap-I-kwI pixAi-xIIga
<glossing>	now_RB already_RB piraha_NN it_PRP expel_rapidly_away_VB-transition_vowel-temporary_quality now_RB-EMPH
<translation>	Now, the Pirahãs have just now shot a jaguar.

<line_4.40>	xaI hiaitIihI baai-owI * baOhoipaI kopaIyaihi xigIai
<glossing>	then_RB piraha_NN fear_NN-INTENS_perm_qual * cat_NN panther_NN okay_UH
<translation>	Then the Pirahãs are intensely afraid of panthers. The end.
