# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Itaibigai and titled "Martins visit".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "13 MARTINS VISIT.pdf".

<line_1>	isaitaOgi ao gA xai-sai-hIai batIo hi ahoa-O ai-sahaI
<translation>	Steve said, "The Brazilian sleeps."

<line_29>	batIo gIxai piahoi *-koI
<glossing>	Martins_NNP 2_PRP drunk_JJ *-EMPH
<translation>	Martins, you are drunk!

<line_30>	* his-O iig-Op-aAti
<glossing>	* day_NN-LOC carry_VB-go-IMPERATIVE
<translation>	You go by day!

<line_31>	pai saIbA *-kaahaA
<glossing>	logs_NN many_DT *-important_info
<translation>	There are many logs.

<line_32>	* ahoagAa hoI-koI
<glossing>	* evening_NN become_VB-EMPH
<translation>	It's nearly becoming night.

<line_33>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He sleeps.

<line_34>	* ait-aI-gA-hoI-xiig-Abai-hI
<glossing>	* sleep_VB-do-??-become-continuative-frustrated_initiation-INTER
<translation>	He is nearly asleep?

<line_35>	his-O ao hoaxA poogaIbi
<glossing>	day_NN-LOC foreigner_NN search_VB bananas_NN
<translation>	By day he will look for bananas.

<line_36>	ao aItii
<glossing>	foreigner_NN sleep_VB
<translation>	He sleeps.

<line_37>	ao aigIa aitA-hoI-xiI-koI
<glossing>	foreigner_NN thus_RB sleep_VB-move-INTENT-EMPH
<translation>	Yes, the Brazilian intends to sleep.

<line_38>	hi gA-sai ao aItii
<glossing>	3_PRP speak_VB-old_info foreigner_NN sleep_VB
<translation>	He Isabi said, "The Brazilian sleeps."

<line_39>	his-O ao hoaxA
<glossing>	day_NN-LOC foreigner_NN search_VB
<translation>	By day Steve will look for them bananas.

<line_40>	aigIa ti pabagA-haI
<glossing>	thus_RB 1_PRP almost_go_VB-REL_CERT
<translation>	Well I the speaker almost went on board.

<line_41>	hi gA-sai ao aItii
<glossing>	3_PRP speak_VB-old_info foreigner_NN sleep_VB
<translation>	Isabi said, "He sleeps."

<line_42>	hi gA-sai-hIai ao aItii
<glossing>	3_PRP speak_VB-old_info-hearsay foreigner_NN sleep_VB
<translation>	He Isabi said, "intends to sleep."

<line_43>	hi gA-sai-hIai isaitaOgi * aitA-hoI-xiig-A ti batIo
<glossing>	3_PRP speak_VB-old_info-hearsay Steve_NNP * sleep_VB-move-continuative-COMPL_CERT 1_PRP Martins_NNP
<translation>	Steve said, "Sleep here with me Martins,"

<line_44>	gIxai pia hoI-koI
<glossing>	2_PRP drunk_JJ become_VB-EMPH
<translation>	You are drunk.

<line_45>	boitOhoi iApia bAob-i-sahaxaI
<glossing>	boat_NN logs_NN hit_VB-transition_vowel-PROHIBITIVE
<translation>	The boat must not hit logs.

<line_46>	hi gA-sai-hIai * aitA-iIg-A-hoAg-aAti * boitOhoi-boO aitA-bOg-AhA taIo
<glossing>	3_PRP speak_VB-old_info-hearsay * sleep_VB-continuative-DECL-become-IMPERATIVE * boat_NN-front sleep_VB-cause-?? therefore_RB
<translation>	He Steve said, "Go to sleep, so he went to sleep in the front of the boat."

<line_47>	baI hi aigIa boitOhoi-boO aba-b-og-Abai-hI
<glossing>	Bai_NNP 3_PRP thus_RB boat_NN-front enter_VB-move_down-want-frustrated_initiation-INTER
<translation>	Bai nearly went into the front of the boat.

<line_48>	* ao apoI aba-gA-hoa-gAha taIo
<glossing>	* foreigner_NN on_top_of_IN enter_VB-??-move-?? therefore_RB
<translation>	He entered, however, on top of the Brazilian.

<line_49>	hi aigIa gA xai-sai hi aigIa hi gA-sai ao aItIi
<glossing>	3_PRP thus_RB speak_VB do_VB-old_info 3_PRP thus_RB 3_PRP speak_VB-old_info foreigner_NN sleep_VB
<translation>	He Isabi said, "Yes" he said, "He sleeps."

<line_50>	* aitA-hoI
<glossing>	* sleep_VB-begin
<translation>	He will sleep.

<line_51>	* aitA-hoI-xiig-aAti
<glossing>	* sleep_VB-move-continuative-IMPERATIVE
<translation>	He will still sleep!

<line_52>	Xoi tio abOp-i-kaAhaA
<glossing>	sky_NN black_JJ arrive_VB-transition_vowel-important_info
<translation>	It is getting dark.

<line_53>	hi gA xai hi ai batIo ao aOpa xai
<glossing>	3_PRP speak_VB do_VB 3_PRP do_VB Martins_NNP foreigner_NN angry_JJ do_VB
<translation>	He Isabi said, "Martins is angry."

<line_54>	hi iIg-Op-Abai-xai
<glossing>	3_PRP carry_VB-go-frustrated_initiation-do
<translation>	He is nearly to leave.

<line_55>	hi aigIa gA xai ao bagi Aot Aop-Abai-sai-hIai
<glossing>	3_PRP thus_RB speak_VB do_VB foreigner_NN customer_NN angry_JJ arrive_VB-frustrated_initiation-old_info-hearsay
<translation>	He Isabi said, "Steve's customer nearly becomes angry."

<line_56>	Xisaabi hi g-sai ao aItii
<glossing>	Xisaabi_NNP 3_PRP speak_VB-old_info foreigner_NN sleep_VB
<translation>	Isabi said, "He will sleep there."

<line_57>	* aiti gaI * aitA-iIg Op-AhA gabai-sai-hIai
<glossing>	* sleep_VB there_RB * sleep_VB-continuative go_VB-COMPL_CERT afterwards_RB-old_info-hearsay
<translation>	He will sleep after he goes there.

<line_58>	batIo ao bagI ao gA-sai * ait-aI-gA-hoI-xiig-A
<glossing>	Martins_NNP foreigner_NN customer_NN foreigner_NN speak_VB-old_info * sleep_VB-do-??-move-continuative-DECL
<translation>	Steve said to his customer, stay and sleep.

<line_59>	ao gA-sai-hIai * his-O iig-Aop-i-haI
<glossing>	foreigner_NN speak_VB-old_info-hearsay * day_NN-LOC carry_VB-go-transition_vowel-REL_CERT
<translation>	He Steve said, "Go by day."

<line_60>	boitOhoi boitOhoi iApai saIbA *-kaAhaA
<glossing>	boat_NN boat_NN wood_NN many_DT *-??
<translation>	There are lost of logs.

<line_61>	boitOhoi i apAob-i-sai-hIai
<glossing>	boat_NN 3_PRP hit_VB-transition_vowel-old_info-hearsay
<translation>	The boat might hit the logs.

<line_62>	aigIa * aitIi
<glossing>	thus_RB * sleep_VB
<translation>	Yes, sleep.

<line_63>	isaitaOgi ao bagi ao gA-sai-hIai ao aigI aitA-hoi-xiI-haI
<glossing>	Steve_NNP foreigner_NN customer_NN foreigner_NN speak_VB-old_info-hearsay foreigner_NN thus_RB sleep_VB-begin-INTENT-REL_CERT
<translation>	Steve said to his customer, you must sleep.

<line_64>	ao aIta-op-aixi-xai
<glossing>	foreigner_NN sleep_VB-go-DECL-do
<translation>	You go to sleep.

<line_65>	hi gA-sai ao aItai
<glossing>	3_PRP speak_VB-old_info foreigner_NN sleep_VB
<translation>	He Steve said, "Sleep."

<line_66>	* his-O iig-Aop-aAti
<glossing>	* day_NN-LOC carry_VB-go-IMPERATIVE
<translation>	By day you go.

<line_67>	ao piahoi *-koI
<glossing>	foreigner_NN drunk_JJ *-EMPH
<translation>	The Brazilian is drunk.

<line_68>	ao piahoi *-xi-sai-hIai-isai
<glossing>	foreigner_NN drunk_JJ *-??-old_info-hearsay-??
<translation>	Yes, he is drunk.

<line_69>	ao aItii-xai
<glossing>	foreigner_NN sleep_VB-do
<translation>	The Brazilian sleeps.

<line_70>	ao aigIa aitA-hoI
<glossing>	foreigner_NN thus_RB sleep_VB-move
<translation>	Yes, he will sleep.

<line_71>	gIxaI piahoI *
<glossing>	2_PRP drunk_JJ *
<translation>	You are drunk!

<line_72>	ao AabahIo *-xi-sai-hIaga
<glossing>	foreigner_NN crazy_JJ *-??-old_info-hearsay
<translation>	The Brazilian is out of his head.

<line_73>	hi gA-sai ao Aaba hoa-A-ti
<glossing>	3_PRP speak_VB-old_info foreigner_NN crazy_JJ talk_VB-??-??
<translation>	He Isabi says, "He speaks out of his head."

<line_74>	ao AabahIo *-xi
<glossing>	foreigner_NN crazy_JJ *-??
<translation>	He is out of his head.

<line_75>	ao bagi ahoa-i-xi-sai-hIai-xi
<glossing>	foreigner_NN customer_NN talk_VB-??-??-old_info-hearsay-??
<translation>	Steve's customer speaks that way.

<line_76>	* piahoA *-haxai
<glossing>	* drunk_JJ *-*
<translation>	He is drunk.

<line_77>	* pi ti-baI batIo
<glossing>	* liquid_NN drink_VB-INTENS Martins_NNP
<translation>	Martins drinks lots of whiskey.

<line_78>	hi gA-sai ao aItIi-xai
<glossing>	3_PRP speak_VB-old_info foreigner_NN sleep_VB-do
<translation>	He Isabi, said, "He sleeps."

<line_79>	isaitaOgi ao bagi ao gA-sai-hIai aOxiai ao gA-sai-hIai gIx aitA-hoI-xiig-aAti
<glossing>	Steve_NNP foreigner_NN customer_NN foreigner_NN speak_VB-old_info-hearsay there_RB foreigner_NN speak_VB-old_info-hearsay 2_PRP sleep_VB-move-continuative-IMPERATIVE
<translation>	Steve said to his customer, You will stay and sleep there!

<line_80>	his-O batIo gIxai piahoi *-koI
<glossing>	day_NN-LOC Martins_NNP 2_PRP drunk_JJ *-EMPH
<translation>	By day ... Martins you are drunk.

<line_81>	ao aItIi ao aItI-sai
<glossing>	foreigner_NN sleep_VB foreigner_NN sleep_VB-old_info
<translation>	He sleeps with us.

<line_82>	* aitA-hoI-xiig-aAti
<glossing>	* sleep_VB-move-continuative-IMPERATIVE
<translation>	You will stay and sleep!

<line_83>	hi aigIa ao ahoao o aIsigIai ao bagi Aba-xAagI
<glossing>	3_PRP thus_RB foreigner_NN night_NN sky_NN same_JJ foreigner_NN customer_NN go_away_VB-nearly
<translation>	Well, that same night, Steves customer nearly went away.
