# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	2009
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	Sentences involving the usage of number words by a speaker named Kaioá.
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this text is named "03 Sept29AMFX3.pdf".

<line_1>	tIi baAbi *-ha-saa-go-Ai
<translation>	There are foreigners in another jungle.

<line_14>	hi gAI-sai * kob-ai-soog-abagaI hiaitIihI
<glossing>	3_PRP speak_VB-old_info * see_VB-do-want-frustrated_initiation Piraha_NN
<translation>	They say we want to see the Pirahãs.

<line_15>	xai saaIbasi * kob-ai-sai
<glossing>	thus_RB camera_NN * see_VB-do-old_info
<translation>	Thus into the camera they look.

<line_16>	xai gixai xaahoai-so * * xigi xoi kapioxiai *
<glossing>	thus_RB 2_PRP talk_VB-COMPLETIVE * * com_IN jungle_NN another_DT *
<translation>	Thus when you finish speaking, I will take it to another jungle for them to see.

<line_17>	xigio-awaxai
<glossing>	okay_UH-??
<translation>	OK?

<line_18>	xigIai
<glossing>	okay_UH
<translation>	OK

<line_19>	xai xigIai * xAaga xaI ti gAI-sai xigIai * xAaga
<glossing>	well_RB okay_RB * be_VB thus_RB 1_PRP speak_VB-old_info okay_RB * be_VB
<translation>	Well, OK then. I speak. OK then.

<line_20>	xaoOii xo Ai
<glossing>	foreigners_NN jungle_NN be_VB
<translation>	Foreigners in the other jungle?

<line_21>	tIi hi aIbA-sigIi kob-ai-soog-abagaI
<glossing>	1_PRP 3clitic_PRP many_DT-??EMPH see_VB-do-want-frustrated_initiation
<translation>	I a whole lot want to see.

<line_22>	hi hOihi hi hOihi Ai gAihi
<glossing>	3_PRP one_few_CD 3_PRP one_few_CD be_VB here_RB
<translation>	There is a small amount here.  There is a small amount here.

<line_23>	paOxai hi ob-ai-sog-abagaI hi aIbA-sigIi
<glossing>	PaOxai[Dan]_NNP 3_PRP see_VB-do-want-frustrated_initiation 3clitic_PRP many_JJ-??EMPH
<translation>	Paóxai wants to see.  A whole lot of people.

<line_24>	xai hi aIbA-sigIi hi kob-a-soog-abagaI
<glossing>	thus_RB 3clitic_PRP many_JJ-??EMPH 3_PRP see_VB-do-want-frustrated_initiation
<translation>	Thus a whole lot he wants to see.

<line_25>	hi aIbA-sigIi hi ob-ai-soog-abaI gIi
<glossing>	3clitic_PRP many_JJ-??EMPH 3_PRP see_VB-do-want-frustrated_completion there_RB
<translation>	A really whole lot. He wants to see. Here.

<line_26>	xooopai hi ob-a-soog-abaI hi aIbA-sigIi
<glossing>	Dan_NNP 3_PRP see_VB-do-want-frustrated_completion 3_PRP many_JJ-??EMPH
<translation>	Xooopai he wants to see. A whole lot of foreingers.

<line_27>	xai pii ai *-kOoi
<glossing>	thus_RB water_NN shallow_JJ *-EMPH
<translation>	Yes. The water is shallow.

<line_28>	boitOhoi xi ig-O *-p-I-hiabi-koI
<glossing>	boat_NN 3fem_PRP com_IN-LOC *-up-proximate-NEG-EMPH
<translation>	The boat cannot go up there.

<line_29>	xai boitOhoi k ah-A-p-i-hiaba-A
<glossing>	thus_RB boat_NN it_PRP go_VB-vertical-up-proximate-NEG-COMPL_CERT
<translation>	Thus the boat will not go.

<line_30>	xao hi ob-a-soog-abaI hi aIbA-sigIii hi aIbA-sigIii
<glossing>	foreigner_NN 3_PRP see_VB-do-want-frustrated_completion 3cltic_PRP many_JJ-??EMPH 3clitic_PRP many_JJ-??EMPH
<translation>	The foreigners want to see a lot. A lot.

<line_31>	hi hOihi ai gAi xai hi hOihi ai gAi pasabIi
<glossing>	3_PRP one_few_CD be_VB here_RB thus_RB 3_PRP one_few_CD be_VB here_RB PassarBem_NNP
<translation>	There are only a few here.

<line_32>	xaoOi hi xaokasabIi pasabIi gAi
<glossing>	foreigners_NN 3_PRP to_name_VB PassarBem_NNP here_RB
<translation>	Foreigners he calls this place Passar Bem.

<line_33>	xaI hoagahIai hiatIi hi xaaIbA ai xaI * xaaIbA ai
<glossing>	thus_RB PassarBem_NNP Piraha_NN 3_PRP many_JJ be_VB thus_RB * many_JJ be_VB
<translation>	Thus at Hoagahíai Passar Bem there are many Pirahãs. Thus a lot.

<line_34>	hoagahaIai-xIga * xai xaI hoagahIai-xIga * xaaIbA ai
<glossing>	PassarBem_NNP-EMPH * be_VB thus_RB PassarBem_NNP-EMPH * many_JJ be_VB
<translation>	At Hoagahíai. Thus at Hoagahíai there are many.

<line_35>	hoagahIai xai gIxai * soxOA
<glossing>	HoagahIai_NNP thus_RB 2_PRP * already_RB
<translation>	You already know Hoagahíai.

<line_36>	xaI tI xabaxAI hi ahoaI topaaga xaI gAi tIi
<glossing>	thus_RB 1_PRP alone_RB 3_PRP talk_VB recorder_NN thus_RB here_RB 1_PRP
<translation>	Thus I alone speak to the recorder. Thus here. Me.

<line_37>	* kaba *-hA * xaaIba-hiaba *-hA gAi
<glossing>	* NEG_RB *-COMPL_CERT * many_JJ-NEG *-COMPL_CERT here_RB
<translation>	There is nothing. Not many here.

<line_38>	so tIi xabaA-ti
<glossing>	only_FW 1_PRP be_VB-??
<translation>	I stay.

<line_39>	xioitabIi * gAi
<glossing>	XioitabIi_NNP * here_RB
<translation>	Xioitabíi his wife here.

<line_40>	bahaio pIaii
<glossing>	Bahaio_NNP now_RB
<translation>	Bahaio his child also.

<line_41>	xaI hoaOwIi
<glossing>	thus_RB Hoaowii_NNP
<translation>	Thus Hoaowii shotgun: name of another of his children.

<line_42>	tiiowi pIaii xaI tiiowi saiu_ai_morar goO
<glossing>	Tiiowi_NNP now_RB thus_RB Tiiowi_NNP went_to_live_there_FW there_RB
<translation>	Thus Shit the name of another of his children went to live there goo is also used as a question word.

<line_43>	xabaxAigio kaahai * kaba *-hA xaaIba-si hOi hOihi
<glossing>	alone_RB Kaahai_NNP * NEG_RB *-COMPL_CERT many_JJ-NOMINALIZER one_few_CD one_few_CD
<translation>	Alone. At Kaahai there is not a lot. One. Just one.

<line_44>	xaI * palhal hOii * pIaii agora gAihi ti pIaii hOihi hOihi kaba-hA xaaIba-hiaba
<glossing>	thus_RB * Palhal_NNP one_few_CD * now_RB now_FW here_RB 1_PRP now_RB one_few_CD one_few_CD NEG-COMPL_CERT many_JJ-NEG
<translation>	Thus at the place called Palhal there are few. Now, here. I also. Few. Few. None. Not many.

<line_45>	agora * hoagahIai xaaIbA ai hiaitIihI
<glossing>	now_FW * HoagahIai_NNP many_JJ be_VB Piraha_NN
<translation>	Now at Hoagahíai there are many Pirahã.

<line_46>	xai hiaitIihI hi aaIbA ai hiaitIihI hoagahIai-xiga xai gAihi
<glossing>	thus_RB Piraha_NN 3_PRP many_JJ be_VB Piraha_NN Hoagahiai_NNP-EMPH thus_RB here_RB
<translation>	Thus Pirahã are many Pirahã. Hoagahiai at. Thus here.

<line_47>	hoihiigIai hi hoihiigIai hi
<glossing>	Flechal_NNP ?? Flechal_NNP ??
<translation>	Hoigiigiai lit: at the place of arrows or arrow shaft material here. Hoihiigíai here.

<line_48>	xaoOi xaokasabIi flechal xai hiaitIihI xaaIbA ai pIaii
<glossing>	foreigners_NN to_name_VB Flechal_NNP thus_RB Piraha_NN many_JJ be_VB now_RB
<translation>	Foreigners call this Flechal at the place of arrows or arrow shaft material.

<line_49>	hoihiigIai hoihiigIai pIaii hi aaIbA ai
<glossing>	Hoigiigiai_NNP Hoigiigiai_NNP now_RB 3_PRP many_JJ be_VB
<translation>	Hoigiigiai. Hoigiigiai also. Many.

<line_50>	xaI hiaitIihI xoI hi aokasAi hoihiigIai
<glossing>	thus_RB Piraha_NN jungle_NN 3_PRP to_name_VB HoihiigIai_NNP
<translation>	Thus Pirahã, jungle 'place' calls Hoihiigíai.

<line_51>	xaI flechal xaI xaoOi xao hi xaokasabIi
<glossing>	thus_RB Flechal_FW thus_RB foreigners_NN foreigner_NN 3_PRP to_name_VB
<translation>	Thus, Flechal. Thus foreigners foreigner prefix he calls it.

<line_52>	xai hiaitIihI hi xaokasabIi hoihiigIai hoihiigIai
<glossing>	thus_RB Piraha_NN 3_PRP to_name_VB HoihiigIai_NNP Hoihiigiai_NNP
<translation>	Thus the Pirahãs call it Hoihiigíai. Hoihiigiai.

<line_53>	gAihi hoagaihIai-hi hiaitIihI mais_pra_ca hoagaihIai-hI
<glossing>	here_RB Hoagaihiaii-?? Piraha_NN more_towards_here_FW Hoagaihiaii_NP-??
<translation>	Here. At Hoagaihiaii there are Pirahã. More towards here. Hoagaihiaihi.

<line_54>	xaI * xaaIbA ai hiaitIihI hoagaihIai hoagaihIai
<glossing>	thus_RB * many_JJ be_VB Piraha_NN Hoagaihiai_NNP Hoagaihiaia_NNP
<translation>	There are many Pirahãs at Hoagaihiaihi. At Hoagaihiaihi.

<line_55>	xaI gIxai saabi hoagaihIai
<glossing>	thus_RB 2_PRP know_FW Hoagaihiai_NNP
<translation>	Thus you already know Hoagaihiai.

<line_56>	xaI tI igAI-sai hi ahoAi topaaga-hai agora
<glossing>	thus_RB 1_PRP speak_VB-old_info 3_PRP talk_VB recorder_NN-?? now_FW
<translation>	Thus I say. I speak to the recorder now.

<line_57>	gAi kabagAi xabaxAIgio * xai * xabaxAIgio * kabagai
<glossing>	here_RB Kabagai_NNP alone_RB * thus_RB * alone_RB * Kabagai_NNP
<translation>	Here Kabagai Pirahã woman lives alone not really - her husband lives with her. Thus alone Kabagai.

<line_58>	* hiaiitii kaba * kapiOxiai
<glossing>	* Piraha_JJ NEG * another_DT
<translation>	There are no Pirahãs. No others.

<line_59>	xai quase gAi gAi passabem xibigai
<glossing>	thus_RB almost_FW here_RB here_RB PassarBem_NNP thick_strong_JJ
<translation>	Thus almost here. Here at Passar Bem, at the side of.

<line_60>	xaaIbAai hI ai kOi-hi quase xaI hi ai
<glossing>	many_JJ 3clitic_PRP be_VB one_few_CD-COMPL_CERT almost_FW thus_RB 3clitic_PRP be_VB
<translation>	Many there are few. Almost there are a lot.

<line_61>	xai xaaIbAai hi xoi hi ai xai hI baagi bAagiso xaagA gAi bAagiso
<glossing>	thus_RB many_JJ 3_PRP jungle_NN 3clitic_PRP be_VB thus_RB here_RB many_JJ many_JJ be_VB here_RB many_JJ
<translation>	Thus many at this jungle thus there. Many. Many are here. Many.

<line_62>	xaI tI * pIai hOi-ho *
<glossing>	thus_RB 1_PRP * now_RB one_few_CD-?? *
<translation>	Thus I also am at one.

<line_63>	xaI gAihi tiapAobii pIaii * hOi xaaIba-hiaba
<glossing>	thus_RB here_RB Bernardo_NNP now_RB * one_few_CD many_JJ-NEG
<translation>	Thus Bernardo also here. One. Not many.

<line_64>	xaI tiapAobii xaaIba *-hiaba gAihi * kab ai
<glossing>	thus_RB Bernardo_NNP many_JJ *-NEG here_RB * NEG be_VB
<translation>	Thus Bernardo where he lives there aren't many. Here. No one/nothing.

<line_65>	hoagaihiai xaaIbAi hiaitIihI xai hoagaihIai xaaIbAi *
<glossing>	Hoagaihiai_NNP many_JJ Piraha_NN thus_RB HoagaihIai_NNP many_JJ *
<translation>	At Hoagaihiai. There are many Pirahã. Thus at Hoagaihiai there are many.

<line_66>	gAi hoihigiai pIaii * xaaIbA ai hiaitIi
<glossing>	here_RB Hoihigiai_NNP now_RB * many_JJ be_VB Piraha_NN
<translation>	Here at Flechal also. There are many. Pirahãs.

<line_67>	CoatA pIaii xaaIbAai hiatIi xaaIbAai tiobAhai xaI xai *-xIga xaaIbAai coatA
<glossing>	Coata_NNP now_RB many_JJ Piraha_NN many_JJ child_NN thus_RB thus_RB *-EMPH many_JJ CoatA_NNP
<translation>	At Coatá also. There are many Pirahãs. Many children. Thus there. There are many at Coata.

<line_68>	xaI paagagIsai nome xaoOi gIxai soxOA conhece xai
<glossing>	thus_RB Coata_NNP name_FW foreigner_NN 2_PRP already_RB know_FW thus_RB
<translation>	Thus. Paagagisai what we call the foreign name, Coatá You already know it.

<line_69>	xaI CoatA mais_para_cA CoatA xai coatA xaaIbAai *
<glossing>	thus_RB Coata_NNP more_towards_here_FW Coata_NNP thus_RB CoatA_NNP many_JJ *
<translation>	Thus Coatá, more towards here. Coatá. Thus at Coatá many.

<line_70>	xaI tI xahoaI xaoOi
<glossing>	thus_RB 1_PRP talk_VB foreigner_NN
<translation>	Ok. I am going to talk to the foreigner Randall.

<line_71>	xigIai
<glossing>	okay_UH
<translation>	Okay.
