# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Tisahai and titled "Itaisoi hunts for tapir".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "12 ITAISOI HUNTS FOR TAPIR.pdf".

<line_12.1>	kabogI hi gA-sai-hIai toIao * iti ohoa-ab-aAti taoIhiai
<translation>	Itaisoi goes alone in the canoe.

<line_12.19>	* abax-Oa Ik Aob-A
<glossing>	* alone_RB-?? it_PRP look_for_VB-DECL
<translation>	Alone she will look for tapir.

<line_12.20>	hi gA-sai * abaxaIgio Ik oho-ab abOp-aI-haI I kabatiI
<glossing>	3_PRP speak_VB-old_info * alone_RB it_PRP eat_VB-DUR return_VB-do-REL_CERT animal_NN tapir_NN
<translation>	She said, "Only I will eat the tapir on returning."

<line_12.21>	hi aigIa kabOgI hi Isao aIt aop-Isai
<glossing>	3_PRP thus_RB Kabogi_NNP 3_PRP tracks_NN tell_VB move_VB-old_info
<translation>	Yes, Kabogi told her of the tracks.

<line_12.22>	hi gA-sai * sapa gAob-ab * abOp-aI-xiI-haI itaIsoi
<glossing>	3_PRP speak_VB-old_info * head_NN hold_VB-DUR * return_VB-do-INTENT-REL_CERT Itaisoi_NNP
<translation>	She said I will hold on to the head as I return.

<line_12.23>	kabOgi hi aigIa hi ab-iI
<glossing>	Kabogi_NNP 3_PRP thus_RB 3_PRP remain_VB-INTENT
<translation>	Yes Kabogi intends to stay here.

<line_12.24>	* hiab Aob Xoi-koI
<glossing>	* NEG_RB look_for_VB go_VB-EMPH
<translation>	He won't hunt for it.

<line_12.25>	Xoi hi aigIa gA xai-sai Xoi hi gA xai-sai-hIai hi abAs Xoi xaI-i-hI
<glossing>	Oi_NNP 3_PRP thus_RB speak_VB do_VB-old_info Oi_NNP 3_PRP speak_VB do_VB-old_info-hearsay 3_PRP people_NN jungle_NN do_VB-??-INTER
<translation>	Oi said, "Are there people in the jungle?"

<line_12.26>	* aI-hiaba
<glossing>	* sleep_VB-NEG
<translation>	I won't sleep.

<line_12.27>	* abOp-iI-haI
<glossing>	* return_VB-INTENT-REL_CERT
<translation>	I intend to return.

<line_12.28>	itaIsoi hi gA-sai Xoi hi bai aag-oI
<glossing>	Itaisoi_NNP 3_PRP speak_VB-old_info Oi_NNP 3_PRP fear_NN be_VB-INTER
<translation>	Itaisoi said, "Is Oi afraid?"

<line_12.29>	hi aigIa Is aOabi-hiab-i-haI is ai-hIaga
<glossing>	3_PRP thus_RB animal_NN wait_VB-NEG-transition_vowel-REL_CERT animal_NN be_VB-hearsay
<translation>	Well he would not wait for the tapir.

<line_12.30>	hi aigIa abaxa-O abOp-aI
<glossing>	3_PRP thus_RB alone_RB-LOC return_VB-do
<translation>	Well then I'll go alone.

<line_12.31>	hi gA-sai hi baI ai
<glossing>	3_PRP speak_VB-old_info 3_PRP fear_NN do_VB
<translation>	She said, "He is afraid."

<line_12.32>	hi I hoai-hiab-i-haI-isaagA
<glossing>	3_PRP animal_NN give_VB-NEG-transtion_vowel-REL_CERT-??
<translation>	He would not wait for the tapir.

<line_12.33>	hi aigIa AbaxaI boi-koI
<glossing>	3_PRP thus_RB alone_RB move_VB-EMPH
<translation>	Well she will go alone.

<line_12.34>	hi gA-sai kabOgI * hi bigAb-i-haI itaIsoi
<glossing>	3_PRP speak_VB-old_ifo Kabogi_NNP * 3_PRP steal_VB-transition_vowel-REL_CERT Itaisoi_NNP
<translation>	Kabogi said, "I will steal from Itaisoi."

<line_12.35>	hi gA-sai kabOgI * hi bigAb-i-haI itaIsoi
<glossing>	3_PRP speak_VB-old_info Kabogi_NNP * 3_PRP steal_VB-transtion_vowel-REL_CERT Itaisoi_NNP
<translation>	Kabogi said, "I will steal from Itaisoi."

<line_12.36>	itaIsoi hi abaxa-O kohoi-sog-iI
<glossing>	Itaisoi_NNP 3_PRP alone_RB-LOC eat_VB-want-INTENT
<translation>	Itaisoi wants to eat it alone.

<line_12.37>	hi gA xai-sai-hiAi itaIsoi hi gA-sai Xoi hi bai xaag-oI
<glossing>	3_PRP speak_VB do_VB-old_info-hearsay Itaisoi_NNP 3_PRP speak_VB-old_info Oi_NNP 3_PRP fear_NN be_VB-INTER
<translation>	Itaisoi says, "Is Oi afraid?"

<line_12.38>	hi gA-sai * saOabi-hiaba
<glossing>	3_PRP speak_VB-old_info * wait_for_VB-NEG
<translation>	She said, "He did not wait for the tapir."

<line_12.39>	* abaxaI boi-haI gaI-xIga
<glossing>	* alone_RB move_VB-REL_CERT there_RB-EMPH
<translation>	Only I will go there.

<line_12.40>	* aixiI oag-i op-aO hi IsaO apoI aihIop-aI
<glossing>	* annatto_NN look??_VB-?? go_VB-COMPLETIVE 3_PRP tracks_NN on_top_of_IN find_VB-do
<translation>	When he went to look for body paint, he found the tracks.

<line_12.41>	hi gA-sai-hIai kabatiI is aIbao *
<glossing>	3_PRP speak_VB-old_info-hearsay tapir_NN animal_NN much_DT *
<translation>	He said, "There are lots of tapir."

<line_12.42>	* ibIg ohoi-hI kabatiI
<glossing>	* dirt_NN eat_VB-INTER tapir_NN
<translation>	The tapir eat the dirt.

<line_12.43>	* bigA-xai * iI oag-i-op-aI
<glossing>	* itch_VB-do * plant_or_tree_NN look_VB-??-move-do
<translation>	He itched looking for body paint.

<line_12.44>	hi aigIa hi aAob-aO-xaI hi gA-sai-hiAi Xoi hi abAs Xoi xaI-ihI
<glossing>	3_PRP thus_RB 3_PRP hear_calling_VB-COMPLETIVE-do 3_PRP speak_VB-old_info-hearsay Oi_NNP 3_PRP people_NN jungle_NN be_VB-INTER
<translation>	And when he heard a yell, Oi said, are there people here?

<line_12.45>	* Is aOab-i-hiab-aO * a-haI-isai-hIaga
<glossing>	* animal_NN wait_VB-transiton_vowel-NEG-when * go_VB-REL_CERT-old_info-hearsay
<translation>	I won't wait for the tapir then, I'm going.

<line_12.46>	Xoi hi bai ai-hIaga
<glossing>	Oi_NNP 3_PRP fear_NN be_VB-hearsay
<translation>	Oi is very afraid.

<line_12.47>	hi aigIa kabOgI pixAagihI hi gA-sai ti boa xahoAi-koI *
<glossing>	3_PRP thus_RB Kabogi_NNP younger_JJR 3_PRP speak_VB-old_info 1_PRP throat_NN dry_JJ-EMPH *
<translation>	Well Kabogi, the younger one, said, "I have a cough."

<line_12.48>	* Is aOab-i-kab-i-haI
<glossing>	* animal_NN wait_VB-transition_vowel-NEG-transition_vowel-REL_CERT
<translation>	I will not wait for the tapir.

<line_12.49>	gIxa s ai-xi * Is aOab-i-hiab aO
<glossing>	2_PRP animal_NN do_VB-COMPL_CERT * animal_NN wait_VB-transition_vowel-NEG therefore_RB
<translation>	I am naked, so I won't wait for the tapir.

<line_12.50>	* abOp-xaI-isaihIaga
<glossing>	* return_VB-do-??
<translation>	I'm going.

<line_12.51>	hi aigIa Is aOab-i-sO * abOp-aI
<glossing>	3_PRP thus_RB animal_NN wait_VB-transition_vowel-COMPLETIVE * return_VB-do
<translation>	Yes, instead of waiting, I'm going.

<line_12.52>	toIao hi aigI Ahai pio Ik oho-ab-i-sai-hIai baixOsi
<glossing>	Toiao_NNP 3_PRP thus_RB sibling_NN also_RB it_PRP eat_VB-DUR-transition_vowel-old_info-hearsay piranha_NN
<translation>	Toiao and his relative also stayed to eat piranha.

<line_12.53>	Xoi hi aigIa gA xai-sai-hIai Xoi ti xipOihi a sO-xi ipoIhi-xIga
<glossing>	Oi_NNP 3_PRP thus_RB speak_VB do_VB-old_info-hearsay Oi_NNP 1_PRP woman_NN grain_clitic_NN save_VB-EMPH_COMPL_CERT woman_NN-EMPH
<translation>	Oi said, "I will save the farinha for my wife."

<line_12.54>	hi aigIa a ogiO Is aihiaIp-i-sai-hIai baixOsi-gI
<glossing>	3_PRP thus_RB grain_NN big_JJ animal_NN mix_VB-transition_vowel-old_info-hearsay piranha_NN-real
<translation>	Then, however, he mixed it all in with his piranha.

<line_12.55>	hi gA xai-sai itaIsoi hi aigIa itaIsoi hi * Is aOai-ta abOp-aI-saha
<glossing>	3_PRP speak_VB do_VB-old_info Itaisoi_NNP 3_PRP thus_RB Itaisoi_NNP 3_PRP * animal_NN wait_VB-repet return_VB-do-PROHIBITIVE
<translation>	Itaisoi said, "He will not return to wait for the tapir."

<line_12.56>	* abaxaI boi-haI
<glossing>	* alone_RB cause_VB-REL_CERT
<translation>	Only I will go.
