# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Maigiphoasi and titled "Birth of Pe's baby".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "BIRTH OF PE'S BABY #2.pdf".

<line_7.1>	hoagaIxOxaI hi gA-sai hoagaIxOxaI hi ab *-iig-A Xaogioso
<translation>	Aogioso will you delay?

<line_7.19>	XaogiosohoagI hi oa-og-ab-oxoi-hI
<glossing>	Xaogioso_NNP 3_PRP delay_VB-want-DUR-INTER-INTER
<translation>	Is Aogioso going to delay long?

<line_7.20>	i op-i-hiaba-xaI Xaogioso pIi
<glossing>	3fem_PRP give_birth_VB-state-neg-REL_CERT Xaogioso_NNP Pii_NNP
<translation>	Aogioso, Pii is not giving birth!

<line_7.21>	hoagaIxOxaI hi aigIa gA xai-ai hoagaIxOxaI hi soxoA kA op-A-hA pIi pixAi-xIga
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB speak_VB do_VB-INTENS Hoagaixoxai_NNP 3_PRP already_RB from_IN give_birth_VB-be-COMPL_CERT Pii_NNP now_RB-EMPH
<translation>	Hoagaixoxai said, Pii has just now given birth!

<line_7.22>	hoagaIxOxaI hi aigIa gA xai-ai isaitaOgi baOsai pis-o iig-o-p-i-kaba-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB speak_VB do_VB-INTENS Steve_NNP cloth_NN arm-LOC carry_VB-vertical_move-up-state-neg-REL_CERT
<translation>	Hoagaixoxia said, Steve will we not bring her in the hammock.

<line_7.23>	hi bio aI-xi
<glossing>	3_PRP weak_JJ be_VB-COMPL_CERT
<translation>	She is weak.

<line_7.24>	hoagaIxOxaI hi aigIa hoagaIxOxaI hi gA-sai * baOsai-pis-o iig-o-p-i-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB Hoagaixoxai_NNP 3_PRP speak_VB-old_info * cloth_NN-arm_NN-LOC carry_VB-vertical_move-up-proximate-REL_CERT
<translation>	Hoagaixoxai said, we will bring her in the hammock.

<line_7.25>	hoagaIxOxaI hi aigIa baOsai-pisi iig-ai-p-I-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB cloth_NN-hammock carry_VB-be-up-proximate-REL_CERT
<translation>	Hoagaixoxia then is bringing the hammock.

<line_7.26>	hoagaIxOxaI hi gA-sai pIi ia-o-p-a-pahAi-xi
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB-old_info pii_NNP float_VB-direct-up-ded-nearly-state
<translation>	Hoagaixoxai said, Pii is almost came up from the float.

<line_7.27>	pIi I bio *-ab-Aa
<glossing>	Pii_NNP 3fem_PRP weak_JJ *-DUR-almost
<translation>	Pii is nearly weak.

<line_7.28>	* o-p-ai-hiab-i-haI
<glossing>	* vertical_move_VB-up-be-NEG-proximate-REL_CERT
<translation>	She is not coming up.

<line_7.29>	hi aigIa hoagI xiig-A-o-b-AhA pIi
<glossing>	3_PRP thus_RB son_NN carry_VB-remote-direct-down-incep Pii_NNP
<translation>	Then Pii bringing her son just now fell.

<line_7.30>	hoagaIxOxaI hi aigIa apipA giaIi kagi hi abAa-hoi-haI agIiso
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB arm_NN there_RB companion_NN 3_PRP grab_VB-go-REL_CERT like_this_RB
<translation>	So Hoagaixoxai grabbed his wife's arm there, like this.

<line_7.31>	pIi gIxa kaxaO aho IbIg *-AhA-taIo
<glossing>	Pii_NNP 2_PRP EXHORTATIVE leg_NN very_RB *-incep-grounds
<translation>	Pii lets go, because your legs are very weak.

<line_7.32>	* hoagI a-p-i-xai-hiabi-koI
<glossing>	* son_NN move_vertical_VB-up-proximate-be-NEG-EMPH
<translation>	With her son she must not come!

<line_7.33>	hoagaIxOxaI hi aigIa baOsai pis-o a-o-p-ai-xiI-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB cloth_NN arm-LOC move_vertical_VB-direct-up-be-INTENT-REL_CERT
<translation>	Hoagaixoxai, intends to bring her up in the hammock.

<line_7.34>	hoagaIxOxaI hi aigIa baOsai pis-o kagi hi iIg-A-o-p-ai-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB cloth_NN arm-LOC companion_NN 3_PRP carry_VB-move_vertical-direct-up-be-REL_CERT
<translation>	Hoagaixoxai will be bringing his wife.

<line_7.35>	hoagaIxOxaI hi aigIa gA xai * kaxaO
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB speak_VB do_VB * EXHORTATIVE
<translation>	Hoagaixoxai said, Lets go.

<line_7.36>	pIi hi bio aI pIi
<glossing>	Pii_NNP 3_PRP weak_JJ be_VB Pii_NNP
<translation>	Pii is weak.

<line_7.37>	hoagaIxOxaI hi gA xai-aO kagi hi iig-A-o-p-a-pabAi hoagaIxOxaI
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB do_VB-completive companion_NN 3_PRP carry_VB-move_vertical-direct-up-deol-? Hoagaixoxai_NNP
<translation>	Hoagaixoxai said to his wife that he would bring her.

<line_7.38>	gIx o-p-i-haI kaI-o * a-b-o-p-i-haI * ait-ab-o-p-i-haI gabai hoagaIxOxaI hi gA-sai
<glossing>	2_PRP vertical_move_VB-up-proximate-REL_CERT house_NN-LOC * move_vertical_VB-down-direct-up-proximate-REL_CERT * sleep_VB-DUR-move-up-proximate-REL_CERT afterwards_RB Hoagaixoxai_NNP 3_PRP speak_VB-old_info
<translation>	You Pii will go up to the house, will arrive at the house, and afterwards sleep, said Hoagaixoxai.

<line_7.39>	pIi hi gA-sai ti bio-ab Ai
<glossing>	Pii_NNP 3_PRP speak_VB-old_info 1_PRP weak_JJ-DUR be_VB
<translation>	Pii said, I am staying weak.

<line_7.40>	* o-p-i-hiab-aA
<glossing>	* vertical_move-up-state-NEG-INTENT?
<translation>	I do not intend to go.

<line_7.41>	ti xahoa bIo *
<glossing>	1_PRP leg_NN weak_JJ *
<translation>	My legs are weak.

<line_7.42>	aho AbahIo-xi ai
<glossing>	leg_NN useless_JJ-state be_VB
<translation>	My legs are useless.

<line_7.43>	* oO xaI-hiaba
<glossing>	* land_NN do_VB-NEG
<translation>	I won't go on land!

<line_7.44>	hoagaIxOxaI hi aigIa gA xai-a hoagaIxOxaI * baOsai pis-O iig-o-p-i-haI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB speak_VB be_VB-ded Hoagaixoxai_NNP * cloth_NN arm-LOC carry_VB-vertical_move-up-proximate-REL_CERT
<translation>	Hoagaixoxai then said, we will bring you in the hammock.

<line_7.45>	gIxi ait a-b-o-p-i-haI baOsai pis-O
<glossing>	2_PRP sleep_VB move_vertical_VB-down-direct-up-proximate-REL_CERT cloth_NN arm-LOC
<translation>	You will arrive lying down in the hammock.

<line_7.46>	kagi hi iIg-a-o-p-A-pa-hA-xai
<glossing>	companion_NN 3_PRP carry_VB-move_vertical-direct-up-DECL-*-COMPL_CERT-be
<translation>	He is bringing his wife just now.

<line_7.47>	* baOsai pis-O iIg-a-o-p-A-pa-hA-xai
<glossing>	* cloth_NN arm-LOC carry_VB-move_vertical-direct-up-DECL-*-COMPL_CERT-be
<translation>	He is coming bringing her in the hammock just now.

<line_7.48>	aO gA-sai i biO-ab *-OxoI-hI
<glossing>	foreigner_NN speak_VB-old_info 3_PRP weak_JJ-DUR *-INTER-INTER
<translation>	He Steve said, is she weak?

<line_7.49>	i O-p-i-hiaba-xaI-isai
<glossing>	3_PRP vertical_move_VB-up-proximate-NEG-be-old_info
<translation>	She is not coming.

<line_7.50>	hoagaIxOxaI hi aigIa hoagaIxOxaI hi gA-sai * baOsai pis-O iig-o-p-i-haI-isai
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB Hoagaixoxai_NNP 3_PRP speak_VB-old_info * cloth_NN arm-LOC carry_VB-vertical_move-up-proximate-REL_CERT-old_info
<translation>	Hoagaixoxai then said, we will bring her in the hammock.

<line_7.51>	hoagaIxOxaI hi aigIa baOsai pis-O i kagi iig-a-o-p-A-pahA-xai
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB cloth_NN arm-LOC 3_PRP companion_NN carry_VB-move_vertical-direct-up-DECL-incept-be
<translation>	Hoagaixoxai is just now bringing his wife in the hammock.

<line_7.52>	hoagaIxOxaI hi aigIa hoagaIxOxaI hi gA-sai pIi hi soxoA kA o-p-AhA pio
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB Hoagaixoxai_NNP 3_PRP speak_VB-old_info Pii_NNP 3_PRP already_RB from_IN vertical_move_VB-up-incept also_RB
<translation>	Hoagaixoxai said, Pii has just now given birth!

<line_7.53>	hoagaIxOxaI hi aigIa Aboi-apai i A-p-ai * hoagI hi aO-p-i-haxaI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB paxiuba_NN-head 3_PRP move_vertical_VB-up-do * son_NN 3_PRP put_VB-up-proximate-?
<translation>	Hoagaixoxai put his son on the floating dock.

<line_7.54>	hoagaIxOxaI kagi hi A Op-i-sai
<glossing>	Hoagaixoxai_NNP companion_NN 3_PRP from_IN give_birth_VB-state-old_info
<translation>	Hoagaixoxai's wife gave birth.
