# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Tisahai and titled "Opisi gets a dog".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "15 OPISI GETS A DOG.pdf".

<line_15.1>	Xopisi Isi hiabOi-sai-hIai
<line_15.21>	aI hi aigIa gA-sai toOhio * Isi hiabO-gaAti
<glossing>	then_RB 3_PRP thus_RB speak_VB-old_info Toohio_NNP * animal_NN put_in_VB-IMPERATIVE
<translation>	Then he said, "Toohio put the dog in your canoe."

<line_15.22>	* sI s ohoa-ab-iI
<glossing>	* animal_NN animal_clitic_NN hunt_VB-DUR-INTENT
<translation>	I intend to hunt.

<line_15.23>	* sI s ohoa-I-taop-i-sahaxaI-isai-hIai
<glossing>	* animal_NN animal_clitic_NN hunt_VB-??-go-transition_vowel-PROHIBITIVE-old_info-hearsay
<translation>	I can't hunt with the dog.

<line_15.24>	hi aigIa iOxio Isi hiabOi-sai-hIai
<glossing>	2_PRP thus_RB away_into_CLITIC_RB animal_NN put_in_VB-old_info-hearsay
<translation>	Put it dog in the canoe with you.

<line_15.25>	toOhoi hi aigIa Isi hiabOi-sai
<glossing>	Toohio_NNP 3_PRP thus_RB animal_NN put_in_VB-old_info
<translation>	Toohio, she put the dog in.

<line_15.26>	Xisaabi hi aigIa pii baIhaIhii
<glossing>	Xisaabi_NNP 3_PRP thus_RB paddle_VB slowly_RB
<translation>	Isabi paddled slowly.

<line_15.27>	* sI s opaA
<glossing>	* animal_NN animal_clitic_NN go_VB
<translation>	He hunted animals.

<line_15.28>	* haop-Ab-abaI-sai-hIai kaIixihI
<glossing>	* dig_up_VB-DUR-frustrated_completion-old_info-hearsay paca_NN
<translation>	He dug up the ground for a paka.

<line_15.29>	* hixI oA-boi-sai-hIai
<glossing>	* rat_NN find_VB-cause-old_info-hearsay
<translation>	He found a rat.

<line_15.30>	hi aigIa si s op AbOp-Ap-AbaI-sai-hIai-hI
<glossing>	3_PRP thus_RB animal_NN animal_clitic_NN go_VB arrive_VB-??-frustrated_completion-old_info-hearsay-INTER
<translation>	Yes he returned from hunting.

<line_15.31>	* ko-saI *-sI Ik abahA ai-hI
<glossing>	* eye_NN-NEG *-NOMINALIZER??animal?? it_PRP NEG_RB be_VB-COMPL_CERT
<translation>	Don't you know, is it the dog not here?

<line_15.32>	* hi gIo aagA-hA-xai
<glossing>	* 3_PRP com_IN be_VB-COMPL_CERT-do
<translation>	The dog is now with Opisi.
