# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "The first boomerang" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 287-314.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_62 and 63, line_71 and 72, line_141 and 142, line_166 and 167, line_271 and 272, line_278 and 279, line_302 and 303, line_318 and 319, line_323 and 324, line_340 and 341).

<line_1>	Ngayu marraringaraa wantharninyji , maral.yalaa jinangkaa
<translation>	belongs to the devils and was followed up by the old people , is about how

<line_5>	wantilhala palalyil nyinalhala , pukarrpukarrngara .
<segmentation>	wanti-lha-la palalyi-l nyina-lha-la , pukarrpukarr-ngara .
<glossing>	lie-PAST-LOC before-THEN sit-PAST-LOC old.ones-PL
<translation>	things were before , very early in the history , when the ancient people were about .

<line_6>	Jinangkulayi ngurnaa nyinanguru ngayu , kuwarri , pawulumarta .
<segmentation>	Jinangku-layi ngurnaa nyina-nguru ngayu , kuwarri , pawulu-marta .
<glossing>	track-FUT that.ACC sit-PRES 1SG.NOM now child-PROP
<translation>	I'll follow it up now , as I sit here with my son .

<line_7>	Wayil wii ngayu murlurrupunilayi ngulangu marraringarala
<segmentation>	Wayil wii ngayu murlurrupuni-layi ngulangu marrari-ngara-la
<glossing>	maybe maybe 1SG.NOM straight go-FUT there story-PL-LOC
<translation>	I think I'll be able to do it right , to go through the stories

<line_8>	wantharni ngayu yungkuyangu puliyanyjangaralu .
<segmentation>	wantharni ngayu yungku-yangu puliyanyja-ngara-lu .
<glossing>	how 1SG.NOM give-PASSP old.man-PL-EFF
<translation>	the way I was given them by the old people .

<line_9>	Yila martuthunila , wantharni ngunhu kuwarril paju ,
<segmentation>	Yila martuthuni-la , wantharni ngunhu kuwarri-l paju ,
<glossing>	this.LOC Fortescue-LOC how that.NOM beginning-THEN REAL
<translation>	Here on the Fortescue , how was it now ? It was right at the beginning .

<line_10>	wantilha . Warruwangara nyinalha jarrkurti ngunhungara pintirrijila .
<segmentation>	wanti-lha . Warruwa-ngara nyina-lha jarrkurti ngunhu-ngara pintirrijila .
<glossing>	lie-PAST devil-PL be-PAST three that.NOM-PL scattered
<translation>	There were three different groups of devils .

<line_11>	Yartapalyu , nhartu wangkangurra maral.ya , yartapalyu warruwa ,
<segmentation>	Yartapalyu , nhartu wangka-ngu-rra maral.ya , yartapalyu warruwa ,
<glossing>	others what call-PASS-CTEMP devil others devil
<translation>	One group was called maral.ya , another group was

<line_12>	ngayalyu . Pintirrijila ngunhungara . Mirntiwul ngunhungara
<segmentation>	ngayalyu . Pintirrijila ngunhu-ngara . Mirntiwul ngunhu-ngara
<glossing>	devil scattered that.NOM-PL together that.NOM-PL
<translation>	ngayalyu . They were separate mobs but they all had the

<line_13>	marrarii Martuthunira . Nhiyu ngayalyungara yirrumartalpurtu
<segmentation>	marrari-i Martuthunira . Nhiyu ngayalyu-ngara yirru-marta-lpurtu
<glossing>	language-ACC Martuthunira this.NOM devil-PL yirru-PROP-COMP
<translation>	Martuthunira language . But on the one hand , these ngayalyu had a word ‘ yirru ’ .

<line_14>	marrarimarta . Ngunhungara kuyilngara . Nhiingara yartapalyu warruwangara
<segmentation>	marrari-marta . Ngunhu-ngara kuyil-ngara . Nhiingara yartapalyu warruwa-ngara
<glossing>	word-PROP that.NOM-PL bad-PL this.PL others devil-PL
<translation>	They were bad fellows . The other group of devils were

<line_15>	panyungara mir.ta wiru ngurnulwa . Kuyil ngunhaa , kuyil ngunha
<segmentation>	panyu-ngara mir.ta wiru ngurnu-lwa . Kuyil ngunhaa , kuyil ngunha
<glossing>	good-PL not liking that.ACC-YK bad that.NOM bad that.NOM
<translation>	good . They didn't like the other mob because they were really bad , that

<line_16>	ngayalyungaranyinalha .
<segmentation>	ngayalyu-ngaranyina-lha .
<glossing>	devil-PL be-PAST
<translation>	ngayalyu group .

<line_17>	Ngurnunguruwa , pintirrijila ngunhungara nyinalha .
<segmentation>	Ngurnu-nguru-wa , pintirrijila ngunhu-ngara nyina-lha .
<glossing>	that.OBL-ABL-YK scattered that.NOM-PL be-PAST
<translation>	From that time they were all separate .

<line_18>	Ngartil , panyurrirrarru , panyurrirrarru
<segmentation>	Ngartil , panyu-rri-rra-rru , panyu-rri-rra-rru
<glossing>	again good-INV-CTEMP-NOW good-INV-CTEMP-NOW
<translation>	They were starting to come good now . They were getting good and

<line_19>	kanyaranparrarru punirra , warruwangaralwa warruwangara .
<segmentation>	kanyara-npa-rra-rru puni-rra , warruwa-ngara-lwa warruwa-ngara .
<glossing>	human-INCH-CTEMP-NOW go-CTEMP devil-PL-YK devil-PL
<translation>	getting closer to being human . The devils

<line_20>	Panyunparrarru punirra kanyaranparrarru .
<segmentation>	Panyu-npa-rra-rru puni-rra kanyara-npa-rra-rru .
<glossing>	good-INCH-CTEMP-NOW go-CTEMP human-INCH-CTEMP-NOW
<translation>	were coming to be sort of human .

<line_21>	Kalika ngunhu purrkurulwakartathalalha marruwaa wirraa , 
<segmentation>	Kalika ngunhu purrkuru-lwakartatha-lalha marruwa-a wirra-a ,
<glossing>	one that.NOM truly-YK carve-PAST snakewood-ACC boomerang-ACC
<translation>	One of them carved a snakewood boomerang ,

<line_22>	wanthala ngula . Punilayi nyinalu ngunhaa yinkal.yarra .
<segmentation>	wanthala ngula . Puni-layi nyina-lu ngunhaa yinka-l.yarra .
<glossing>	somewhere IGNOR go-FUT sit-PURPss that.NOM chisel-CTEMP
<translation>	somewhere there ( but I don't know exactly where ) .

<line_23>	Wanthala ngula jingkayu , kunti jampa . Punilayi ngurnumartawa
<segmentation>	Wanthala ngula jingkayu , kunti jampa . Puni-layi ngurnu-marta-wa
<glossing>	somewhere IGNOR upriver stop moment go-FUT that.OBL-PROP-YK
<translation>	He went and sat somewhere there up-river carving it . After a while he went with that

<line_24>	wirramarta ngunhaa . Wangkalayi yartapalyuu .
<segmentation>	wirra-marta ngunhaa . Wangka-layi yartapalyu-u .
<glossing>	boomerang-PROP that.NOM tell-FUT others-ACC
<translation>	boomerang and spoke to the other mob .

<line_25>	“ Nhiyunu wirra ngathu yinkarnu . Ngayu kulayarninyji . ”
<segmentation>	“ Nhiyu-nu wirra ngathu yinka-rnu . Ngayu kulayarninyji . ”
<glossing>	this.NOM-QUOT boomerang 1SG.EFF chisel-PASSP 1SG.NOM try-FUT
<translation>	“ This is a boomerang I have made . I'm going to try it out . ”

<line_26>	Ngunhaa kulayalalha wiyaa ngula minthal , kunti jampa ,
<segmentation>	Ngunhaa kulaya-lalha wiyaa ngula minthal , kunti jampa ,
<glossing>	that.NOM try-PAST maybe IGNOR alone stop moment
<translation>	He had probably tried it out himself , for a while ,

<line_27>	nhartuu wantharraa nhawulayi , panyuu waruulpurtu
<segmentation>	nhartu-u wantharra-a nhawu-layi , panyu-u waruul-purtu
<glossing>	what-ACC like-ACC see-FUT good-ACC still-COMP that.OBL-DU-ACC
<translation>	to see what it was like . Well it was good all right , those two

<line_28>	wirratharraa . Ngunhaa thuurtilayi yartapalyuurru
<segmentation>	wirra-tharra-a . Ngunhaa thuurti-layi yartapalyu-u-rru
<glossing>	boomerang-DU-ACC that.NOM call-FUT others-ACC-NOW
<translation>	boomerangs . He called the others together ,

<line_29>	warruwangaraathurtirru yirnangaraa ngayalyungaraapuniwaa
<segmentation>	warruwa-ngara-a-thurti-rru yirna-ngara-a ngayalyu-ngara-apuni-waa
<glossing>	devil-PL-ACC-CONJ-NOW this.OBL-PL-ACC devil-PL-ACC go-PURPs=o
<translation>	all the devils , the ngayalyu mob , to go and

<line_30>	nhawulu ngurnu wirraa patharrngulinyilaa ngululwa .
<segmentation>	nhawu-lu ngurnu wirra-a patha-rrnguli-nyila-a ngulu-lwa .
<glossing>	see-PURPss that.ACC boomerang-ACC throw-PASS-PrREL-ACC that.EFF-YK
<translation>	see him throw that boomerang .

<line_31>	Ngunhaa thawulalha marrariirru ,
<segmentation>	Ngunhaa thawu-lalha marrari-i-rru ,
<glossing>	that.NOM send-PAST word-ACC-NOW
<translation>	He sent a message now ,

<line_32>	“ Nhuwananu kanarrilayi , nganajumulyarranhawulunu
<segmentation>	“ Nhuwana-nu kanarri-layi , nganaju-mulyarranhawu-lu-nu
<glossing>	2PL-QUOT come-FUT 1SG.OBL-ALL see-PURPss-QUOT
<translation>	“ How about you all come here to me to see the two

<line_33>	wirratharraa ngathu yinkarnuu . Panyuu wayi ,
<segmentation>	wirra-tharra-a ngathu yinka-rnu-u . Panyu-u wayi ,
<glossing>	boomerang-DU-ACC 1SG.EFF chisel-PASSP-ACC good-ACC maybe
<translation>	boomerangs carved by me . They might be all right .

<line_34>	nhartuu kuliyanpalayi ? ”
<segmentation>	nhartu-u kuliyanpa-layi ? ”
<glossing>	what-ACC think-FUT
<translation>	See what you think . ”

<line_35>	Kanarrilhal nhiingarakuyilngara . Ngunhaa wangkalha ,
<segmentation>	Kanarri-lha-l nhiingarakuyil-ngara . Ngunhaa wangka-lha ,
<glossing>	came-PAST-THEN this.PL bad-PL that.NOM say-PAST
<translation>	Then they came , these bad fellows . He said ,

<line_36>	“ Ngayalyumarnu , nhuwana kanarrilayi yirru . ”
<segmentation>	“ Ngayalyu-marnu , nhuwana kanarri-layi yirru . ”
<glossing>	cousin-GROUP 2PL come-FUT HES
<translation>	“ All you cousins of mine , you come . ”

<line_37>	Ngunhaa marrarii yimpalalwa wangkanguru ngurnungaraa ,
<segmentation>	Ngunhaa marrari-i yimpala-lwa wangka-nguru ngurnu-ngara-a ,
<glossing>	that.NOM word-ACC like.that-YK say-PRES that.OBL-PL-ACC
<translation>	He talked like that to them so that

<line_38>	kuliyalwaal wiyaa ngula .
<segmentation>	kuliya-lwaa-l wiyaa ngula .
<glossing>	hear-PURPs=o-THEN maybe IGNOR
<translation>	they would understand him .

<line_39>	“ Ngayalyumarnu , nhuwana yirru kanarrilayi yirru nhuuranparra
<segmentation>	“ Ngayalyu-marnu , nhuwana yirru kanarri-layi yirru nhuura-npa-rra
<glossing>	cousin-GROUP 2PL HES come-FUT HES know-INCH-CTEMP
<translation>	“ All my cousins , you come and find out ,

<line_40>	nhawulha yirru wirraa yirru kayarraa yirru
<segmentation>	nhawu-lha yirru wirra-a yirru kayarra-a yirru
<glossing>	see-PAST HES boomerang-ACC HES two-ACC HES
<translation>	see the two boomerangs

<line_41>	yinkarnu yirru ngathu yirru . ”
<segmentation>	yinka-rnu yirru ngathu yirru . ”
<glossing>	chisel-PASSP HES 1SG.EFF HES
<translation>	chiselled by me . ”

<line_42>	“ Purrkuruwarnu yirru ngayalyu yirru panyu yirru
<segmentation>	“ Purrkuruwarnu yirru ngayalyu yirru panyu yirru
<glossing>	truly ASSERT HES cousin HES good HES
<translation>	“ Is that right cousin ? Good .

<line_43>	kartu yirru kanyjarnuru wirratharraa yirru ? ”
<segmentation>	kartu yirru kanyja-rnuru wirra-tharra-a yirru ? ”
<glossing>	2SG.NOM HES keep-PRES boomerang-DU-ACC HES
<translation>	Do you have two boomerangs ? ”

<line_44>	“ Ngawu . Nhuwana mirntiwul kanarrilayipawuluthurti wartirrathurti
<segmentation>	“ Ngawu . Nhuwana mirntiwul kanarri-layipawulu-thurti wartirra-thurti
<glossing>	yes 2PL together come-FUT child-CONJ woman-CONJ
<translation>	“ Yes . You all come to see , children and women and all .

<line_45>	nhawulu . Ngayu patharrwala ngulangu Kawuyunguru .
<segmentation>	nhawu-lu . Ngayu patha-rrwala ngulangu Kawuyu-nguru .
<glossing>	see-PURPss 1SG.NOM throw-PURPds there Kawuyu-ABL
<translation>	I'll throw them there , from Kawuyu hill .

<line_46>	Ngaliwa karlwalayi Kawuyungu . ”
<segmentation>	Ngaliwa karlwa-layi Kawuyu-ngu . ”
<glossing>	1PL.INC go.up-FUT Kawuyu-ACC
<translation>	We'll all go up on Kawuyu . ”

<line_47>	Punilharru pularna . Kanarrilharru nhiingara
<segmentation>	Puni-lha-rru pularna . Kanarri-lha-rru nhiingara
<glossing>	go-PAST-NOW they come-PAST-NOW this.PL
<translation>	So they went . These

<line_48>	ngayalyuyirrungara . Punilayi ngunhungara mirntiwul wirtalu
<segmentation>	ngayalyu-yirru-ngara . Puni-layi ngunhu-ngara mirntiwul wirta-lu
<glossing>	devil-yirru-PL go-FUT that.NOM-PL together climb-PURPss
<translation>	ngayalyu came and they went together to climb

<line_49>	Kawuyuurru parlaa . Ngurnunguru , ngunhu kanyara
<segmentation>	Kawuyu-u-rru parla-a . Ngurnu-nguru , ngunhu kanyara
<glossing>	Kawuyu-ACC-NOW hill-ACC that.OBL-ABL that.NOM man
<translation>	Kawuyu hill . From there , that man who

<line_50>	yinkalalhanguru patharralharru . Ngunhungara karrinyila nhawurra .
<segmentation>	yinka-lalha-nguru patha-rralha-rru . Ngunhu-ngara karri-nyila nhawu-rra .
<glossing>	chisel-PAST-ABL throw-PAST-NOW that.NOM-PL stand-PrREL see-CTEMP
<translation>	had chiselled the boomerang threw it . They stood and watched ,

<line_51>	Mir.ta kupuyu , nganiyarrangu . Maruwarla ngayalyungara , maruwarla .
<segmentation>	Mir.ta kupuyu , nganiyarrangu . Maruwarla ngayalyu-ngara , maruwarla .
<glossing>	not little big.group many devil-PL many
<translation>	no little group , a big mob , many people .

<line_52>	Ngunhaa patharralha thaapuwa , wirraa puniwaa ngurnu ,
<segmentation>	Ngunhaa patha-rralha thaapuwa , wirra-a puni-waa ngurnu ,
<glossing>	that.NOM throw-PAST big.man boomerang-ACC go-PURPs=o that.ACC
<translation>	He threw it , that big man , to go

<line_53>	yawurtari . Ngunhaa kanarrilharru . Punilha ngunhaa , wirra
<segmentation>	yawurtari . Ngunhaa kanarri-lha-rru . Puni-lha ngunhaa , wirra
<glossing>	west.ALL that.NOM come-PAST-NOW go-PAST that.NOM boomerang
<translation>	west . It came , it went , that boomerang ,

<line_54>	parranilayi , ngulangulwa kartingkapungkalu . Mankungulayi .
<segmentation>	parrani-layi , ngulangu-lwa karti-ngkapungka-lu . Manku-ngu-layi .
<glossing>	return-FUT there-YK side-LOC fall-PURPss grab-PASS-FUT
<translation>	and it came back right there and fell down alongside , and was picked up again .

<line_55>	Kuwarril paju ngunhaa , ngunhungara nhawuwala , 
<segmentation>	Kuwarri-l paju ngunhaa , ngunhu-ngara nhawu-wala ,
<glossing>	beginning-THEN REAL that.NOM that.NOM-PL see-PURPds
<translation>	That was the first time a boomerang had been sent and these fellows were watching ,

<line_56>	“ Panyu pajunu nhiyu . Panyu pajunu nhiyu wirra ,
<segmentation>	“ Panyu paju-nu nhiyu . Panyu paju-nu nhiyu wirra ,
<glossing>	good REAL-QUOT this.NOM good REAL-QUOT this.NOM boomerang
<translation>	“ That boomerang is very good . It's very good , that boomerang

<line_57>	yilu kanyaraluyinkarnu . ”
<segmentation>	yilu kanyara-luyinka-rnu . ”
<glossing>	this.EFF man-EFF chisel-PASSP
<translation>	made by this man . ”

<line_58>	Yartaa ngartilulwa ngurnaa thuulwarninyji , wirraa .
<segmentation>	Yarta-a ngartil-u-lwa ngurnaa thuulwa-rninyji , wirra-a .
<glossing>	other-ACC again-Ø-YK that.ACC pull.out-FUT boomerang-ACC
<translation>	Next he pulled out the other boomerang .

<line_59>	Patharninyji ngartil waruul yawurtari ngurnu .
<segmentation>	Patha-rninyji ngartil waruul yawurtari ngurnu .
<glossing>	throw-FUT again still west.ALL that.ACC
<translation>	Again he threw it westwards and it

<line_60>	Puniwaa ngunhaa yawurru Yurlungarrarnu kuwilyawula parranilay
<segmentation>	Puni-waa ngunhaa yawurru Yurlungarrarnu kuwilyawula parrani-lay
<glossing>	go-PURPs=o that.NOM west Yurlungarrarnu this.side return-FUT
<translation>	went west , this side of Yurlungarrarnu . It came back

<line_61>	ngunhaa ngurnu Kawuyuulwa . Pungkalu kartingka ,
<segmentation>	ngunhaa ngurnu Kawuyu-u-lwa . Pungka-lu karti-ngka ,
<glossing>	that.NOM that.ACC Kawuyu-ACC-YK fall-PURPss side-LOC
<translation>	right to Kawuyu to fall alongside .

<line_62>	mankungulayi nguluwa , ngartil . Ngunhungara mirtuwarrarru warruwangara ,
<segmentation>	manku-ngu-layi ngulu-wa , ngartil . Ngunhu-ngara mirtuwarra-rru warruwa-ngara ,
<glossing>	grab-PASS-FUT that.EFF-YK again that.NOM-PL clever-NOW devil-PL
<translation>	It was picked up by that man again . These ngayalyu are clever ,

<line_64>	“ Panyu paju yirru wirra yirru ngayalyu yirru . Panyu paju yirru
<segmentation>	“ Panyu paju yirru wirra yirru ngayalyu yirru . Panyu paju yirru
<glossing>	good REAL HES boomerang HES cousin HES good REAL HES
<translation>	“ It's good this boomerang , cousin .

<line_65>	nhulatharra yirru kayarrawirratharra yirru , ngayalyu yirru . ”
<segmentation>	nhula-tharra yirru kayarrawirra-tharra yirru , ngayalyu yirru . ”
<glossing>	near.you-DU HES two boomerang-DU HES cousin HES
<translation>	Those two boomerangs are good .

<line_66>	Panyu paju yirru kartungku yirru yinkarnu yirru .
<segmentation>	Panyu paju yirru kartungku yirru yinka-rnu yirru .
<glossing>	good REAL HES 2SG.EFF HES chisel-PASSP HES
<translation>	[ They're ] good , these things carved by you . ”

<line_67>	Wuraalwarru . Ngunhungara parilhanpalayi ngurnaa .
<segmentation>	Wuraal-wa-rru . Ngunhu-ngara parilha-npa-layi ngurnaa .
<glossing>	well-YK-NOW that.NOM-PL keep.trying-INCH-FUT that.ACC
<translation>	All right . They kept on at him .

<line_68>	“ Ngartil ngurnu kartu patharryu ! ”
<segmentation>	“ Ngartil ngurnu kartu patha-rryu ! ”
<glossing>	again that.ACC 2SG.NOM throw-IMP
<translation>	“ You throw it again ! ”

<line_69>	Patharralha ngurnaa ngartil waruu , ngunhungara nhawurra .
<segmentation>	Patha-rralha ngurnaa ngartil waruu , ngunhu-ngara nhawu-rra .
<glossing>	throw-PAST that.ACC again still that.NOM-PL see-CTEMP
<translation>	So he threw it again and they watched .

<line_70>	Nhaminthala ngula pularna nyinalha ngulangu yakarrangula ,
<segmentation>	Nhamintha-la ngula pularna nyina-lha ngulangu yakarrangu-la ,
<glossing>	how.many-LOC IGNOR they stay-PAST there day-LOC
<translation>	How many days they stayed there I don't know .

<line_71>	patharryarra . Wayil ngula yarntawarnturawiyaa parranirrawarntura ngurnumulyarralwa . Nyinalayi patharryarra .
<segmentation>	patha-rryarra . Wayil ngula yarnta-warnturawiyaa parrani-rra-warntura ngurnu-mulyarra-lwa . Nyina-layi patha-rryarra .
<glossing>	throw-CTEMP maybe IGNOR day-DISTRIB maybe return-CTEMP-DISTRIB that.OBL-ALL-YK stay-FUT throw-CTEMP
<translation>	Perhaps each day they went back to the same place and threw it .

<line_73>	Ngunhungara wangkarnumarrilharru , warruwangara . Ngayalyungara<segmentation>	Ngunhu-ngara wangkarnu-marri-lha-rru , warruwa-ngara . Ngayalyu-ngara
<glossing>	that.NOM-PL talk-COLL-PAST-NOW devil-PL devil-PL
<translation>	The mob of ngayalyu , those devils ,

<line_74>	wangkarnumarrilharru .<segmentation>	wangkarnu-marri-lha-rru .
<glossing>	talk-COLL-PAST-NOW
<translation>	talked amongst themselves .

<line_75>	“ Ngaliwa mankulayi ngurnaa wirraa . Mankulayi ngurnaa .
<segmentation>	“ Ngaliwa manku-layi ngurnaa wirra-a . Manku-layi ngurnaa .
<glossing>	1PL.INC grab-FUT that.ACC boomerang-ACC grab-FUT that.ACC
<translation>	“ We'll get that boomerang . We'll get it and 

<line_76>	Ngaliwarru kanyjarninyji . ”
<segmentation>	Ngaliwa-rru kanyja-rninyji . ”
<glossing>	1PL.INC-NOW keep-FUT
<translation>	we'll keep it then . ”

<line_77>	Ngartil waruu ngunhungarakanarrilha . Ngunhungara punirra
<segmentation>	Ngartil waruu ngunhu-ngarakanarri-lha . Ngunhu-ngara puni-rra
<glossing>	again still that.NOM-PL come-PAST that.NOM-PL go-CTEMP
<translation>	Again they came . They went and 

<line_78>	wangkarnumarrilharru .
<segmentation>	wangkarnu-marri-lha-rru .
<glossing>	talk-COLL-PAST-NOW
<translation>	talked amongst themselves .

<line_79>	“ Yangarninyjirru ngurnu wirraa , wirratharraa
<segmentation>	“ Yanga-rninyji-rru ngurnu wirra-a , wirra-tharra-a
<glossing>	chase-FUT-NOW that.ACC boomerang-ACC boomerang-DU-ACC
<translation>	“ We'll chase that boomerang , the two boomerangs , 

<line_80>	mankulayirru . Wuraalwarru kangkulayi . Pularnarru kanyjarninyji . ”
<segmentation>	manku-layi-rru . Wuraal-wa-rru kangku-layi . Pularna-rru kanyja-rninyji . ”
<glossing>	grab-FUT-NOW well-YK-NOW carry-FUT they-NOW keep-FUT
<translation>	and grab them . We'll take them then and we'll keep them . ”

<line_81>	Kanarrilha ngunhungarangartil . Ngunhungara karrinyila panganyparru ,
<segmentation>	Kanarri-lha ngunhu-ngarangartil . Ngunhu-ngara karri-nyila panganypa-rru ,
<glossing>	come-PAST that.NOM-PL again that.NOM-PL stand-PrREL ready-NOW
<translation>	They came again . They stood ready ,

<line_82>	pawuluthurti wartirrangarathurti . Jampa ngunhu kanyara thawulalha<segmentation>	pawulu-thurti wartirra-ngara-thurti . Jampa ngunhu kanyara thawu-lalha
<glossing>	child-CONJ woman-PL-CONJ moment that.NOM man send-PAST
<translation>	children and women and all . After a while that man sent 

<line_83>	ngurnu ngarti wirraa . Ngunhu wangkalha ,
<segmentation>	ngurnu ngarti wirra-a . Ngunhu wangka-lha ,
<glossing>	that.ACC again boomerang-ACC that.NOM say-PAST
<translation>	the boomerang again . The devil said ,

<line_84>	“ Kartu yirru ngayalyu yirru patharryu yirru wirraa yirru
<segmentation>	“ Kartu yirru ngayalyu yirru patha-rryu yirru wirra-a yirru
<glossing>	2SG.NOM HES cousin HES throw-IMP HES boomerang-ACC HES
<translation>	“ You chuck that boomerang again , cousin ,

<line_85>	ngartil yirru , ngaliya , nganarna nhawuwala . ”
<segmentation>	ngartil yirru , ngaliya , nganarna nhawu-wala . ”
<glossing>	again HES 1DU.EXC 1PL.EXC see-PURPds
<translation>	so we can watch . ”

<line_86>	Nhiyu kanyara wirrawalha , ngunhaa mir.ta nhuura
<segmentation>	Nhiyu kanyara wirrawalha , ngunhaa mir.ta nhuura
<glossing>	this.NOM man boomerang.maker that.NOM not know
<translation>	This man , the boomerang-maker , he didn't know

<line_87>	wantharnimarninyjirrunhiingara , warruwangara , ngayalyungara .<segmentation>	wantharni-ma-rninyji-rrunhiingara , warruwa-ngara , ngayalyu-ngara .
<glossing>	how-CAUS-FUT-NOW this.PL devil-PL devil-PL 
<translation>	what these ngayalyu devils were going to do .

<line_88>	Jampa ngunhaa thawulalha ngurnu wirraa patharralha .<segmentation>	Jampa ngunhaa thawu-lalha ngurnu wirra-a patha-rralha .
<glossing>	moment that.NOM send-PAST that.ACC boomerang-ACC throw-PAST
<translation>	The moment he sent that boomerang , threw it ,

<line_89>	Thaapuwa nhawurra warruwangarayangarnururru . Yangalalha<segmentation>	Thaapuwa nhawu-rra warruwa-ngarayanga-rnuru-rru . Yanga-lalha
<glossing>	big.man see-CTEMP devil-PL chase-PRES-NOW chase-PAST
<translation>	the devils watching chased it now . They chased

<line_90>	ngurnu wirraa . Ngunhu yawurrari kunti .<segmentation>	ngurnu wirra-a . Ngunhu yawurrari kunti .
<glossing>	that.ACC boomerang-ACC that.NOM west.ALL stop
<translation>	that boomerang . It went westwards .

<line_91>	Puninyila ngunhu thawurra , wirra , nyingkurlu waruulpurtu .<segmentation>	Puni-nyila ngunhu thawurra , wirra , nyingkurlu waruul-purtu .
<glossing>	go-PrREL that.NOM boomerang boomerang first still-COMP
<translation>	That boomerang is travelling , still in front

<line_92>	Nhiingara wantinguru yarrwangkajurlurluwantharral thurlajinkarringara .<segmentation>	Nhiingara wanti-nguru yarrwa-ngkajurlurluwantharra-l thurlajinkarri-ngara .
<glossing>	this.PL lie-PRES behind-LOC crouched.like-THEN poor.fellow-PL
<translation>	and these devils are behind , stooping down , the poor fellows .

<line_93>	Yangarninyji ngurnaa , thanirninyjinu , murtii kuyilwarninyji ,<segmentation>	Yanga-rninyji ngurnaa , thani-rninyji-nu , murti-i kuyilwa-rninyji ,
<glossing>	chase-FUT that.ACC hit-FUT-QUOT speed-ACC spoil-FUT
<translation>	They chase it , hit at it , try to weaken the speed , so they can

<line_94>	mankulayil . Piyuwa ngunhu , puninyila ngunhu waruul .<segmentation>	manku-layi-l . Piyuwa ngunhu , puni-nyila ngunhu waruul .
<glossing>	grab-FUT-THEN finish that.NOM go-PrREL that.NOM still
<translation>	grab it then . But there's no chance , it's still

<line_95>	Thamparru jirli wurntanngurra yartapalyu . Yangalalha ngurnaa .<segmentation>	Thampa-rru jirli wurnta-nngu-rra yartapalyu . Yanga-lalha ngurnaa .
