# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "Fixing a broken spear" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 271-274.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines.

<line_1>	Nhiyu warrirtiwurntarnu nhuwanalu yungkungulimarni
<line_26>	“ Yimpalarruwa . Nganarna kuliyanpanguru kartungumulyarrayirla
<segmentation>	“ Yimpala-rru-wa . Nganarna kuliyanpa-nguru kartungu-mulyarrayirla
<glossing>	like.that-NOW-YK 1PL.EXC think-PRES 2SG.OBL-ALL only
<translation>	“ It's like that . We think that it's only

<line_27>	warrirtingaraawurntarnungaraa , kartungu yirla yungkulu
<segmentation>	warrirti-ngara-awurnta-rnu-ngara-a , kartungu yirla yungku-lu
<glossing>	spear-PL-ACC break-PASSP-PL-ACC 2SG.ACC only give-PURPss
<translation>	to you that we can bring broken spears . You're the only one we can give them to ,

<line_28>	panyumalwaa . ”
<segmentation>	panyu-ma-lwaa . ”
<glossing>	good-CAUS-PURPs=o
<translation>	to fix them . ”

<line_29>	“ Nganangurru kana kanyaraa kuliyanpalayi jalyangaraa yirla
<segmentation>	“ Nganangu-rru kana kanyara-a kuliyanpa-layi jalya-ngara-a yirla
<glossing>	who.ACC-NOW RHET man-ACC think-FUT useless-PL-ACC only
<translation>	“ What other man can we think of out of

<line_30>	warnu kanyarangaraa yartapalyuu ? ”
<segmentation>	warnu kanyara-ngara-a yartapalyu-u ? ”
<glossing>	ASSERT man-PL-ACC others-ACC
<translation>	the other people who are only useless ? ”

<line_31>	“ Yimpalarruwa . Nganarna winyartamarnurukartungu thurlajinkarrii .
<segmentation>	“ Yimpala-rru-wa . Nganarna winyarta-ma-rnurukartungu thurlajinkarri-i .
<glossing>	like.that-NOW-YK 1PL.EXC tired-CAUS-PRES 2SG.ACC poor.fellow-ACC
<translation>	“ So it's like that . We're tiring you , you poor fellow .

<line_32>	Nganangurru kuliyanpalayi pilakurtaa jalyangarala
<segmentation>	Nganangu-rru kuliyanpa-layi pilakurta-a jalya-ngara-la
<glossing>	who.ACC-NOW think-FUT carpenter-ACC useless-PL-LOC
<translation>	Who can we think of as a carpenter when all

<line_33>	kanyarangara-la yartapalyula ? ”
<segmentation>	kanyara-ngara-la yartapalyu-la ? ”
<glossing>	man-PL-LOC others-LOC
<translation>	the other men are useless ? ”

<line_34>	“ Palwarrungunhaa . Ngawu ! Ngayu ngartirru wurtu wangkalayi
<segmentation>	“ Palwarrungunhaa . Ngawu ! Ngayu ngarti-rru wurtu wangka-layi
<glossing>	all.right that.NOM yes 1SG.NOM next-NOW HYPTH say-FUT
<translation>	“ That's all right . Yes ! I'll say something to you next ,

<line_35>	kartungu marrarii . ”
<segmentation>	kartungu marrari-i . ”
<glossing>	2SG.ACC word-ACC
<translation>	all right ? ”

<line_36>	“ Purrkuru waruul . Kartu wangkalha panyumal.yarra paju
<segmentation>	“ Purrkuru waruul . Kartu wangka-lha panyu-ma-l.yarra paju
<glossing>	true still 2SG.NOM say-PAST good-CAUS-CTEMP REAL
<translation>	“ Okay . You spoke making me feel very good ,

<line_37>	nganaju , pinhumal.yarra paju , panyumal.yarra paju ,
<segmentation>	nganaju , pinhu-ma-l.yarra paju , panyu-ma-l.yarra paju ,
<glossing>	1SG.ACC pleased-CAUS-CTEMP very good-CAUS-CTEMP REAL
<translation>	pleasing me properly , making me feel very good ,

<line_38>	thurlajinkarrii nganaju . Ngayu mir.ta ngalangalanpalayi kartungu
<segmentation>	thurlajinkarri-i nganaju . Ngayu mir.ta ngalangala-npa-layi kartungu
<glossing>	poor.fellow-ACC 1SG.ACC 1SG.NOM not forget-INCH-FUT 2SG.ACC
<translation>	poor fellow that I am . I won't forget your

<line_39>	marrarii . Panyu kanyara . Palwarru ngunhaa . ”
<segmentation>	marrari-i . Panyu kanyara . Palwarru ngunhaa . ”
<glossing>	word-ACC good man all.right that.NOM
<translation>	word . You're good people . All right , that's that . ”
