# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# iso639_3:	vma
# year_composed:	NA
# year_published:	1994
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.
# short_description:	A text titled "Kurntangka" which means Respectful speech told by Algy Paterson. For details see Dench (1994), p. 279.
# source:	Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 279-281.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_4 and 5, line_20 and 21, line_29 and 30).

<line_1>	“ Kartulwa puninguru kuyil , yartangaraa nhuunungaraa
<glossing>	here 1SG.LOC stand-PrREL-LOC here wild-INCH-COLL+CTEMP
<translation>	here , while I'm here , arguing with each other .

<line_19>	Kuliyanpayaangu nganaju thurlanyarraraa . ”
<segmentation>	Kuliyanpa-yaangu nganaju thurlanyarrara-a . ”
<glossing>	think-UNREAL 1SG.ACC poor.fellow-ACC
<translation>	You ought to think about me , poor old fellow that I am . ”

<line_20>	“ Ngayu karringuru wanyjarrilayi karriwirri yilangu kuliyala warntitharrngurra kuyilngara-a kanparingaraanhuwanalu
<segmentation>	“ Ngayu karri-nguru wanyjarri-layi karri-wirri yilangu kuliya-la warntitha-rrngu-rra kuyil-ngara-a kanpari-ngara-anhuwana-lu
<glossing>	1SG.NOM stand-PRES go-FUT stand-LEST here ear-LOC throw-PASS-CTEMP bad-PL-ACC word-PL-ACC 2PL-EFF
<translation>	“ I'm going to go lest I be here having bad words thrown in my ears

<line_22>	nhuunuwarntilu kurntawirriwalu warnu . Puurru ngayu
<segmentation>	nhuunuwarnti-lu kurnta-wirriwa-lu warnu . Puu-rru ngayu
<glossing>	spouse(PL)-EFF shame-PRIV-EFF ASSERT far-NOW 1SG.NOM
<translation>	by you married people , shameless people ! I'm going away and

<line_23>	wanyjarrilayi mir.tarru nhuwanalu nhuunuwarntilu puranyilwarringulayi . ”
<segmentation>	wanyjarri-layi mir.ta-rru nhuwana-lu nhuunuwarnti-lu puranyi-lwarri-ngu-layi . ”
<glossing>	go-FUT not-NOW 2PL-EFF spouse(PL)-EFF see-COLL-PASS-FUT
<translation>	then I won't be seen by you . ”

<line_24>	“ Nhuwana nganajutharra wii karturratharra , kartu wii , jurti
<segmentation>	“ Nhuwana nganaju-tharra wii karturra-tharra , kartu wii , jurti
<glossing>	2PL 1SG.GEN-DU maybe sisters-DU 2SG.NOM maybe 1SG.POSS
<translation>	“ You people are two of my relatives , two of my sister's group , and you , my own

<line_25>	marryanu , karrilayi waruulwarru , nhuwana nhuunuwarnti . ”
<segmentation>	marryanu , karri-layi waruul-wa-rru , nhuwana nhuunuwarnti . ”
<glossing>	Bro-in-law stand-FUT still-Ø-NOW 2PL spouse(PL)
<translation>	brother-in-law still , you married people . ”

<line_26>	“ Ngawu ! wuraalwarru wanyjarrilayi . Nhuwana jurti marryanu ,
<segmentation>	“ Ngawu ! wuraal-wa-rru wanyjarri-layi . Nhuwana jurti marryanu ,
<glossing>	yes all.right-Ø-NOW go-FUT 2PL 1SG.POSS Bro-in-law
<translation>	“ Yes , all right , we'll go . You are my brother-in-law ,

<line_27>	nyingkurlulpurtu warnu , nganarnaa karrinyilaa patharrirra ,
<segmentation>	nyingkurlu-lpurtu warnu , nganarna-a karri-nyila-a patharri-rra ,
<glossing>	firstly-COMP ASSERT 1PL.EXC-ACC stand-PrREL-ACC fight-CTEMP
<translation>	that's the first thing , You are brother-in-law to us crazy people fighting ,

<line_28>	wantamartungara , kartungka nyininyilala , patharrirra nganarna . ”
<segmentation>	wantamartu-ngara , kartungka nyini-nyila-la , patharri-rra nganarna . ”
<glossing>	crazy-PL 2SG.LOC be-PrREL-LOC fight-CTEMP 1PL.EXC
<translation>	while you're here , we're fighting . ”

<line_29>	“ Wuraalwarru kartu , jurti marryanu , wanthayarrilayi , wantamartungara . ”
<segmentation>	“ Wuraal-wa-rru kartu , jurti marryanu , wantha-yarri-layi , wantamartu-ngara . ”
<glossing>	all.right-Ø-NOW 2SG.NOM 1SG.POSS Bro-in-law leave-COLL-FUT crazy-PL
<translation>	“ All right , my brother-in-law , you crazy people , leave ! ”
