# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "A shopping expedition" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 274-279.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_29 and 30, line_50, 51 and 52).

<line_1>	Nhuwana punilayi wurtu thawunmulyarra ? Nhuwana punirra wii
<line_43>	nhartuu wii mir.ta mankulhaa wii wangkalayi ,
<segmentation>	nhartu-u wii mir.ta manku-lha-a wii wangka-layi ,
<glossing>	something-ACC maybe not grab-PAST-ACC if say-FUT
<translation>	if there's anything we didn't get , say so ,

<line_44>	ngalarrilhaa wii . ”
<segmentation>	ngalarri-lha-a wii . ”
<glossing>	forget-PAST-ACC if
<translation>	if we forgot anything . ”

<line_45>	“ Ngawu ! Ngayu nhawulayi . Purrkuru waruul , kartu mir.ta ,
<segmentation>	“ Ngawu ! Ngayu nhawu-layi . Purrkuru waruul , kartu mir.ta ,
<glossing>	yes 1SG.NOM look-FUT true still 2SG.NOM not
<translation>	“ Yes ! I'll look . True enough , you didn't ,

<line_46>	nhuwana ngalarrilha waruul ngathu wangkayangu . ”
<segmentation>	nhuwana ngalarri-lha waruul ngathu wangka-yangu . ”
<glossing>	2PL forget-PAST still 1SG.EFF say-PASSP
<translation>	you still forgot something I told you . ”

<line_47>	“ Thawu ! Nhartuulwa ngula ? Nhiyu wangkalayi ngaliwaa mir.ta
<segmentation>	“ Thawu ! Nhartu-u-lwa ngula ? Nhiyu wangka-layi ngaliwa-a mir.ta
<glossing>	Look! what-ACC-ID IGNOR this.NOM say-FUT 1PL.INC-ACC not
<translation>	“ Look ! What is it ? This fellow is saying we didn't

<line_48>	mankulhaa . Parru ! Kartu wangkarru . ”
<segmentation>	manku-lha-a . Parru ! Kartu wangka-Ø-rru . ”
<glossing>	grab-PAST-ACC go.on 2SG.NOM say-IMP-NOW
<translation>	get something . Go on ! You tell us ! ”

<line_49>	“ Ngawurrmartaa mir.tarru mankulha , ngalarrilharru . ”
<segmentation>	“ Ngawurr-marta-a mir.ta-rru manku-lha , ngalarri-lha-rru . ”
<glossing>	foam-PROP-ACC not-NOW grab-PAST forget-PAST-NOW
<translation>	“ Soap , you didn't get . You forgot . ”

<line_50>	“ Purrkurul waruul pala ! Ngalarrilha waruulwarru , thurlajinkarrilu wangkayangu . Wuraalwarru , kartu panyunpalayi nganarnaa ngalarrilhangaraa wantamartungaraa . ”
<segmentation>	“ Purrkuru-l waruul pala ! Ngalarri-lha waruul-wa-rru , thurlajinkarri-lu wangka-yangu . Wuraal-wa-rru , kartu panyu-npa-layi nganarna-a ngalarri-lha-ngara-a wantamartu-ngara-a . ”
<glossing>	true-THEN still IT forget-PAST still-Ø-NOW poor.fellow-EFF say-PASSP all.right-Ø-NOW 2SG.NOM good-INCH-FUT 1PL.EXC-ACC forget-PAST-PL-ACC crazy-PL-ACC
<translation>	“ Well that's right ! We forgot what we were told by you , poor fellow . All right , you be good to us crazy fellows who forgot . ”

<line_53>	“ Nhiyu yarta kanyjarnurulwa ngawurrmartaa kayarraamirtalitharraa .
<segmentation>	“ Nhiyu yarta kanyja-rnuru-lwa ngawurr-marta-a kayarra-amirtali-tharra-a .
<glossing>	this.NOM other hold-PRES-ID foam-PROP-ACC two-ACC big-DU-ACC
<translation>	“ This other fellow has two big cakes of soap .

<line_54>	Kartu wuraal yungkuyarrilayi yartaa yirnalaa ? ”
<segmentation>	Kartu wuraal yungku-yarri-layi yarta-a yirnala-a ? ”
<glossing>	2SG.NOM all.right give-COLL-FUT other-ACC this.DEF-ACC
<translation>	How about you give one to this fellow ?

<line_55>	Kayarramarta warnu . Kalikaa yungkulayi kalikaa .
<segmentation>	Kayarra-marta warnu . Kalika-a yungku-layi kalika-a .
<glossing>	two-PROP ASSERT one-ACC give-FUT one-ACC
<translation>	You've got two ! Give him one ! ”

<line_56>	“ Ngawu ! Ngayu yungkulayi ngurnaa ngawurrmartaa kalikaa
<segmentation>	“ Ngawu ! Ngayu yungku-layi ngurnaa ngawurr-marta-a kalika-a
<glossing>	yes 1SG.NOM give-FUT that.ACC foam-PROP-ACC one-ACC
<translation>	“ Yes ! I'll give him one piece of soap for washing

<line_57>	waramarnuu . panyulpurtu ! ”
<segmentation>	wara-marnu-u . panyu-lpurtu ! ”
<glossing>	clothes-ASSOC-ACC good-COMP
<translation>	clothes . Good ! ”
