# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# iso639_3:	vma
# year_composed:	NA
# year_published:	1994
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.
# short_description:	A story titled "Mourning chant" told by Algy Paterson. For details see Dench (1994), p. 282.
# source:	Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 282-287.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_16 and 17, line_20 and 21, line_32 and 33, line_53 and 54).

<line_1>	Ngunhu waruul wilangayi Purripurringura waruul wilangayi , ngunhaa
<line_12>	Pirriyartawurlawurtu , kartu pawulu ,
<segmentation>	Pirriyarta-wurlawurtu , kartu pawulu ,
<glossing>	own-MATRI HYPTH 2SG.NOM child
<translation>	We thought you were one of our own people , boy ,

<line_13>	nganarnawurawula wurtu .
<segmentation>	nganarna-wura-wula wurtu .
<glossing>	1PL.EXC-BELONG-MATRI HYPTH
<translation>	one of our own mother's family .

<line_14>	Yimpalarruwa ngayu nyinawala jalyarru . Ngayu nyinawala ,
<segmentation>	Yimpala-rru-wa ngayu nyina-wala jalya-rru . Ngayu nyina-wala ,
<glossing>	like.that-NOW-YK 1SG.NOM sit-PURPds bereft-NOW 1SG.NOM sit-PURPds
<translation>	And that's how I come to be grieving . Me and

<line_15>	jurti marryara , ngaliya tharratharranpalha . Yimpalarruwa
<segmentation>	jurti marryara , ngaliya tharratharra-npa-lha . Yimpala-rru-wa
<glossing>	1SG.POSS brother 1DU.EXC separate-INCH-PAST like.that-NOW-YK
<translation>	my own younger brother , we've become separated . That's how I come

<line_16>	punilayi ngayu jalyarru , jurti marryarangu withawithamalalharru .
<segmentation>	puni-layi ngayu jalya-rru , jurti marryara-ngu withawitha-ma-lalha-rru .
<glossing>	go-FUT 1SG.NOM useless-NOW 1SG.POSS brother-ACC lost-CAUS-PAST-NOW
<translation>	to be grieving , I've lost my younger brother .

<line_18>	Ngaliya tharratharranpalharru . nhartumarnuru ? Ngayu nyinalayi
<segmentation>	Ngaliya tharratharra-npa-lha-rru . nhartu-ma-rnuru ? Ngayu nyina-layi
<glossing>	1DU.EXC separate-INCH-PAST-NOW what-CAUS-PRES 1SG.NOM sit-FUT
<translation>	We've become separated . What am I to do ? I'm

<line_19>	wanka parilha , nyurntinpayaangu . Ngayu yirla nhawungulayi jalya
<segmentation>	wanka parilha , nyurnti-npa-yaangu . Ngayu yirla nhawu-ngu-layi jalya
<glossing>	alive still dead-INCH-UNREAL 1SG.NOM only see-PASS-FUT useless
<translation>	still alive and I should have died . It's only me who can be seen , a useless

<line_20>	waruul , ngurnta kuyil , thurlajinkarri , jurti marryaranguwirriwarru nguranguraa withawithamalalha .
<segmentation>	waruul , ngurnta kuyil , thurlajinkarri , jurti marryara-ngu-wirriwa-rru ngurangura-a withawitha-ma-lalha .
<glossing>	still style bad poor.fellow 1SG.POSS brother-PNM-PRIV-NOW stylish-ACC lost-CAUS-PAST
<translation>	poor old woman , I've lost my good dead brother , that fine man .	

<line_22>	Jalya yirla nyinalayi wanka , jal.yu thaninnguliyaangu nganalu .
<segmentation>	Jalya yirla nyina-layi wanka , jal.yu thani-nnguli-yaangu nganalu .
<glossing>	rubbish only be-FUT alive occiput hit-PASS-UNREAL someone.EFF
<translation>	It's just useless me still alive , I should have been hit in the back of the head by someone ( I should have been killed ) .

<line_23>	Nhawungulayi jalya waruul , thunkuwurturtu .
<segmentation>	Nhawu-ngu-layi jalya waruul , thunkuwurturtu .
<glossing>	see-PASS-FUT useless still humpback
<translation>	Instead I appear as a useless old hunchbacked woman .

<line_24>	Payawurtu yirla , kartu yirla nhawungulayi kanyarangaralu .
<segmentation>	Payawurtu yirla , kartu yirla nhawu-ngu-layi kanyara-ngara-lu .
<glossing>	savage only 2SG.NOM only see-PASS-FUT man-PL-EFF
<translation>	And you're the only one who is seen by all the people , the only savage one .

<line_25>	Wantharniwuyu ? Jalya waruul , parlu yirla mirtali , pirlu thawurra ,
<segmentation>	Wantharni-wuyu ? Jalya waruul , parlu yirla mirtali , pirlu thawurra ,
<glossing>	how-SIDE rubbish still top only big buttock skinny
<translation>	And how do you look ? You're rubbish , only your head is big , you've got a skinny arse ,

<line_26>	parna ngurrara , jina mirtali , mulha kurnangu .
<segmentation>	parna ngurrara , jina mirtali , mulha kurnangu .
<glossing>	head gross foot big nose black
<translation>	a huge head , big feet and a black nose .

<line_27>	Kurrinyji nyinalayi nhawurra , thurla yirla jiwarral.yarra , wakurra
<segmentation>	Kurrinyji nyina-layi nhawu-rra , thurla yirla jiwarra-l.yarra , wakurra
<glossing>	this.way sit-FUT see-CTEMP eye only shine-CTEMP crow
<translation>	And then you sit looking this way and only your eyes shine white out of the black , you're like a crow ,

<line_28>	wantharra , jalya kurnangu , punga kuruuru , kanta jurirri waruul , jalya
<segmentation>	wantharra , jalya kurnangu , punga kuruuru , kanta jurirri waruul , jalya
<glossing>	like rubbish black guts round leg sharp still useless
<translation>	useless black thing , pot belly , skinny thighs sharp like a knife , completely

<line_29>	waruul , wirlurlu wantharra .
<segmentation>	waruul , wirlurlu wantharra .
<glossing>	still curlew like
<translation>	useless , like the stick legs of a curlew .

<line_30>	Yirrapuwa mir.ta nhuura tharntaa nhuwarninyji warrirtimarta .
<segmentation>	Yirrapuwa mir.ta nhuura tharnta-a nhuwa-rninyji warrirti-marta .
<glossing>	bad.hunter not know euro-ACC spear-FUT spear-PROP
<translation>	You're a poor provider ! You don't know how to spear a euro with a hunting spear .

<line_31>	Jalya ! Jirrunanpawayara tharntaa yungkungkaa ,
<segmentation>	Jalya ! Jirruna-npa-wayara tharnta-a yungku-ngka-a ,
<glossing>	useless sneak-INCH-HABIT euro-ACC soak-LOC-ACC
<translation>	Useless ! You always sneak up on euroes when they are in soaks ,

<line_32>	mankululpurturru juwayulurru . jal.yuurru thanirninyji murlaa .
<segmentation>	manku-lu-lpurtu-rru juwayu-lu-rru . jal.yu-u-rru thani-rninyji murla-a .
<glossing>	grab-EFF-COMP-NOW hand-EFF-NOW occiput-ACC-NOW hit-FUT meat-ACC
<translation>	to grab them instead , with your hands . Then you hit that meat in the back of the neck .

<line_34>	Yimpalalpurtu nhurntimalwayara tharntaa . Mir.ta nhuwalwayara ,
<segmentation>	Yimpala-lpurtu nhurnti-ma-lwayara tharnta-a . Mir.ta nhuwa-lwayara ,
<glossing>	like.that-COMP dead-CAUS-HABIT euro-ACC not spear-HABIT
<translation>	That's how you kill euroes . You don't spear them ,

<line_35>	jalya warnu pala . Mir.ta nhuura , purrkuru paju , warrirtii
<segmentation>	jalya warnu pala . Mir.ta nhuura , purrkuru paju , warrirti-i
<glossing>	useless ASSERT IT not know truly REAL spear-ACC
<translation>	because you're useless . You don't know , truly , how to throw a hunting spear ,

<line_36>	warntitharninyji , nhuwarninyji . Jalya !
<segmentation>	warntitha-rninyji , nhuwa-rninyji . Jalya !
<glossing>	throw-FUT spear-FUT useless
<translation>	how to spear them . You're useless !

<line_37>	Thanartirawarnu pala . Majunngaraa , mankuwayaramajunngaraa ,
<segmentation>	Thanarti-rawarnu pala . Majun-ngara-a , manku-wayaramajun-ngara-a ,
<glossing>	sea-PROV ASSERT IT turtle-PL-ACC grab-HABIT turtle-PL-ACC
<translation>	That's because you're a seasider . Turtles are what you catch ,

<line_38>	kartalwayarakulhampangaraathanartiraa . Thanartirangaralpurtu
<segmentation>	karta-lwayarakulhampa-ngara-athanartira-a . Thanartira-ngara-lpurtu
<glossing>	stab-HABIT fish-PL-ACC sea.PROV-ACC sea.PROV-PL-COMP
<translation>	you harpoon turtles and fish , all the sea things . You're a man for all the sea creatures .

<line_39>	kanyara . Nyaminathurtii kartalwayara .
<segmentation>	kanyara . Nyamina-thurti-i karta-lwayara .
<glossing>	man dugong-CONJ-ACC stab-HABIT
<translation>	And you stab dugong too .

<line_40>	Kartu , yarrwangkarrupuliyanyjangaralapiyuwala yirlarru ,
<segmentation>	Kartu , yarrwa-ngka-rrupuliyanyja-ngara-lapiyuwa-la yirla-rru ,
<glossing>	2SG.NOM after-LOC-NOW old.man-PL-LOC finish-LOC only-NOW
<translation>	As for you , it's only now , after all my old people are finished , only

<line_41>	nganajungarala . Yarrwangkarru , mirntiwulwarru
<segmentation>	nganaju-ngara-la . Yarrwa-ngka-rru , mirntiwul-wa-rru
<glossing>	1SG.GEN-PL-LOC after-LOC-NOW all-YK-NOW
<translation>	after they've all

<line_42>	piyuwanpalhalarru , ngaliyaa tharratharramalalha , jurti
<segmentation>	piyuwa-npa-lha-la-rru , ngaliya-a tharratharra-ma-lalha , jurti
<glossing>	finish-INCH-PAST-LOC-NOW 1DU.EXC-ACC separate-CAUS-PAST 1SG.POSS
<translation>	died , that you separate the two of us ,

<line_43>	marryarangu , wayarrilha .
<segmentation>	marryara-ngu , wayarri-lha .
<glossing>	brother-ACC finish-PAST
<translation>	finish off my own younger brother .

<line_44>	Kartu mir.ta yimpalamanmarnilwa , tharratharramanmarni
<segmentation>	Kartu mir.ta yimpala-ma-nmarni-lwa , tharratharra-ma-nmarni
<glossing>	2SG.NOM not like.that-CAUS-CONTR-ID separate-CAUS-CONTR
<translation>	You wouldn't have been able to do that , wouldn't have separated

<line_45>	ngaliyaa nganarnawayala ngaliyawayala
<segmentation>	ngaliya-a nganarna-waya-la ngaliya-waya-la
<glossing>	1DU.EXC-ACC 1PL.EXC-OWNER-LOC 1DU.EXC-OWNER-LOC
<translation>	us when our people were

<line_46>	wankangkal . Kartu mir.ta jayinmarni .
<segmentation>	wanka-ngka-l . Kartu mir.ta jayi-nmarni .
<glossing>	alive-LOC-THEN 2SG.NOM not escape-CONTR
<translation>	alive . You wouldn't have escaped then .

<line_47>	Kartu payawurtu wangkanguru yarrwangkarru ngaliyawayala
<segmentation>	Kartu payawurtu wangka-nguru yarrwa-ngka-rru ngaliya-waya-la
<glossing>	2SG.NOM savage say-PRES after-LOC-NOW 1DU.EXC-OWNER-LOC
<translation>	You say you're dangerous only now that our family is gone .

<line_48>	piyuwalarru yirla . Palalyi , kartu thala kartanngulaanu
<segmentation>	piyuwa-la-rru yirla . Palalyi , kartu thala karta-nngulaanu
<glossing>	finish-LOC-NOW only before 2SG.NOM chest stab-PASSCONTR
<translation>	Before , you would have been skewered in the chest so that

<line_49>	nhumirarru thaatharrarrimarni .
<segmentation>	nhumira-rru thaatharra-rri-marni .
<glossing>	penis-NOW open.mouthed-INV-CONTR
<translation>	your penis would have opened like a mouth with the shock .

<line_50>	Jalya waruul . Kartu wartirraa wiru kanyara yirla . Payawurtu
<segmentation>	Jalya waruul . Kartu wartirra-a wiru kanyara yirla . Payawurtu
<glossing>	rubbish still 2SG.NOM woman-ACC liking man only savage
<translation>	You're good for nothing . The only thing you're interested in is women . You go wild when you've

<line_51>	wartirraa paju nhawulha . Karriwayara kalyalalha marturaa
<segmentation>	wartirra-a paju nhawu-lha . Karri-wayara kalya-lalha martura-a
<glossing>	woman-ACC REAL see-PAST stand-HABIT bite-PAST middle-ACC
<translation>	seen a woman . You stand and bite your tongue in half ,

<line_52>	yalhuruu , wartirraa nhawurra . Thurla karimalha ,
<segmentation>	yalhuru-u , wartirra-a nhawu-rra . Thurla karima-lha ,
<glossing>	tongue-ACC woman-ACC see-CTEMP eye jump-PAST
<translation>	watching a woman . Your eyes pop out as you're filling up with

<line_53>	ngunyangurrarru . Ngunhaa tharrarninyji . Ngunhaa jarnkalya puwa waruul .
<segmentation>	ngunya-ngu-rra-rru . Ngunhaa tharra-rninyji . Ngunhaa jarnkalya puwa waruul .
<glossing>	semen-PSYCH-CTEMP-NOW that.NOM ejaculate-FUT that.NOM penis stinking still
<translation>	semen getting randy . And then it goes off , that stinking penis of yours .

<line_55>	Muraani , kartu nganarnawura pawulu .
<segmentation>	Muraani , kartu nganarna-wura pawulu .
<glossing>	son+1POSS 2SG.NOM 1PL.EXC-BELONG child
<translation>	My son , you're my own family .

<line_56>	Yimpalamanngulirruwa ! Nyingkurlulpurtu warnu kuyil ,
<segmentation>	Yimpala-ma-nnguli-Ø-rru-wa ! Nyingkurlul-purtu warnu kuyil ,
<glossing>	like.that-CAUS-PASS-IMP-NOW-YK firstly-COMP ASSERT bad
<translation>	Well let that happen to you like that then ! The first thing to say is that you're bad ,

<line_57>	palwarru wiyaa .
<segmentation>	palwarru wiyaa .
<glossing>	truly maybe
<translation>	that's true .

<line_58>	Jampa kuliyanpalayi ngartil nguranguranparra . Kartu puniwayara
<segmentation>	Jampa kuliyanpa-layi ngartil ngurangura-npa-rra . Kartu puni-wayara
<glossing>	moment think-FUT again stylish-INCH-CTEMP 2SG.NOM go-HABIT
<translation>	And in a moment you'll be thinking you're handsome again . You go

<line_59>	ngurrawarnturala karrirra , nganalu nhawungulayi , pirlu
<segmentation>	ngurra-warntura-la karri-rra , nganalu nhawu-ngu-layi , pirlu
<glossing>	country-DISTRIB-LOC stand-CTEMP who.EFF see-PASS-FUT buttock
<translation>	from camp to camp and stand there . And you'll be seen ,

<line_60>	thawurra , parlu yirla mirtali , kanta jurirri , kati wurturtu , kal.ya karta ,
<segmentation>	thawurra , parlu yirla mirtali , kanta jurirri , kati wurturtu , kal.ya karta ,
<glossing>	skinny top only big leg sharp waist narrow pelvis bony
<translation>	skinny-arsed fellow , only big up top, skinny legs , narrow waist , bony hips ,

<line_61>	jalya , nhumira ngurrara , jalya , punhu jalyuru .
<segmentation>	jalya , nhumira ngurrara , jalya , punhu jalyuru .
<glossing>	rubbish penis gross rubbish anus cave
<translation>	useless , huge penis , arsehole like a cave .

<line_62>	Jalya waruul kanyara . Kartu yanhaa wiru . Mir.ta
<segmentation>	Jalya waruul kanyara . Kartu yanha-a wiru . Mir.ta
<glossing>	rubbish still man 2SG.NOM vagina-ACC like not
<translation>	You're good for nothing. You like sex . Never

<line_63>	kuntirriwayara . Kartu tharral.yarra nhumiraa kartunguu
<segmentation>	kuntirri-wayara . Kartu tharra-l.yarra nhumira-a kartungu-u
<glossing>	give.up-HABIT 2SG.NOM copulate-CTEMP prick-ACC 2SG.GEN-ACC
<translation>	give up on it . Can't get enough . You sit and watch your prick while you're copulating .

<line_64>	nhawurra nyinawayara . Tharrwilalhanguunguumal.yarra nhawurra
<segmentation>	nhawu-rra nyina-wayara . Tharrwi-lalhanguu-nguu-ma-l.yarra nhawu-rra
<glossing>	see-CTEMP sit-HABIT enter-PAST face-face-CAUS-CTEMP see-CTEMP
<translation>	Once it's in you're twisting your head from side to side watching it to see how its sitting .

<line_65>	wantharninu nyinarra . Kartawuralamalalha ! ?
<segmentation>	wantharni-nu nyina-rra . Kartawura-la-ma-lalha ! ?
<glossing>	how-QUOT be-CTEMP butt-LOC-CAUS-PAST
<translation>	Is it in up to the butt ?
