# language_name_wals:	French
# language_name_glotto:	French
# iso639_3:	fra
# year_composed:	NA
# year_published:	2003
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/French/KernFrench/Esteban/010321.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
pain . 7200_9960
yyy . 2897680_2900680
yyy . 2900680_2903440
yyy . 2903440_2904800
yyy . 2934680_2937000
yyy . 2937000_2937680
yyy . 2945560_2948560
yyy . 2949720_2952720
yyy . 2952880_2955880
yyy . 2972560_2975560
yyy . 2979360_2982360
yyy . 2982360_2984720
yyy . 2990440_2993440
yyy . 3002360_3005360
yyy . 3006520_3009520
yyy . 3009520_3011480
yyy . 3025440_3028440
yyy . 3035880_3038880
yyy . 3038880_3041360
yyy . 3042160_3045160
yyy . 3046880_3049880
yyy maman . 3081760_3084760
yyy maman . 3090360_3093360
yyy . 3117160_3120160
yyy . 3173400_3176120
yyy . 3177640_3180240
yyy . 3180240_3181120
yyy . 3185160_3187000
yyy . 3211080_3213720
yyy . 3230800_3233800
yyy . 3235320_3238320
yyy . 3238320_3239920
yyy . 3239920_3241240
yyy . 3241240_3242520
yyy . 3275280_3276040
yyy . 3276040_3276360
yyy . 3276360_3276680
yyy . 3276680_3276880
yyy . 3276880_3277320
yyy . 3277320_3277680
yyy . 3282080_3283920
yyy . 3322960_3325600
yyy . 3384000_3387000
yyy . 3401920_3404920
yyy . 3404920_3406480
yyy . 3420440_3423440
yyy . 3427280_3430200
yyy . 3437400_3440400
yyy . 3447160_3448800
yyy . 3451760_3454760
yyy . 3468240_3471240
yyy . 3504320_3507320
yyy . 3665960_3668960
yyy . 3673840_3676840
yyy . 3684240_3687240
yyy . 3694560_3697560
yyy . 3697560_3698240
yyy . 3698240_3699600
yyy . 3699600_3700760
yyy . 3700760_3701880
