# language_name_wals:	Dani (Lower Grand Valley)
# language_name_glotto:	Lower Grand Valley Dani
# ISO_6393:	dni
# year_composed:	1959
# year_published:	1981
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	face-to-face conversations
# writing_system:	Latn
# special_characters:	NA
# short_description:	The speaker of the text (Apsalek Aso) narrates a quarel between different people to the hearer (Jameke Aso).
# source:	Bromley, H. M. (1981). A grammar of Lower Grand Valley Dani. Pacific Linguistics, C-63, pp. 399-408.
# copyright_short:	© H. M. Bromley
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text gives five annotation layers (for details see Bromley (1981, p. 399): 1) the Dani text in Latin orthography, 2) a line with abbreviations identifying participants of the narrated story, 3) a "parsing code" for verbs which describes them in terms of the categories defined in the grammatical chapters, 4) running glosses (which, however lack some of the information that is given in the parsing code), 5) a free translation. We here only give 1), 4) and 5) respectively, since the other two annotation layers are not understandable without further extensive explanations of abbreviations and conventions. Also, the original glosses contain simple hyphens <-> and double hyphens <-->. As far as we can tell, the former correspond to <.> in the Leipzig glossing rules, i.e. indicating that a single Dani word form is represented by several English word forms; whereas the latter corresponds to <-> in the Leipzig glossing rules, i.e. to a genuine morpheme boundary. Hence, we replace <-> by <.> and <--> by <-> in the glossings. Furthermore, the glossings sometimes contain explanations in parentheses, which are here given as footnotes. Parentheses which are given within a word form in the glossing are also given as footnote marked <x> within the word form. Footnotes deriving from parentheses in the free translation are given with letters instead of numbers.

<line_1>	A'ly-te , Oteke akwe 'noko tauk-hoko-te , Welesi lakeikhe akkyky .
<glossing>	move-it.itself.to.incur when.it.entered-source-topic defeat-having.put.them descend-after.they.came-topic they tomorrow-manner killed.ones to.sling.on.pole.for.themselves they.came I.believe .
<translation>	When it went in of itself , the locals , having clobbered them <b> , came down here , and then the next day they of the other group came there to get the bodies themselves and carry them off on poles , you know . 
<footnote_b>	with a connotation of carelessness and superiority

<line_14>	jetalok lakoukwha .
<glossing>	having.slung.him.on.a.pole they.went
<translation>	They slung them on poles and carried them off themselves .

<line_15>	it-en-he , a'noko welakoukwhasik-he , it-en-he , Kuake ... mel akwe ... Asu'lek akwe-non-he , Inekkiamvlyn akwe-non , tum wytyk-ytyk inathukwha akkyky .
<glossing>	they-source-topic that.we.know they.continued.prior-topic they-source-topic , Kuage <14> what's.his.name his.wife Asuklek <15> his.wife-and-topic Inekiamulin <16> his.wife-and thrust coming-coming<17> they.killed.them I.believe .
<translation>	After that development you know about now they stayed there some time , and they <c> and killed Kuage , who is what's-his-name's wife , Asulek's wife , and also Inekiamulin's wife with repeated spear thrusts .
<footnote_14>	name
<footnote_15>	name
<footnote_16>	name
<footnote_17>	?
<footnote_c>	came

<line_16>	hymy pyte .
<glossing>	women two .
<translation>	Two women .

<line_17>	pyte inathukwhama-te , it joma-nen-he , Aso-ttappo Aso-lokkopal Aso-ttippo lokolhikhesik-he , esa hynaken lokol-hylyk-he , appekkat-he , Esiset ouma-nen matyk-ke atty apekkat hesukwhasik-he , Ettakeisom lakasukwha akkyky .
<glossing>	two after.they.killed.them-topic , they here-source-topic Aso-tapo Aso-Lokobal , Aso-tipo <18> after.he.marshalled-topic front.line-topic Esiset <19> his.home-from up.valley-direction that.abstract frontline after.they.put.it-topic Etagei.streambed they.went.up I.believe
<translation>	After they had killed two , then the locals of the Aso-tapo and Aso-lokobal and Aso-tipo confederacies arranged themselves for battle , and after they marshalled three fighting companies and arranged the front-line men up the valley form Esesit's home there , they went up the Etagei streambed , you know .
<footnote_18>	confederacies
<footnote_19>	name

<line_18>	lakasukwhasik-he , o maik-ke la'lat-at hykhy-lololyk-he , hymy pyte , he akeikhe sokopelan al wathenem , tum-hoko wathukwa .
<glossing>	after.they.went.up-topic , village.eaves-direction closing.closing-predicator putting-while.subject.was-topic women two woman one.of.set pandanus.air.roots refuse when.she.struck thrust-manner they.killed.her .
<translation>	After they went up there , as they were surrounding the village cutting of all exit , right around the gutters under the house eaves , <d> two women -- they killed one of them with a spear thrust as she was pounding pandanus air-roots .
<footnote_d>	there were

<line_19>	he akeikhe svppvtvkkama svppvtv tathenem wathukwha-at hyky .
<glossing>	woman one.of.set sweet.potato.leaves.at <20> sweet.potatoes when.she.dug they.killed.her-also I.perceive
<translation>	They also killed another woman as she was digging sweet potatoes in the garden , you know .
<footnote_20>	i.e. in the garden

<line_20>	wat-hylyk-he at-at , at-at wa'-laka ylvk-he , hat attoma Pililo atty je wanin isukwha .
<glossing>	kill-having.put-topic finished finished die-she.incurred having.said-topic you<21> there<22> Pililo<23> that.abstract ceremonial.exchange.stones <24>.take.it they.said
<translation>	After they killed her and said , " She's finished , she has already died " , they said , " You , Pililo there , you make the ceremonial wealth payment of stones . "
<footnote_21>	sg
<footnote_22>	abstract
<footnote_23>	name
<footnote_24>	you.sg

<line_21>	isukwhama-te je wanhikhe-at .
<glossing>	after.they.said-topic ceremonial.exchange.stones he.took-also
<translation>	After they said that , he did make the payment .

<line_22>	nen joman-nen je wanhukwhasik-he , at-at Ylvakeik na e'ni isukwhama-te , layk wayk Ylvakeik at-at na akoukwha .
<glossing>	then here-from ceremonial.exchange.stones after.they.took.it-topic finished Iluageik <25> to.drink <26>.come they.said.and.then-topic going coming Iluageik finished to.drink they.came .
<translation>	Then after the locals had made ceremonial wealth payments of stone , they said , " It's finished . Come drink from the Iluageik salt pool " , and that was the end of it ; they came to drink from the Iluageik and are coming and going .
<footnote_25>	salt pool name	
<footnote_26>	you.pl

<line_23>	Jamekke hane kolo isikinmo , an hopuk yky atty .
<glossing>	Jameke your.talk crooked after.you.said I later I.said.it that.abstract .
<translation>	Jameke , you told it crooked before , so there I've told it again . '
