# language_name_wals:	Paiwan
# language_name_glotto:	paiw1248
# iso639_3:	pwn
# year_composed:	NA
# year_published:	2006
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	face-to-face_conversations
# writing_system:	Latn
# special_characters:	Equal signs <=> indicate clitic breaks, and <-> morpheme breaks. These are also used in the original script used to write the Paiwan sentences (not only in glosses). <ʔ> represents a voiceless glottal stop. The less-than sign <<>, and the more-than sign <>> are used to mark infixes, e.g. k<em>an "eat", where <em> is an infix. For the mapping between orthographic representations and Paiwan sounds see Chang (2006), p. 30.
# short_description:	Paiwan text called "Conversation between ʔaLuay and calebak". This is a conversation between ʔLuay and calebak in the dialect of Sai (Chang, 2006, p. 428-430).
# source:	Chang, A. H. (2006). A reference grammar of Paiwan. PhD thesis, Australian National University.
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The glossings in the original start with <[> and end with <]>. We leave away these signs. For the interpretation of glossings see list of abbreviations in Chang (2006), p. xxvii. Since this is a face-to-face conversation, the original text gives the name of the speaker before the sentence. This name is here given in <comment> after "speaker:".   

<line_1>	na=k<em>uda=sun , kama ?
<line_6>	ʔau ku=veluc-in sa ku=taLem-an .
<glossing>	Intej 1.Gen.sg=uproot-GV then 1.Gen.sg=plant-LV
<translation>	‘ Well , I uprooted them and then I planted them . ’
<comment>	speaker: calebak

<line_7>	taLem-an a pi-lavi-laving ?
<glossing>	plant-LV Lin Put.AV-Red-side
<translation>	‘ ( Did you ) plant ( them ) in the peripheral area ? ’
<comment>	speaker: ʔaLuay

<line_8>	i=zuua , i=dedet i=veleLuan i=palezaiya . a za maka-lemud=anga=ken tua za d<in>angedang-an . a za t<in>aLem-an ta puk , pai , a semuLaus . a za i=lavilavingan ta i=teku tua za kamaya i=sikipenipenid .
<glossing>	Loc=there Loc=near Loc=creek Loc=along.slope Nom.cm that Complete-chop=Com=1sg.Nom Obl.cm that chop.bush<Pef>-LV Nom.cm that plant<Pef>-LV Obl.cm tree.bean Intej Lin down.slope Nom.cm that Loc=side Obl.cm Loc=below Obl.cm that mango Loc= turn
<translation>	‘ ( The place where we planted them was ) there , ( which was ) near a creek along a slope . ( At ) that place where I have completed chopping bushes . ( At ) that place where ( we ) planted tree beans , well , ( which is ) the down slope . ( At ) the side below those mangos at the turn . ’
<comment>	speaker: calebak

<line_9>	na=t<em>aLem=emun tua zua maLikapuLi ayau ? numaya .
<glossing>	Pef=plant<AV>plant=2pl.Nom Obl.cm that MaLikapuLi QP if.so
<translation>	‘ Did you plant MaLikapuLi , didn ’ t you ? If so . ’
<comment>	speaker: ʔaLuay

<line_10>	ui . t<em>aLem=amen tua maLikapuLi .
<glossing>	yes plant<AV>plant=2pl.ex.Nom Obl.cm MaLikapuLi
<translation>	‘ Yes , we planted MaLikapuLi . ’
<comment>	speaker: calebak

<line_11>	ʔau , a zua . . . , a zua i=zuu~a i=urunan pai ?
<glossing>	Intej Nom.cm that Nom.cm that Loc=there Loc=Urunan QP
<translation>	‘ Well , is that . . . that at Urunan ? ’
<comment>	speaker: ʔaLuay

<line_12>	Hmm .
<glossing>	hmm
<translation>	‘ Hmmm ( = Yes ) . ’
<comment>	speaker: calebak

<line_13>	a za lalivasin aya. vaik-u a . . . 
<glossing>	Nom.cm that place.to.cut.weeds say.AV go-Imp Lin
<translation>	‘ That ( place where we need ) to cut weeds . Go to . . . ’
<comment>	speaker: ʔaLuay

<line_14>	kuda-kuda-in ?
<glossing>	Red-do.what-GV
<translation>	‘ What to do ? ’
<comment>	speaker: calebak

<line_15>	“ vaik-u a hungsia ta sacawchi ! ” nia=aya-in ti p . . .
<glossing>	go-Imp Lin sprinkle.Jap.AV Obl.cm weed.killer.Man 2.pl.ex.Gen-say-GV Nom.ps.sg P
<translation>	‘ “ Go to sprinkle weed killer ! ” we said to P . . . ’
<comment>	speaker: ʔaLuay

<line_16>	paLipeLip ?
<glossing>	PaLipeLip
<translation>	‘ PaLipeLip ? ’
<comment>	speaker: calebak

<line_17>	. . . paLipeLip aya-aya=anan kaumaya a za cemeL . pai , a . . . . . .
<glossing>	PaLipeLip Red-say.AV=Con perhaps Nom.cm that grass Intej Nom.cm
<translation>	‘ . . . PaLipeLip . ’ ‘ That grass is perhaps still so ( tall ) . Well , the . . . ’ ( PaLipeLip might not have sprayed weed killer yet )
<comment>	speaker: ʔaLuay

<line_18>	a ceme L . . .
<glossing>	Nom grass
<translation>	‘ The grass . . . ’
<comment>	speaker: calebak

<line_19>	“ neka=nu ku=paka-zuua-an a djaLan . tjala-nanguaʔ-an=anan a tjabetjab-en=anan ni kama i=calebak ” aya ti paLipeLip .
<glossing>	Neg1=Neg2 1sg.Gen=pass-there-LV Lin road Speltv1-good-Speltv2=Con Nom.cm cut.grass-GV=Com Gen.ps.sg uncle Loc=Calebak say.AV Nom.ps.sg PaLipeLip
<translation>	‘ “ There is no road where I ( can ) pass by . It is best ( to ask ) Uncle Calebak to cut grass first . ” said PaLipeLip ’
<comment>	speaker: ʔaLuay

<line_20>	tiaken . . . ?
<glossing>	1sg.Nom
<translation>	‘ I . . . ? ’
<comment>	speaker: calebak

<line_21>	ui , “ sa hungsia-in ” aya timadju .
<glossing>	yes then sprinkle.Jap-GV say.AV 3sg.Nom
<translation>	‘ Yes , “ and then sprinkle ” , said he . ’
<comment>	speaker: ʔaLuay

<line_22>	ti paLipeLip ?
<glossing>	Nom.ps.sg PaLipeLip
<translation>	‘ PaLipeLip ? ’
<comment>	speaker: calebak

<line_23>	ui .
<glossing>	yes
<translation>	‘ Yes . ’
<comment>	speaker: ʔaLuay

<line_24>	ʔa-ʔacaʔaca-an=anga a za cemeL pai ?
<glossing>	Dist1-tall-Dist2=Com Nom.cm that grass QP
<translation>	‘ Has that grass all grown tall ? ’
<comment>	speaker: calebak

<line_25>	tua zua i=tja i=zuua zuua , Di ?
<glossing>	Obl.cm that Loc=Obl Loc=there there QP
<translation>	‘ ( Is the grass ) at that place over there , right ? ’
<comment>	speaker: ʔaLuay

<line_26>	ui . ui .
<glossing>	yes yes
<translation>	‘Y es.Y es.’
<comment>	speaker: calebak

<line_27>	a zua i=tja i=djaul , tja=aya-u
<glossing>	Nom.cm that Loc=Obl Loc=Djaul 2.Gen.pl.in=say-Imp
<translation>	‘ ( It is ) at Djaul ’ s ( land ) , let ’ s say . ’
<comment>	speaker: ʔaLuay

<line_28>	a za neka=nu kamaya ?
<glossing>	Nom.cm that Neg1=Neg2 mango
<translation>	‘ ( Is it ) that ( place ) without mangos ? ’
<comment>	speaker: calebak

<line_29>	a za i=tjanusun
<glossing>	Nom.cm that Loc=2sg.Obl
<translation>	‘ At the place ( where was ) your lands ( before ) . ’
<comment>	speaker: ʔaLuay

<line_30>	a za i=tja i=Lauz tua za su=v<in>eLi tjanuaken . iaiya . ku=dangedang-in=anan sana aya-in ?
<glossing>	Nom.cm that Loc=Obl Loc=below Obl.cm that 2sg.Gen=buy<GV> 1sg.Obl ya 1.sg.Gen=chop.bush<GV>=Con and.then say-GV
<translation>	‘ That ( place ) is under the ( land ) that you bought from me . Ya . Do I still ( have to ) chop bushes and then do what I was told?’
<comment>	speaker: calebak

<line_31>	ʔau, ʔ<in>aihua=anga a za kamaya.
<glossing>	Intej cut.down.Man<GV>=Com Nom.cm that mango
<translation>	‘ Well , those mango ( trees ) were already cut down . ’
<comment>	speaker: ʔaLuay

<line_32>	ʔau, uri s<em>a-zuua=ken nu singchiʔi numaya . nanguaʔ a ku=kacu-in=anga numaya a zua purupira .
<glossing>	and will go<AV>-there=1.sg.Nom Irr.Temp Monday.Man if.so good Nom.cm 1sg.Gen=carry-GV=Com if.so Nom.cm that rotator(weeder)
<translation>	‘Well , I will go there on Monady if so . It is good for me to bring the weeder if so . ’ 
<comment>	speaker: calebak

<line_33>	Ahh . . . 
<glossing>	Ahh
<translation>	'Ahh . . . '
<comment>	speaker: ʔaLuay

<line_34>	uri ku=kacu-in=anga , pai .
<glossing>	will 1.sg.Gen-carry-GV=Com Intej
<translation>	‘ I will have brought it , then . ’
<comment>	speaker: calebak

<line_35>	ʔau, a za tja=purupira ?
<glossing>	Intej Nom.cm that 2pl.Gen.in=rotator(weeder)
<translation>	‘ Well , ( where is ) our weeder ? ’
<comment>	speaker: ʔaLuay

<line_36>	ʔau , pai , izua . ku=s<in>alit a pi-tjurulit .
<glossing>	Intej Intej Exis 1sg.Gen=put.away<GV> Lin put.AV-Tjurulit
<translation>	‘ And well , it is there . I put ( it ) away and put ( it ) at tjurulit . 
<comment>	speaker: calebak , tjurulit is a name of the place where they keep pigs .

<line_37>	matazua=ken a ʔivu . nia=pare-ʔivu-aw=anan ka=ti su=alak i=lavakaw .
<glossing>	like.that.AV-Red-like.that=1sg. Nom Lin say.AV 2pl.Gen=pare-say-Sub=Con Comt=Nom.ps.sg 2sg.Gen=kid Loc=Lavakaw
<translation>	‘I (just) said like that . We ( will ) discuss with your kid , Lavakaw , first . ’
<comment>	speaker: ʔaLuay

<line_38>	ui , ui , ui . kumali a ini=ka=ken a sevacaʔ . . . . . . . .
<glossing>	yes yes yes even.if Lin Neg1=Neg2=1sg.Nom Lin appear.AV
<translation>	‘ Yes , yes , yes . Even if I don’t come . . . ’
<comment>	speaker: calebak

<line_39>	maka-asik=anga tua za i=zuua ?
<glossing>	Complete.AV-to.weed=Com Obl.cm that Loc=there
<translation>	‘ Have you finished weeding over there ? ’
<comment>	speaker: ʔaLuay

<line_40>	i=za inu ?
<glossing>	Loc=that where
<translation>	‘ Where ? ’
<comment>	speaker: calebak

<line_41>	a za i=zuua a nu=t<in>aLem tua vasa .
<glossing>	Nom.cm that Loc=there Lin 2.pl.Gen=plant<GV> Obl.cm taro
<translation>	‘ At that ( place ) there where you planted taro . ’
<comment>	speaker: ʔaLuay

<line_42>	ui , ui . maka-sik=anga ti LaiLai .
<glossing>	yes yes complete.AV-to.weed=Com Nom.ps.sg LaiLai
<translation>	‘ Yes , yes . LaiLai has finished weeding . ’
<comment>	speaker: calebak

<line_43>	ini . a icu a i=maza a i=pu-ʔacang-an a ku=si-ʔa-ivu-ivu .
<glossing>	Neg Nom.cm this Lin Loc=here Lin Loc=have-pig-AN Lin 1sg.Gen=IV-Red-say
<translation>	‘ No . What I am talking about is the pigsty , here . ’
<comment>	speaker: ʔaLuay

<line_44>	pai , a za t<in>aLem-an ni zepul ta lapanay .
<glossing>	Intej Nom.cm that plant<Pef>-LV Gen.ps.sg Zepul Obl.cm corn
<translation>	‘ Well , that is the place where Zepul planted corns . ’
<comment>	speaker: calebak

<line_45>	ʔau , izua a nema i=zuua ?
<glossing>	Intej Exis Nom.cm what Loc=there
<translation>	‘ Then , what ( do we ) have over there ? ’
<comment>	speaker: ʔaLuay

<line_46>	lapanay ka=tua djaudjaw ka=tua puk , tjeLu . lakua , keDi a za vurasi , a zua djawdjaw . tja=Liaw a zua puk .
<glossing>	corn Comt=Obl.cm leave.of.sweet.potato Comt=Obl.cm tree.bean three but few Nom.cm that sweet.potato Nom.cm that sweet.potato Compr=much Nom.cm that tree.bean
<translation>	‘ Corns and leaves of sweet potatoes and tree beans , three ( kinds ) . But , the sweet potatoes , the leaves of sweet potatoes are few . The tree beans are more . ’
<comment>	speaker: calebak

<line_47>	ʔadjaw ki nangua ʔa zua djawdjaw i=zuua a kasi=maza i=tja=pu-ʔacang-an a ku=in-aLap .
<glossing>	no.idea Fut good Nom.cm that leaves.of.sweet.potato Loc=there Lin from.AV=here Loc=2.pl.Gen.in=have-pig-AN Lin 1sg.Gen=GV-take
<translation>	‘ I have no idea whether these leaves of sweet potatoes there which I took from our pigsty will ( grow ) well ( or not ) . ’
<comment>	speaker: ʔaLuay

<line_48>	mana i=ka pu-vu<rasi>rasi , ayau ?
<glossing>	Cop Neg1=Neg2 have.AV-sweet.potato<Red> QP
<translation>	‘ They are the sweet potatoes which do not produce many sweet potatoes , aren’t they ? ’
<comment>	speaker: calebak

<line_49>	ui
<glossing>	yes
<translation>	' Yes . '
<comment>	speaker: ʔaLuay

<line_50>	uri tja=pacun-i kana neka=nu vurasi , ki=tjen a m-aLap tua nua ʔaLiʔaLi , ayau ?
<glossing>	will 2pl.in.Gen=see-Sub what.if Neg1=Neg2 sweet.potato Fut=2pl.in.Nom Lin AV-take Obl.cm Gen.c mother.people QP
<translation>	‘ We will see What if no sweet potato , we will take other people’s ( leaves of sweet potatoes to plant ) , won’t we ? ’
<comment>	speaker: calebak

<line_51>	ʔa-ʔacaʔaca-an=anga ?
<glossing>	Dis1-tall-Dis2=Com
<translation>	‘ Have ( they ) all grown tall ? ’
<comment>	speaker: ʔaLuay

<line_52>	a djawdjaw ?
<glossing>	Nom.cm leaves.of.sweet.potatoes
<translation>	‘ The leaves of sweet potatoes ? ’
<comment>	speaker: calebak

<line_53>	ini . a za s<in>i-taLem a puk , a lapanay . 
<glossing>	no Nom.cm that IV<Pef>-plant Nom.cm tree.bean Nom.cm corn
<translation>	‘ No . The tree beans that ( we ) planted , ( and ) the corns . ’
<comment>	speaker: ʔaLuay

<line_54>	a zua i=zuua i=tjua tangku , pai ? t<in>aLem-an tua lapanay , ʔa-ʔacaʔaca-an=anga a za lapanay , Di . mezangaL aravac a zua lapanay i=zuua .
<glossing>	Nom.cm that Loc=there Loc=Obl.cm pond Intej plant<Pef>-LV Obl.cm corn Dis1-tall-Dis2=Com Nom.cm that corn Intej grow.luxuriant very Nom.cm that corn Loc=there
<translation>	‘ ( Are they those that we planted ) at the pond , then ? ( As for ) the corns that we planted , ( they ) have all grown tall . Those corns there grow very luxuriant . ’
<comment>	speaker: calebak

<line_55>	a za tjevetjevung , a za i=zuua .
<glossing>	Nom.cm that wet Nom.cm that Loc=there
<translation>	‘ ( It is because ) that ( place ) is wet , ( the place ) there . ’
<comment>	speaker: ʔaLuay

<line_56>	oh , iya . a za i=tja zuma=anga , namaitucu=anan a za puk . a inu=anga ti tja=ʔaLi ? k<em>an ta vava ?
<glossing>	Nom.cm that Loc=obl.cm other=Com like.that.AV=Con Nom.cm that tree.been Nom.cm where=Com Nom.ps.sg 2pl.Gen.in=male.friend ( to male ) eat<AV> Obl.cm wine
<translation>	‘ Oh , ya . ( As for ) those ( tree beans that we planted ) at other places , those tree beans stay like that . ’ ( = They have not grown tall yet . ) Where is our friend ? Drinking wine ? ’
<comment>	speaker:  calebak , ( “ eating wine ” — a way of joking )

<line_57>	hee , hee , ʔadjaw . s<em>a-sagaran . 
<glossing>	hee hee no.idea go<AV>-Sagaran
<translation>	‘ Hee , hee , no idea . ( Maybe he ) went to Sagaran . ’
<comment>	speaker: ʔaLuay , ( hee =laughter )

<line_58>	ʔau . . . , ui , Diva ! ʔaku i=ka=sun a kian ?
<glossing>	Intej yes Intej why Neg1=Neg2=2sg.Nom Lin follow.AV
<translation>	‘ Well , yes , you are right ! Why didn’t you go with ( him ) ? ’
<comment>	speaker:  calebak

<line_59>	ʔau , a ( za ) Liaw a ku=sengseng .
<glossing>	Intej Nom.cm that much Lin 1sg.Gen=work
<translation>	‘ Well , I have lots of work ( to do ) . ’
<comment>	speaker: ʔaLuay 

<line_60>	iya ! a inu a ʔabura a ipaikuay ?
<glossing>	Intej Nom.cm where Nom.cm gasoline Lin one.hundred.Man
<translation>	‘ Is that so ! Where is the hundred dollars for gasoline ? ’
<comment>	speaker:  calebak

<line_61>	neka ( =anga ) =nu ku=paysu=angataa .
<glossing>	Neg1(=Com=)Neg2 1sg.Gen=money=at.all
<translation>	‘ I don’t have money at all ( now ) . ’
<comment>	speaker: ʔaLuay

<line_62>	iya! pavay-u=anga=ken nu izua=anga !
<glossing>	Intej give-Imp=Com=1sg.Nom Irr.temp Exis=Com
<translation>	‘ Is that so ! Give me ( the money ) after ( you ) have ( money ) ! ’
<comment>	speaker: calebak 

<line_63>	ui . 
<glossing>	yes
<translation>	' Yes '
<comment>	speaker: ʔaLuay 

<line_64>	a za ʔabura nua tja=kikai pai , ku=vaik-aw , ula=mun a macaʔu a masengseng .
<glossing>	Nom.cm that gasoline Gen.cm 2pl.in.Gen=machine.Jan Intej 1sg.Gen=go.Sub hope=2pl.Nom Lin be.able.to Lin work.AV
<translation>	‘ Then , I am going ( and ) hope that you can work . ’
<comment>	speaker:  calebak

<line_65>	ʔau , k<em>uda-kuda=mun ka=ti kina i=LaiLai ?
<glossing>	Intej Red-do.what<AV>=2pl.ex.Nom Comt=Nom.ps.sg aunt Loc=LaiLai
<translation>	‘ Well , what happened to you and Aunt LaiLai ? ’
<comment>	speaker: ʔaLuay 

<line_66>	kana mesegalu timadju , a me-keDi a kai , kana makaya=itjen a kicepeliu . tja-radjaytja-radjay a za kai . L<em>emu=itjen ? ʔau , uri ʔaleʔal-en=itjen nu s<em>a-zuua=itjen . neka=nu tja=pasaLiw . neka=nu tja=k<em>uda-kuda .
<glossing>	CfC become.quiet.AV 3sg.Nom Lin become.AV-less Nom.cm word CfC be.able.to=2pl.in.Nom Lin return Compr-sharpCompr-sharp Nom that word bear<AV>=2pl.Nom.in Intej will bark-GV=2pl.Nom.ex if go.<AV>-there=2pl.Nom.ex Neg1=Neg2 2pl.Gen.in=wrong Neg1=Neg2 2pl.Gen.in=Red-do.what<AV>
<translation>	‘ If she became quiet , her words became less , we were able to return . ( However , ) Her words are getting sharper and sharper ( instead ) . Can we live with it ? And yet , ( she ) will bark at us ( like dog ) if ( we ) go somewhere . We did not do anything wrong . We are not doing something . ’
<comment>	speaker:  calebak

