# language_name_wals:	Paiwan
# language_name_glotto:	paiw1248
# iso639_3:	pwn
# year_composed:	NA
# year_published:	2006
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	Equal signs <=> indicate clitic breaks, and <-> morpheme breaks. These are also used in the original script used to write the Paiwan sentences (not only in glosses). <ʔ> represents a voiceless glottal stop. The less-than sign <<>, and the more-than sign <>> are used to mark infixes, e.g. k<em>an "eat", where <em> is an infix. For the mapping between orthographic representations and Paiwan sounds see Chang (2006), p. 30.
# short_description:	Paiwan text called "Kai's life story (2)". This is told by a Paiwan speaker called kai in the dialect of San (Chang, 2006, p. 428-430).
# source:	Chang, A. H. (2006). A reference grammar of Paiwan. PhD thesis, Australian National University.
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The glossings in the original start with <[> and end with <]>. We leave away these signs. For the interpretation of glossings see list of abbreviations in Chang (2006), p. xxvii  

<line_1>	pai , a za ku=vetek a tala-vuLuvuLung-an , mateLu a alak a tela-u<ʔala>ʔalay a v<in>aik-an nimadu .
<glossing>	Pef=<AV>-make-child Obl.cm child Gen.cm sibling 3sg.Nom
<translation>	‘ ( They ) adopted a child of their brother ’ s . ’

<line_18>	pai , tucu tiamadu , na=kipauLa tiamadu ta neka=nu sengsengan niamadu tua kinaikacaʔuanan .
<glossing>	Intej now 3pl.Nom Pef=poor.AV 3pl.Nom Obl.cm Neg1=Neg2 job 3pl.Gen Obl.cm the.world
<translation>	‘ Well , now , ( as for ) them , they are poor as they have no job in the world . ’

<line_19>	vai-vaik , nu izua a ka-sengseng-en , nu izua a pa-zeliul , vaik a z<em>eliul .
<glossing>	Red-go.AV if Exis Nom.cm work-GV if Exis Nom.cm Cau.AV-make.money go.AV Lin make.money<AV> 
<translation>	‘ ( They will be ) going , if there is a job to do , ( and ) if there is ( someone who can ) let them make money , ( they will ) go to make money . ’

<line_20>	vaik a masengseng .
<glossing>	go.AV Lin work.AV
<translation>	‘ ( They ) will go to work . ’

<line_21>	laka , nu neka , neka=nu kasengseng-en niamadu .
<glossing>	but if Neg Neg1=Neg2 work-GV 3pl.Gen
<translation>	‘ But , if none , they have no work to do . ’

<line_22>	saka , pai , tucu a si-selapai niamadu .
<glossing>	therefore Intej now Lin IV-suffer 3pl.Gen
<translation>	‘ Therefore , well , now they suffer . ’
 
<line_23>	na=matazua a za si-selapai niamadu tua kinaikacaʔuanan.
<glossing>	Pef=like.that.AV Nom that IV-suffer 3pl.Gen Obl.cm the.world
<translation>	‘ What they suffer from in the world is like so . ’

<line_24>	ʔau , pai a icu a ku=vetek a sikamasanemusan , masepataz a alak nimadu .
<glossing>	Intej Intej Nom.cm this Lin 1sg.Gen-sibling Lin second four.Clasf.C Nom.cm thatchild 3sg.Gen
<translation>	‘ And , well , ( as for ) my second sister , she has four children . ’

<line_25>	macidil a uʔalay a talavuLuvuLungan .
<glossing>	one.Clasf.C Nom.cm male Lin oldest
<translation>	‘ ( She ) has one son , who is the eldest . ’ 

<line_26>	mateLu a va<vaya>vayan .
<glossing>	three.Clasf.C Lin female<Red>
<translation>	‘ ( And she has ) three daughters . ’

<line_27>	lakua , pai , tucu , a za alak a uʔalay talavuLuvuLungan , na=pu-cekel timadu lakua ini=ka na=pu-alak
<glossing>	but Intej Now Nom.cm that child Lin male oldest Pef=have.AV-spouse 3sg.Nom but Neg1=Neg2 Pef=have.AV-child
<translation>	‘ But , well , now , ( as for ) the eldest son , he has married but has no child . ’

<line_28>	manasika , ini=ka nanguaʔ a kinacemekelan niamadu .
<glossing>	so Neg1=Neg2 good Nom.cm family 3pl.Gen
<translation>	‘ So , their family ( life ) is not happy . ’

<line_29>	ini=ka na=marekilivak a marecekel .
<glossing>	Neg1=Neg2 Pef=love.each.AV Nom.cm husband.and.wife
<translation>	‘ The husband and wife do not love each other . ’

<line_30>	vai-vaik tua varung nimadu tua kinaikacaʔuanan .
<glossing>	Red-go.AV Obl.cm heart 3sg.Gen Obl.cm the.world
<translation>	‘ His heart is going around in the world . ’

<line_31>	ʔau , a za cekel nimadu , i=tumaʔ .
<glossing>	Intej Nom.cm that spouse 3sg.Gen Loc= house
<translation>	‘ Well , ( as for ) his wife , she is at home . ’

<line_32>	na=s<em>ane-alak=anga tua alak nua kaka niamdu .
<glossing>	Pef=make<AV>child=Com Obl.cm child Gen.cm sibling 3sg.Gen
<translation>	‘ ( They ) adopted a child of her sibling ’ s . ’

<line_33>	lakua , ini=ka na=marekasarunguanguaʔ a kinacemekelan niamdu .
<glossing>	but Neg1=Neg2 Pef=peaceful Nom.cm family 3pl.Gen
<translation>	‘ But , their family is not peaceful . ’

<line_34>	manasika , ini=ka i=tuma-tumaʔa za ku=alak a uʔalay .
<glossing>	so Neg1=Neg2 Loc=Red-house Nom.cm that 1sg.Gen=child Lin male
<translation>	‘ So , my nephew is always not at home . ’

<line_35>	ʔau, pai , a za vavayan a sikamasanemusan , na=pucekel timadu sa pu-alak ta vavayan a macidil sa macay .
<glossing>	Intej Intej Nom.cm that female Lin second Pef=have.AV-spouse 3sg.Nom and.then have.AV-child Obl.cm female Lin one.Clasf.C and.then die.AV
<translation>	‘ And , well , ( as for ) the second girl , she married and then gave birth to a daughter and then died . ’

<line_36>	pai , a za alak nimadu tucu , izua a za alak nimadu . uri Dusa=anga a cavil a zua alak nimadu .
<glossing>	Intej Nom.cm that child 3sg.Gen now Exis Nom.cm that child 3sg.Gen will two=Com Lin year Nom.cm that child 3sg.Gem
<translation>	‘ Well , ( as for her children ) now , she has a children . Her child is going to be two years old . ’

<line_37>	ʔau , pai , a icu a sikamasanteLuL , na=pu-cekel a s<em>a-zuua i=pairang i=nisui .
<glossing>	Intej, Intej Nom.cm this Lin third Pef=have.AV-spouse Lin go<AV>-there Loc=the.plains Loc=Nisui
<translation>	‘ And , well , ( as for ) the third ( child ) , she has married ( and ) went to the plains , at Nisui . ’ 

<line_38>	lakua , pu-alak ta vavayan tu Dusa .
<glossing>	but have.AV-child Obl.cm female Obl.cm two
<translation>	‘ But , she has two daughters . ’

<line_39>	lakua , na=mavaday=anga tiamadu .
<glossing>	but Pef=divorce.AV=Com 3pl.Nom
<translation>	‘ But , they have been divorced . ’

<line_40>	saka , i=tumaʔ=anga tucu .
<glossing>	therefore Loc=home=com now
<translation>	‘ Therefore , ( she is _ already at home now . ’

<line_41>	ʔau , sikamasansimateL a alak a vilivililan ni kaka , na=pu-cekel sa pu-alak timadu tu mateLu .
<glossing>	Intej fourth Lin child Lin last Gen.cm sibling Pef=have.AV-spouse and.then have-child 3sg.Nom Obl.cm three.Clasf.C
<translation>	‘ Well , ( as for ) the fourth child , my sister ’ s youngest child , ( he ) married and then has three children . ’

<line_42>	lakua , na=s<em>alimsim a kinacemekelan niamdu uta , kipauLauLa tiamadu angauta .
<glossing>	but Pef=miserable<AV> Nom.cm family 3pl.Gen also hard 3pl.Nom also
<translation>	‘ But , their family is also miserable ( and so ) they also have a hard time . ’

<line_43>	ʔau , pai , tucu vai-vaik tiamadu a kalim tua kasengseng-en tiamadu mare-cekel tua si-paʔuzit tua za marekaalak niamadu a mateLu .
<glossing>	Intej Intej now Red-go.AV 3pl.Nom Lin seek.AV Obl.cm work-GV 3pl.Nom Reci-spouse Obl.cm IV-breed Obl.cm that PL child 3pl.Gen Lin three.Clasf.C
<translation>	‘ And , well , now they go ( out ) to seek a job to do , they , husband and wife , for breeding their three children . ’

<line_44>	ʔau , pai , a icu a tiaken , macidil a ku=alak .
<glossing>	Intej Intej Nom.cm this Lin 1sg.Nom one.Clasf.C Nom.cm 1sg.Gen-child
<translation>	‘ And , well , ( as for ) me , I have a child . ’

<line_45>	na=pu-cekel=aken ka Dusa=ken a puLu ka=tua Dusa cavil .
<glossing>	Pef=have.AV-spouse=1sg.Nom Rea.Temp two=1sg.Nom Lin ten Comt=Obl.cm two year
<translation>	‘ I got married when I was twenty - two years old . ’

<line_46>	ka pu-cekel=aken , pai , ka sikaʔaLu a cavilil , pu-alak=aken tua macidil a uʔalay .
<glossing>	Rea.Temp have.AV-spouse=1sg.Nom Intej Rea.Temp eight Lin year have.AV-child=1sg.Nom Obl.cm one.Clasf.C Lin male
<translation>	‘ After I got married , well , when the eighth year , I have a son . ’

<line_47>	ʔau , pai , tucu izua a sengsengan na ku=alak .
<glossing>	Intej Intej now Exis Nom.cm work Gen.cm 1sg.Gen=child
<translation>	‘ And , well , now my son has a job . ’

<line_48>	ma-Leva=ken tua kilivak na cemas .
<glossing>	AntiCau.AV-joyful=1sg.Nom Obl.cm care Gen.cm God
<translation>	‘ I am happy with God ’ s blessing . ’

<line_49>	s<in>i-kuLit=amen tua nia=si-ka-vaLut .
<glossing>	IV<Pef>bless=2pl.ex.Nom Obl.cm 2pl.Gen=IV-AntiCau-live
<translation>	‘ We were blessed with what we can live with . ’

<line_50>	na=s<em>upu timadu ta kisatsu , saka , kisatsu tucu timadu .
<glossing>	Pef=study<AV> 3sg.Nom Obl.cm police.Jap therefore police.Jap now 3sg.Nom
<translation>	‘ He ( = my son ) studide at a police ( school ) , ( and ) therefore , he is a policeman now . ’

<line_51>	ʔau , pai , tucu , ini=anan=ka pu-cekel timadu .
<glossing>	Intej Intej now Neg1=Con=Neg2 have.AV-spouse 3sg.Nom
<translation>	‘ And , well , now , he is not married yet . ’

<line_52>	ʔau , pai , a za ku=kaka a talalak a vavayan , masepat a alak nimadu .
<glossing>	Intej Intej Nom.cm that 1sg.Gen=sibling Lin youngest Lin female four.Clasf.C Nom.cm child 3sg.Gen
<translation>	‘ And , well , ( as for ) my youngest sister , she has four children . ’

<line_53>	macidil a uʔalay , mateLu a va<vaya>vayan .
<glossing>	one.Clasf.C Lin malle three Lin female<Red>
<translation>	‘ One boy and three girls . ’

<line_54>	a zua talavuLuvuLungan , na=pu-cekel tua pairang .
<glossing>	Nom.cm that oldest Pef=have.AV-spouse Obl.cm people.living.on.the.plains
<translation>	‘ ( As for ) the oldest , ( she ) married to a person living on the plains . ’

<line_55>	lakua , na=mavaday angauta .
<glossing>	but Pef=divorce.AV also
<translation>	‘ But , ( she ) has also been divorced . ’

<line_56>	ini=ka makaya pu-alak , a mavaday .
<glossing>	Neg1=Neg2 be.able.to.AV have.AV-child Lin divorce.AV
<translation>	‘ ( Because she ) is not able to give birth to children , who has been divorced .

<line_57>	ʔau , pai , a za sikamasanemusan , a uʔalay , ini=anna=ka pu-cekel .
<glossing>	Intej Intej Nom.cm that second Lin male Neg1=Con=Neg2 have.AV-spouse
<translation>	‘ And , well , ( as for ) the second ( child ) , who is a boy , ( he ) is not married yet . ’

<line_58>	a za sikamasaneteLuL , vavayan , ini=anan=ka pu-cekel .
<glossing>	Nom.cm that third female Neg1=Con=Neg2 have.AV-child
<translation>	‘ ( As for ) the third ( child ) , ( who is ) girl , ( she ) is not married yet . ’

<line_59>	ʔau , a za sikamasansimateL a vavayan , uri pu-cekel tucu tua ripun .
<glossing>	Intej Nom.cm that fourth Lin female will have.AV-spouse now Obl.cm Japanese
<translation>	‘ Well , ( as for ) the fourth child , ( she ) will marry a Japanese man . ’

<line_60>	uri s<em>a-zuua i=ripun timadu .
<glossing>	will go<AV>-there Loc=Japan 3sg.Nom
<translation>	‘ ( She ) will go to Japan . ’

<line_61>	ʔau , pai , a za ku=kaka , izua i=tumaʔ ka=tua cekel nimadu .
<glossing>	Intej Intej Nom.cm that 1sg.Gen=sibling Exis Loc=house Comt=Obl.cm spouse 3sg.Gen
<translation>	‘ And , well , ( as for ) my sister , ( she ) and her husband are at home . ’

<line_62>	a zua cekel nimadu , na=s<em>alimsim=anga a kinacaʔucaʔuan .
<glossing>	Nom.cm that spouse 3sg.Gen Pef=miserable<AV>=Com Nom.cm body
<translation>	‘ ( As for ) her husband , ( his ) health is miserable . ’

<line_63>	vuLuvuLung=anga timadu .
<glossing>	old=Com 3sg.Nom
<translation>	‘ He is already old . ’

<line_64>	ini=anga=ka namaya tua sikudakudan nimadu .
<glossing>	Neg1=Com=Neg2 simliar.AV Obl.cm look 3sg.Gen
<translation>	‘ ( His body ) is not like what it looked before . ’

<line_65>	saka , na=s<em>alimsim=anga tucu a za cekel nimadu .
<glossing>	therefore Pef=miserable<AV>=Com now Nom.cm that spouse 3sg.Gen
<translation>	‘ Therefore , her husband is miserable now . ’

<line_66>	kamseng .
<glossing>	finish
<translation>	‘ ( I ) finished ”

