# language_name_wals:	Wichita
# language_name_glotto:	Wichita
# ISO_6393:	wic
# year_composed:	1965
# year_published:	2019
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	oral tradition
# writing_system:	Latn
# special_characters:	á high tone /a/; é high tone /e/; ó high tone /o/; í high tone /i/; ʔ glottal stop; ː long vowel; ːː double-long vowel
# short_description:	This text is based on a recording made in Anadarko, Oklahoma in 1965 by Mrs. Bertha Provost. The title is "Turtle, Buffalo and Coyote". The recordings are archived at the Sam Noble Museum in Lawton, Oklahoma.
# source:	David S. Rood
# copyright_short:	This text is published under a CC by 4.0 license (https://creativecommons.org/licenses/by/4.0/)
# copyright_long:	NA
# sample_type:	whole
# comments:	Note that lines do not correspond to sentences. The numbers in the morpheme segmentations distinguish homophonous morphemes.

<line_1>	kaːʔaːʔaːkóːkhaːrʔa
<translation>	ok then go into my anus

<line_19>	hiriwaʔ naːhissah harah aːkikawa
<segmentation>	hiriwaʔ na xx hisha h harah aːʔ ki ka wa
<glossing>	then ppl xx go there subp quot aorist in gop
<translation>	then going he went in there.

<line_20>	hiriwaʔ nakhissah harah waʔ nakaːʔicakih
<segmentation>	hiriwaʔ na ka hisha h harah waʔ na kaː2 ʔicaki h
<glossing>	then ppl in go subp there already ppl inside sit subp
<translation>	then after he went in while he was sitting inside

<line_21>	aːkihiʔiyaskwa hiriwaʔ nahitéːtiskih
<segmentation>	aːʔ ki hiʔiyas wa hiriwaʔ na hita iti skih
<glossing>	quot aorist crosswater gop then ppl edge exit subi
<translation>	he went across the water. then when he was getting out onto the bank

<line_22>	nahiʔiyassissah haʔawíːroːʔ éːkaːʔ híriwaʔ
<segmentation>	na hiʔiyas hisha haʔawiːʔ híriʔ waʔ éː kaːʔ2 hiriwaʔ
<glossing>	ppl crosswater go ok inthatcase already proq place then
<translation>	after crossing the water okay then now where is it then.

<line_23>	kiyakíːctawiːːʔi híriwaʔ hakoːcitih
<segmentation>	kiya ki uc tawiːːʔi hiriwaʔ ha-ki wac iti h
<glossing>	quot3 aorist prevdat bedifficult then sjvt outside exit subp
<translation>	it was hard for him to get out

<line_24>	aːkiʔírakhann kíkʔiːs áːkiwickaːʔa
<segmentation>	aːʔ ki ʔirakhann kíkʔiːs aːʔ ki wickaːʔa
<glossing>	quot aorist happen turtle quot aorist think
<translation>	suddenly the turtle thought to himself

<line_25>	tiʔi híriʔ ickaʔac kaːkiriʔáreːrʔi
<segmentation>	tiʔi híriʔ i t kaʔac kaː kiriʔ i4 a3 reːr4 ʔi
<glossing>	this inthatcase imp1 onesub eattr indef thing direc prevunknown unknown be
<translation>	let me eat this then. he didnt know what it was

<line_26>	nakaʔacskih nakoːkeːhárih
<segmentation>	na kaʔac skih na koːka yiha hirih
<glossing>	ppl eattr subi ppl deepin beaplace loc
<translation>	what he was eating deep inside him

<line_27>	chiʔáːkiʔiːrakhárisʔíːʔ néːrhirʔa aːkiːweʔehi
<segmentation>	chiʔ aːʔ ki ʔirakhar isʔiːʔ néːrhir ʔa2 aːʔ ki iweʔehi
<glossing>	just quot aorist happen xx buffalo nounf quot aorist fallover
<translation>	all at once the buffalo fell over

<line_28>	hiriwaʔ kíkʔiːs wéraʔ nakaʔacskih harah
<segmentation>	hiriwaʔ kíkʔiːs wéraʔ na kaʔac skih harah
<glossing>	then turtle maybe ppl eattr subi there
<translation>	then while the turtle was eating there

<line_29>	aːkóːciti nawacitiskih
<segmentation>	aːʔ ki wac iti na wac iti skih
<glossing>	quot aorist outisde exit ppl outside exit subi
<translation>	he went out. after he went out

<line_30>	kiyakiːcíwacéːrhirʔasʔirhawi
<segmentation>	kiya ki uc riwaːc néːrhir ʔa2 s3 ʔirhawi
<glossing>	quot3 aorist prevdat big buffalo nounf inc belying
<translation>	there was a big buffalo lying there

<line_31>	hiriwaʔ noːkʔáskih áːkihirʔaːhi
<segmentation>	hiriwaʔ na wakʔa skih aːʔ ki hirʔaːhi
<glossing>	then ppl say subi quot aorist cometoastop
<translation>	then he stopped and said

<line_32>	áːːh kaːkiyaʔ isaːctaːharaʔa
<segmentation>	aːːh kaː kiyaʔ i s uy aː2 uc taːha ri ʔa
<glossing>	interj indef person imp1 twosub prevcome1 refl dat knife ptv come
<translation>	hey. somebody bring your knife.

<line_33>	aːcíːréːrhirʔastariyari tariyari
<segmentation>	aːcíː néːrhir ʔa2 s3 tar iyari
<glossing>	xx refl dat polite buffalo nounf inc butcher cut gorandomly
<translation>	butcher the buffalo butcher

<line_34>	aːkiʔíːrakhann kʔítaːks kaːʔaːʔaːkiriyaːsʔa
<segmentation>	aːʔ ki ʔirakhann kʔítaːks kaːʔ aːʔ aː ki riyaːs ʔa
<glossing>	quot aorist happen coyote distpast quot prevcome3 aorist old come
<translation>	suddenly along came the old coyote.

<line_35>	éːsiːʔ háːwaʔ neʔewáːr eːːh
<segmentation>	éː siːʔ haːwaʔ neʔewáːr aːːh
<glossing>	proq event then2 friend interj
<translation>	what is it friend. oh

<line_36>	tataːctaːrhaskis káːkiriʔ ʔatíːʔi
<segmentation>	ta t aː2 uc taːrha s3 ki s2 káː kiriʔ ʔa3 t uy2 ʔi
<glossing>	pres onesub refl dat buffalof inc kill impf neg thing presneg onesub prehave be
<translation>	ive killed myself a buffalo. i have nothing

<line_37>	hiriwaʔ hakitariyarih aːkoːkʔa kʔítaːks
<segmentation>	hiriwah ha-ki tar iyari h aːʔ ki wakʔa kʔítaːks
<glossing>	instrumpro sjtv cut gorandomly butcher subp quot aorist say coyote
<translation>	with which to butcher him said coyote

<line_38>	haʔwiːʔ itaːceʔíːriyeːsʔakhiːwa hinniʔ
<segmentation>	haʔawiːʔ i t aː2 uc reʔiːr niyeːs ʔak hiːwa hinniʔ
<glossing>	ok imp1 onesub refl dat first child patns fetch and
<translation>	ok. let me go after my children first and

<line_39>	kiʔictariyari haʔwiːʔ hiriwaːʔ
<segmentation>	kiʔi t tar iyari haʔawiːʔ hiriwaʔ
<glossing>	impl onesub cut gorandomly buthcer ok then
<translation>	then i will butcher (let me butcher then). ok. then

<line_40>	naːhissah hinniʔ íːkaʔakireːʔíːtariyari
<segmentation>	na xx hisha h hinniʔ hi kaʔa ki reʔiːr tar iyari
<glossing>	ppl xx go subp and dusub quot2 aorist first cut gorandomly butcher
<translation>	he was going and. they two had butchered first.

<line_41>	kʔítaːks wéraʔ hasʔaːʔákicitaːheʔeh
<segmentation>	kʔítaːks wéraʔ hasʔa aːʔ aː2 ki uc i3 taːha ʔihahi h
<glossing>	coyote maybe narr quot refl aorist dat extrav knife have subp
<translation>	coyote must have had his knife with him.

<line_42>	aːkiriwáːːːːːːːcʔarasʔíːrʔariːk
<segmentation>	aːʔ ki riwaːc ʔaras ʔirʔíː ʔariki iki
<glossing>	quot aorist big meat protrude stand causep
<translation>	he piled up a great big amount of meat

<line_43>	hiroːʔ kʔítaːks áːkoːkʔa haʔwiːʔ itíːceʔéːrhiːwa
<segmentation>	hiriwaʔ kʔítaːks aːʔ ki wakʔa haʔawiːʔ i t uc reʔiːr hiːwa
<glossing>	then coyote quot aorist say ok imp1 onesub dat first fetch
<translation>	then coyote said ok. let me first go after her

<line_44>	natiːʔakʔih hinniʔ niyeːs natíːkih
<segmentation>	na t uy2 ʔak2 ʔi h hinniʔ niyeːs na t uy2 iki2
<glossing>	ppl onesub prevhave wife be subp and child ppl onesub prevhave bepl
<translation>	my wife and my children

<line_45>	kaːʔ híriwaʔ niʔírhissah kʔítaːks naːhissah
<segmentation>	kaːʔ hiriwaʔ na xx iʔiːr hisha h kʔítaːks na xx hisha h
<glossing>	distpast then ppl xx inadirection go subp coyote ppl xx go subp
<translation>	so then going off coyote going along

<line_46>	éːːh kaːkiyákiːhis aːkiʔíːrakhánn
<segmentation>	aːːh kaːʔ3 kiya ki xx hisha aːʔ ki ʔirakhann
<glossing>	interj faroff quot3 aorist xx go quot aorist happen
<translation>	oh he was going far off. suddenly

<line_47>	híriwaʔ haːwaʔ wéraʔ naːciriyeːsʔakhirʔíːraskih
<segmentation>	hiriwaʔ haːwaʔ wéraʔ na aː2 uc i3 niyeːs ʔak hiʔri ʔirasi skih
<glossing>	then then2 maybe ppl refl dat extrav child patns anob find subi
<translation>	then too he must have found his children.

<line_48>	tiːʔ aːʔákireːwaːr kíkʔiːs hinniʔ
<segmentation>	tiːʔ aːʔ aː2 ki reːwaːri kíkʔiːs hinniʔ
<glossing>	atonce quot refl aorist beginwork turtle and
<translation>	at once the turtle set to work and

<line_49>	wáːcʔarʔa aːkoːkʔa éːkiriʔ háːwaʔ neʔewáːr
<segmentation>	wáːcʔar ʔa2 aːʔ ki wakʔa éː kiriʔ haːwaʔ neʔeːwáːr
<glossing>	squirrel nounf quot aorist say proq thing then2 friend
<translation>	squirrel said what is it then friend.

<line_50>	kiyakiriwaːcáːhkwi
<segmentation>	kiya ki riwaːc yaːk r wi
<glossing>	quot3 aorist big wood patns standupright
<translation>	there was a big tree

<line_51>	hassiyaːrhiʔíːrikaːwih
<segmentation>	has na yaːk r ʔirʔíː kaːwi h
<glossing>	permanently ppl wood patns protrude hangdown subp
<translation>	with a branch hanging down over

<line_52>	nareːheːhárih
<segmentation>	na reːr haː yiha hirih
<glossing>	ppl the waterl beaplace loc
<translation>	where the creek is

<line_53>	tatíːʔiːkhíyaʔa tiʔi ʔaras hatakiccareːhih
<segmentation>	ta t u ʔikhiyaʔa tiʔi ʔaras ha-ki t aː2 uc ca reːhi h
<glossing>	pres onesub prevx wish this meat sjtv onesub refl dat surface beinplacepl subp
<translation>	i want this meat of mine to be put on top.

<line_54>	aːkoːkʔa waːcʔarʔa haʔwiʔ itactateːti
<segmentation>	aːʔ ki wakʔa wáːcʔar ʔa2 háʔawiːh i t ax uc tateːti
<glossing>	quot aorist say squirrel nounf ok imp1 onesub twoob prevdat help
<translation>	the squirrel said ok let me help you.

<line_55>	waːcʔarʔa kiyaːkiriwaːcʔarasarikitaʔahíːriks
<segmentation>	wáːcʔar ʔa2 kiya aː ki riwaːc ʔaras ra ri kita ʔa hiːriks
<glossing>	squirrel nounf quot3 prevcome3 aorist big meat patns ptv on come repet
<translation>	the squirrel brought the meat up to the top repeatedly

<line_56>	niyaːhkwírih híːːːːrakaːh
<segmentation>	na yaːk r wi hirih híːrakaːh
<glossing>	ppl wood patns standupright loc faroff2
<translation>	where the tree is. far off

<line_57>	aːkiriwaːcʔárascareːhi híriwaːʔ kʔítaːks
<segmentation>	aːʔ ki riwaːc ʔaras ca reːhi hiriwaːʔ kʔítaːks
<glossing>	quot aorist big meat surface beinplacepl then coyote
<translation>	he put the big quantity of meat on top. then coyote

<line_58>	naːʔaskih niyeːs kiyakoːkhátataʔariki
<segmentation>	na aː ʔa skih niyeːs kiya ki wakhahr2 tata ʔariki
<glossing>	ppl prevcome3 come subi child quot3 aorist patns2 follow stand
<translation>	he was coming and his children were following

<line_59>	hinniʔ naréːʔakʔih nachissʔaskih
<segmentation>	hinniʔ na reːr ʔak2 ʔi h na hiss ʔa skih
<glossing>	and ppl the wife be subp ppl prevdat arrive come subi
<translation>	and his wife. when they arrived

<line_60>	íːyaːh káːkiriʔ kiyakiːʔi
<segmentation>	íːyaːh káː kiriʔ kiya ki i3 ʔi
<glossing>	interj2 neg thing quot3 aorist extrav be
<translation>	oh alas. there was nothing there.

<line_61>	káːkiriʔ watiːʔi éːkaːʔ wéraʔ
<segmentation>	káː kiriʔ waʔ ta i3 ʔi éː kaːʔ2 wéraʔ
<glossing>	neg thing already pres extrav be proq place maybe
<translation>	there is nothing left. i wonder where he is.

<line_62>	téːriyaːh icihirʔíːrasih
<segmentation>	ta i2 aːriyaːh i t d hiʔri ʔirasi h
<glossing>	pres pfocagt watchout imp1 onesub prevdat2 anob find subp
<translation>	he better watch out if i find him.

<line_63>	néʔaʔ kiyakiːchaːris kʔítaːks
<segmentation>	néʔaʔ kiya ki uc hahris kʔítaːks
<glossing>	bad quot3 aorist prevdat angry coyote
<translation>	coyote was getting angry.

<line_64>	khiʔas niyeːs nireːrʔih
<segmentation>	khíʔas niyeːs na iy reːr ʔi h
<glossing>	poorth child ppl nfocagt the be subp
<translation>	the poor children

<line_65>	khiʔaskiːkihanteʔerʔas
<segmentation>	khiʔas kiya iy ki hirahr teʔerʔa s2
<glossing>	poorth quot3 nfocagt aorist ground lick impf
<translation>	the poor things were licking the ground

<line_66>	waːckaːriksʔa naːckitawaːhah
<segmentation>	waːc kaːriks ʔa2 na xx uc awaː kitha h
<glossing>	blood clots nounf ppl xx prevdat distrib scatter top beaplace subp
<translation>	the bloodclots scattered around

<line_67>	aːkiʔíːrakhann aːkiʔickhitéːs nareːheːhárih
<segmentation>	aːʔ ki ʔirakhann aːʔ ki xx ʔicka hita hisha na reːr haː yiha hirih
<glossing>	quot aorist happen quot aorist instr face edge go ppl the waterl beaplace loc
<translation>	suddenly he peeked over the edge of the creek

<line_68>	niyaːrhiʔíːrikaːwírih wéraʔ chiyaréːsirih
<segmentation>	na yaːk r ʔirʔiː kaːwi hirih wéraʔ chi xx reːr2 iːs hirih chiyaréːsirih
<glossing>	ppl wood patns protrude hangdown loc maybe still xx newinf see loc inplainsight
<translation>	where the branch hung down over it. it seemed in plain sight

<line_69>	kirikiyakirhareːsʔi hinniʔ
<segmentation>	kiri kiya ki d haː reːhi s2 ʔi hinniʔ
<glossing>	deep quot3 aorist waterl prevdat2 beinplacepl impf be and
<translation>	they were deep in the water and

<line_70>	hiːríkaːʔ iːyeːh akwithaʔ háːriʔ iskiriheʔecaki
<segmentation>	hiːríːkaːʔ i4 iy yiha akwithaʔ haːriʔ iskiri haː ʔicaki
<glossing>	faroff2 direc nfocagt beaplace above demdist2 excl waterl sit
<translation>	all the time they were way up above. he is sitting in the water

<line_71>	híːrakaːh iskirihíːkeʔecaki niyeːs
<segmentation>	hiːrakaːh iskiri hiː ka ʔicaki niyeːs
<glossing>	faroff excl ditch in sit child
<translation>	he is sitting way down in the water. the children

<line_72>	nireːrʔih téːriyaːh
<segmentation>	na iy reːr ʔi h ta i2 aːriyaːh
<glossing>	ppl nfocagt the be subp pres pfocagt watchout
<translation>	it was them. he better watch out.

<line_73>	aːʔákiciyeːsʔakwaːri háʔwiːʔ
<segmentation>	aːʔ aː2 ki uc niyeːs ʔak waːri háʔawiːh
<glossing>	quot refl aorist dat child patns tell ok
<translation>	he told his children ok

<line_74>	ikaːʔa tiʔi hiʔiskiːcikiwiki
<segmentation>	ikaː ʔa2 tiʔi hiʔ i s kiʔ uc riki wi iki
<glossing>	rock nounf this nsgsub imp1 twosub oneob dat back beupright causep
<translation>	you all tie this rock around my neck

<line_75>	hinniʔ hiʔiskihaːhanniwihi
<segmentation>	hinniʔ hiʔ i s kiʔ haː hirahr riwihi
<glossing>	and nsgsub imp1 twosub oneob waterl ground throw
<translation>	and you all throw me into the water.

<line_76>	haːríːh hárah keʔeckwisskwa naheʔecakírih
<segmentation>	haːriʔ yiha haːriːh harah keʔ t wiss wa na haː ʔicaki hirih
<glossing>	demdist beaplace demdist2 there fut onesub arrive2 gop ppl waterl sit loc
<translation>	i will get down to where he is sitting in the water.

<line_77>	íːʔíːh ikaʔakiːcíwaːcʔikaːrikiwiki
<segmentation>	íːʔíːh hiʔ kaʔa ki uc riwaːc ikaː riki wi iki
<glossing>	interj nsgsub quot2 aorist dat big rock back beupright causep
<translation>	oh alas. they put a big rock around his neck.

<line_78>	aːʔákiciyeːsʔakwaːri haːs ʔataːcʔa
<segmentation>	aːʔ aː2 ki uc niyeːs ʔak waːri haːs ʔataːc ʔa2
<glossing>	quot refl aorist dat child patns tell if manure nounf
<translation>	he told his children if manure

<line_79>	wahácshiceʔerʔáskih
<segmentation>	waʔ hiʔ aː uc r hiː ca ʔiri ʔa skih i4 a4
<glossing>	already nsgsub prevcome3 prevdat prevdat patns ditch surface direction come subi direc direchab
<translation>	when they float to the surface

<line_80>	wehíːcshiceʔeriyaːskih
<segmentation>	waʔ hiʔ i4 a4 uc r hiː ca ʔiriyari has skih
<glossing>	already nsgsub direc direchab dat patns ditch surface gorandomly goby subi
<translation>	when they are floating around

<line_81>	keʔesaːkʔiːkhaːrʔ néːrhirʔaskáːhkaks
<segmentation>	keʔ s raːk ʔiːkhaːrʔ iwakhahr néːrhir ʔa2 s3 kaːhkaks
<glossing>	fut twosub nthrdpl know think buffalo nounf inc intestines
<translation>	you will know that the buffalo intestines

<line_82>	waʔaracackaʔaskih hinniʔ issiriʔ
<segmentation>	waʔ ara r tackaʔas iki hinniʔ issiriʔ
<glossing>	already rec patns cutopen causep and thatkind
<translation>	they have been cut open and thats the kind

<line_83>	keːʔiki néːrhirʔasʔataːcʔa haʔwiːʔ híriwaːʔ
<segmentation>	keʔ i3 iki2 néːrhir ʔa2 s ʔataːc ʔa2 haʔawiːh hiriwaːʔ
<glossing>	fut extrav bepl buffalo nounf inc manure nounf ok then
<translation>	they will be buffalo manure. ok then

<line_84>	hiriːcʔikaːríkiwiskih hinniʔ hirahaːhanniwiskih
<segmentation>	hiʔ na iy uc ikaː riki wi skih hinniʔ hiʔ na haː hirahr riwihi skih
<glossing>	nsgsub ppl nfocagt dat rock back beupright subi and waterl ground throw subi
<translation>	they tied a rock around his neck and threw him in the water

<line_85>	khiʔas wéraʔ aːkihíːkoːteʔes
<segmentation>	khiʔas wéraʔ aːʔ ki hiː koː teʔes
<glossing>	poorth maybe quot aorist ditch deepin die
<translation>	i guess the poor thing must have drowned.

<line_86>	kíkʔiːs hinniʔ wáːcʔarʔa híːróːh
<segmentation>	kíkʔiːs hinniʔ wáːcʔar ʔa2 híːróːh
<glossing>	turtle and squirrel nounf interj
<translation>	turtle and squirrel ha ha

<line_87>	ariyaːcʔiʔássiːshaːhanniwih. ariyaːciʔiʔassiːssiyakʔaw
<segmentation>	ara iy aː2 uc ʔiʔassiːs haː hirahr riwihi riyakʔaw i3
<glossing>	rec nfocagt refl dat father waterl ground throw kill2 extrav
<translation>	they threw their father in the water. they killed their father.

<line_88>	kaːkíːkiciwaːcʔiriki niyeːs hinniʔ
<segmentation>	kaːʔ kiya iy ki uc riwaːc ʔiriki niyeːs hinniʔ
<glossing>	distpast quot3 nfocagt aorist prevdat big cry child and
<translation>	they cried greatly the children and

<line_89>	wiʔiyacʔasaːskoːraraʔeːyaːk
<segmentation>	xx
<glossing>	xx
<translation>	mrs coyote

<line_90>	kaːkhiʔáskiyakiʔicíʔiriki
<segmentation>	kaːʔ khiʔas kiya ki uc i3 ʔiriki
<glossing>	distpast poorth quot3 aorist prevdat extrav cry
<translation>	poor thing was crying

<line_91>	aːkiːcéʔeroːckwa niːckwakhárissah
<segmentation>	aːʔ ki uc aʔiriwac wa ʔiri wac na iy uc wakhahr2 hisha h
<glossing>	quot aorist prevdat depart gop direction outside xx ppl nfocagt prevdat patns2 go subp
<translation>	they left going along

<line_92>	niːriːháːskih ísaʔ tikitawisʔi
<segmentation>	na iy uʔiriːha skih isaʔ ta i2 kita wi s2 ʔi kitawisʔi
<glossing>	ppl nfocagt mourn subi thus pres pfocagt on beupright impf be bethus
<translation>	they were mourning. thats the way it is.

<line_93>	kaːʔaːwakhárʔas kʔítaːks íːriːhaːss
<segmentation>	kaːʔ a4 aː wakhahr ʔa s2 kʔítaːks i4 uʔiriːha xss
<glossing>	distpast direchab prevcome3 happen come impf coyote direc mourn hab
<translation>	sometimes it happens that you hear the coyotes crying.

<line_94>	híriwaːʔ hiːwasʔa níːʔi
<segmentation>	hiriwaʔ hiːwasʔa na iy i3 ʔi
<glossing>	then mainone ppl nfocagt extrav be
<translation>	they are the ones

<line_95>	keʔiyákicʔíʔassiːshíːkoːteʔesíkih
<segmentation>	kaʔa iy aː2 kiuc ʔiʔassi s3 hiː koː teʔes iki
<glossing>	quot2 nfocagt refl pplp dat father inc ditch deepin die causep
<translation>	who supposedly drowned their father.
