# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Lily Hampton (Keewong): How Porcupine got his spines." Donaldson (1977), p. 378 makes the following remarks about the text: "Lily Hampton was somewhat uncertain as to the identity of Porcupine's companion at the beginning of the story, but settled for Honeyeater. According to the late Fred Biggs (of the Trida mob), Porcupine was with Crow. In his version, still known to Trida speakers, Porcupine drops a talking turd before he makes off with the emu. It is the turd which tells Crow to keep going further afield for leaves (Blows 1975:32)."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	mayiŋgalga:ŋgu ŋuruy bumiyi
<line_12>	mamiyilalugalna
<segmentation>	mamiyi-la=lu-gal=na
<glossing>	catch-
<translation>	Then they caught him .

<line_13>	bumiyilalugalna
<segmentation>	bumiyi-la=lu-gal=na
<glossing>	hit-
<translation>	Then they hit him .

<line_14>	muraguna dhunila
<segmentation>	mura-gu=na dhu-ni-la
<glossing>	spear-INST=3ABS spear-PAST-THEN
<translation>	Then ( they ) speared him with spears .

<line_15>	ŋalula: ya:la:bu ŋiyiyi
<segmentation>	ŋalu-la: ya:la:bu ŋiyiyi
<glossing>	that+ERG-EST thus+EST-UNIV say+PAST
<translation>	He went on talking all the same .

<line_16>	bungabungagiyilalugalna
<segmentation>	bunga-bungagiyi-la=lu-gal=na
<glossing>	REDUP-pierce+PAST-THEN=3ERG-PL=3ABS
<translation>	Then they punctured him .

<line_17>	ŋi:njdjiga:lu ŋiyaɽa
<segmentation>	ŋi:nj-dji-ga:=lu ŋiya-ɽa
<glossing>	anus-CIRC-IGNOR=3ERG speak-PRES
<translation>	" Is he speaking through his arse ? "

<line_18>	ŋi:ŋgugalay gibayiyi
<segmentation>	ŋi:ŋ-gu-galay gibayiyi
<glossing>	anus-INST-ONLY reply+PAST
<translation>	Only with his arse did he answer back .

<line_19>	ŋi:njdjalugalna bumiyila bundigu malu bundinmiyila
<segmentation>	ŋi:nj-dja=lu-gal=na bumiyi-la bundi-gu / malu bundinmiyi-la
<glossing>	anus-LOC=3ERG-PL=3OBL hit+PAST-THEN bundi-INST silent-ABS cause to become by hitting-PAST-THEN
<translation>	Then they hit him on the arse with a bundi , hitting him to make him silent .

<line_20>	ŋabiyilana
<segmentation>	ŋabiyi-la=na <2>
<glossing>	go 'ŋab'+PAST-THEN=3ABS
<translation>	He shut up then .
<footnote_2>	ŋab is like ' phut ' in English. It has been heard in reference to a candle going out and to a car breaking down , as well as to Porcupine falling silent .

<line_21>	dhunilugalna magamagaŋgu muragu
<segmentation>	dhu-ni=lu-gal=na maga-magaŋ-gu mura-gu
<glossing>	spear-PAST=3ERG-PL=3ABS REDUP-other-INST spear-INST
<translation>	They speared him with a variety of spears .

<line_22>	yiŋgala:dhi dhigarbuwan waɽanha
<segmentation>	yiŋgala:-dhi dhigar-buwan waɽa-nha
<glossing>	same+EST-CIRC spine-COMIT stand-PRES
<translation>	That's why ( porcupines ) still have spines .

<line_23>	yiŋgala:dhiluguŋgal baŋgaba: dhigar gaɽa buluy dhigar gaɽa
<segmentation>	yiŋgala:-dhi=luguŋ-gal baŋgaba: dhigar ga-ɽa / buluy dhigar ga-ɽa
<glossing>	=3GEN-PL white+ABS spine+ABS be-PRES black+ABS
<translation>	That's why they have white spines , black spines .

<line_24>	ŋanagala: ya:ɽu buluy gaɽa
<segmentation>	ŋana-gala: ya:ɽu buluy ga-ɽa
<glossing>	that+ABS-PL+EST yarran+ABS
<translation>	Those yarran ones are black .

<line_25>	malga ŋinala: baŋgaba: and buluy gaɽa
<segmentation>	malga ŋina-la: baŋgaba: and <3> buluy gaɽa
<glossing>	mulga+ABS this+ABS-EST &
<translation>	The white and black ones are mulga .
<footnote_3>	The narrator was unable to find a way of saying that some spines are both black and white , and reluctantly insisted that English ' and ' would have to be included .

<line_26>	mali ŋinala: baŋgaba: gaɽa
<segmentation>	mali ŋina-la: baŋgaba: ga-ɽa
<glossing>	mallee+ABS
<translation>	The white ( spines ) are mallee .
