# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Biling/ChildL2/031111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
To_be_transcribed . 2060_4484
to_be_transcribed . 128682_133626
Bear . 133614_134317
to_be_transcribed . 134323_137280
xxx . 137335_139652
to_be_transcribed . 139705_142895
xxx . 143072_146530
to_be_transcribed . 146531_151922
to_be_transcribed . 152175_162831
to_be_transcribed . 165166_167274
to_be_transcribed . 172139_176689
to_be_transcribed . 178683_184961
to_be_transcribed . 185728_186505
Ball . 186679_187243
to_be_transcribed . 187314_190737
Circle . 190719_191556
to_be_transcribed . 191506_192957
to_be_transcribed . 193051_196810
Square . 196988_198093
to_be_transcribed . 198093_199525
Square . 199645_200456
to_be_transcribed . 200457_204105
to_be_transcribed . 204598_207710
Triangle . 208480_209372
to_be_transcribed . 209411_212841
to_be_transcribed . 213815_218501
to_be_transcribed . 219289_222693
to_be_transcribed . 224756_226014
Diamond . 226370_227478
to_be_transcribed . 227347_231731
to_be_transcribed . 233716_235482
Star . 235599_237023
to_be_transcribed . 236753_238936
www . 238989_240049
to_be_transcribed . 240075_243282
to_be_transcribed . 243330_248853
to_be_transcribed . 249217_251754
to_be_transcribed . 252292_259387
to_be_transcribed . 262561_267909
Alphabet . 268022_269816
to_be_transcribed . 269830_271922
Alphabet . 272475_274061
to_be_transcribed . 273999_277617
to_be_transcribed . 279179_280290
Apple . 280582_281502
to_be_transcribed . 285261_286714
Banana . 286787_287687
to_be_transcribed . 287707_294304
to_be_transcribed . 296347_297757
Cupcake . 298893_300122
to_be_transcribed . 300085_303530
to_be_transcribed . 305136_306372
Dog . 306523_307406
Woofwoofwoofwoofwoofwoof@o . 308043_309572
to_be_transcribed . 309587_311204
to_be_transcribed . 311958_313025
Elephant . 313295_314360
to_be_transcribed . 314219_318109
to_be_transcribed . 319678_322435
Fish . 323561_324453
to_be_transcribed . 324514_328612
to_be_transcribed . 330650_332454
Gloves . 332585_333451
to_be_transcribed . 333419_335208
to_be_transcribed . 339970_341075
Fish . 341176_341771
to_be_transcribed . 341761_345727
to_be_transcribed . 347163_347928
Hat . 348413_349109
to_be_transcribed . 349084_350206
to_be_transcribed . 353918_357062
‹Ice skates› . 357908_359486
to_be_transcribed . 359358_362943
to_be_transcribed . 363190_366182
Juice . 366384_367159
to_be_transcribed . 367147_367992
to_be_transcribed . 370964_371974
to_be_transcribed . 373963_375147
Kiwi . 375169_375853
to_be_transcribed . 375875_379814
Lemon . 380511_381827
to_be_transcribed . 381854_383833
to_be_transcribed . 385841_388486
Moon . 388402_389219
to_be_transcribed . 389203_391852
to_be_transcribed . 392943_395394
Night . 395450_396160
to_be_transcribed . 397376_400614
to_be_transcribed . 401179_403656
Owl . 404570_405911
to_be_transcribed . 405918_406626
Hoohoo@o . 408010_409623
to_be_transcribed . 410520_417626
Princess . 417633_418774
to_be_transcribed . 418798_420382
to_be_transcribed . 421278_424283
to_be_transcribed . 424976_434136
Queen . 434071_434820
to_be_transcribed . 434839_435920
www . 439389_440518
to_be_transcribed . 441373_442253
Queen . 442670_443346
to_be_transcribed . 445785_449934
Rocket . 450521_451350
www . 451386_452703
to_be_transcribed . 452714_456831
to_be_transcribed . 457374_460143
Stars . 460286_461417
to_be_transcribed . 461147_465373
to_be_transcribed . 465647_471597
Tiger . 471655_472561
to_be_transcribed . 472560_477328
Unicorn . 477411_478580
to_be_transcribed . 478501_482056
to_be_transcribed . 484502_489900
Violin . 489774_491026
to_be_transcribed . 491016_492618
Violin . 492892_493982
to_be_transcribed . 495867_497808
xxx . 498249_500415
to_be_transcribed . 500384_501995
Whistle . 502130_502954
to_be_transcribed . 502989_508533
to_be_transcribed . 509804_511118
to_be_transcribed . 511878_514482
Yak . 514552_515270
to_be_transcribed . 515192_515978
Yak . 516086_516841
to_be_transcribed . 521279_522364
Zebra . 522359_523328
to_be_transcribed . 523232_524209
Zebra . 524312_525112
to_be_transcribed . 530469_534803
xxx . 539333_541212
to_be_transcribed . 541852_542645
to_be_transcribed . 545309_549208
to_be_transcribed . 553752_555143
xxx . 558954_559662
to_be_transcribed . 560332_561765
to_be_transcribed . 561790_566202
xxx . 565854_568166
to_be_transcribed . 568126_571493
xxx . 570966_576021
to_be_transcribed . 576160_582149
Good . 582579_583155
to_be_transcribed . 583214_584774
to_be_transcribed . 587420_594193
to_be_transcribed . 595166_599352
to_be_transcribed . 600131_603450
to_be_transcribed . 606975_614663
Mommy . 614726_615343
to_be_transcribed . 615331_616527
Baby . 616526_617125
to_be_transcribed . 617118_618156
to_be_transcribed . 619272_621815
Grass . 621807_622619
to_be_transcribed . 622565_625080
to_be_transcribed . 625699_627835
Daddy . 628068_628838
to_be_transcribed . 628973_630015
‹And baby› . 630113_630929
to_be_transcribed . 630920_632443
to_be_transcribed . 635442_637525
Baby . 637868_638504
to_be_transcribed . 638539_642780
to_be_transcribed . 642915_646871
Cat . 647122_647755
to_be_transcribed . 647763_648287
to_be_transcribed . 649421_652754
to_be_transcribed . 653778_656355
to_be_transcribed . 656500_659608
Mouse . 659871_660753
to_be_transcribed . 660817_662012
to_be_transcribed . 667368_670258
Grandpa . 670883_671965
to_be_transcribed . 672055_674093
to_be_transcribed . 675410_676220
to_be_transcribed . 678482_681316
to_be_transcribed . 682098_683241
to_be_transcribed . 684298_687888
www . 687762_694033
to_be_transcribed . 693892_696645
to_be_transcribed . 698262_713729
to_be_transcribed . 718030_720568
to_be_transcribed . 722159_729893
to_be_transcribed . 826827_827879
to_be_transcribed . 832595_840862
www . 840268_843540
to_be_transcribed . 843625_856230
to_be_transcribed . 858460_865922
to_be_transcribed . 865940_869510
to_be_transcribed . 869967_886808
to_be_transcribed . 892260_895427
to_be_transcribed . 895470_900154
to_be_transcribed . 910493_912820
to_be_transcribed . 920236_935364
xxx . 936040_937489
to_be_transcribed . 937439_939053
to_be_transcribed . 939484_945608
xxx . 945121_949028
to_be_transcribed . 948925_954782
xxx . 954865_956137
to_be_transcribed . 956020_961241
xxx . 961896_962966
to_be_transcribed . 962275_965369
to_be_transcribed . 965561_970198
xxx . 966919_968043
to_be_transcribed . 972325_974489
&=gasp . 984184_986167
to_be_transcribed . 986306_993416
xxx . 997559_1002956
to_be_transcribed . 1002846_1005167
to_be_transcribed . 1015517_1018564
to_be_transcribed . 1030663_1032045
to_be_transcribed . 1032577_1035464
to_be_transcribed . 1035499_1040296
to_be_transcribed . 1045034_1045746
to_be_transcribed . 1047175_1053207
xxx . 1057114_1058965
to_be_transcribed . 1059703_1064133
to_be_transcribed . 1064663_1065839
‹Thank you› . 1066636_1067520
to_be_transcribed . 1067507_1070180
to_be_transcribed . 1075344_1080905
to_be_transcribed . 1081513_1083932
to_be_transcribed . 1087314_1088296
to_be_transcribed . 1102278_1103861
to_be_transcribed . 1104421_1106729
to_be_transcribed . 1119315_1121767
‹Mom mom› . 1121004_1122422
to_be_transcribed . 1122528_1124519
to_be_transcribed . 1124884_1128020
‹Mom xxx› . 1129270_1132911
to_be_transcribed . 1133106_1136998
www . 1143686_1146228
to_be_transcribed . 1145598_1149913
Rebecca . 1149926_1151044
to_be_transcribed . 1151053_1154420
Rebecca . 1154377_1155219
xxx . 1156811_1160899
to_be_transcribed . 1160903_1162691
to_be_transcribed . 1168488_1169802
to_be_transcribed . 1173827_1175469
to_be_transcribed . 1175598_1181408
Elsa . 1181692_1182558
to_be_transcribed . 1182765_1183614
‹Elsa xxx› . 1183591_1185909
to_be_transcribed . 1185389_1188772
Elsa . 1188826_1189928
to_be_transcribed . 1189927_1192894
to_be_transcribed . 1194234_1197683
‹Elsa xxx› . 1199387_1201910
to_be_transcribed . 1201860_1208836
‹Elsa xxx› . 1209113_1211599
to_be_transcribed . 1211715_1212546
Anna . 1212750_1213482
Elsa . 1214046_1215207
to_be_transcribed . 1215258_1217187
Anna . 1217281_1218275
to_be_transcribed . 1218246_1220315
to_be_transcribed . 1220319_1233546
to_be_transcribed . 1234558_1238956
to_be_transcribed . 1240022_1240738
to_be_transcribed . 1241641_1248090
Elsa . 1250080_1251083
to_be_transcribed . 1251016_1254215
to_be_transcribed . 1255217_1263030
to_be_transcribed . 1263834_1278215
to_be_transcribed . 1281279_1285933
Quackquackquackquackquackquackquackquackquack@o . 1286290_1289538
to_be_transcribed . 1289738_1291772
Duck . 1292017_1292655
to_be_transcribed . 1292616_1294392
Duck . 1293311_1293742
to_be_transcribed . 1294747_1298976
to_be_transcribed . 1300260_1306468
Elsa . 1306466_1307529
to_be_transcribed . 1307482_1309571
to_be_transcribed . 1315383_1323672
Elsa . 1326228_1327203
to_be_transcribed . 1327208_1328699
to_be_transcribed . 1329083_1332350
to_be_transcribed . 1334831_1340082
to_be_transcribed . 1343886_1348404
www . 1349893_1351971
to_be_transcribed . 1354167_1356235
to_be_transcribed . 1356875_1358625
to_be_transcribed . 1359054_1363595
to_be_transcribed . 1364346_1367106
‹I love you› . 1367285_1368531
to_be_transcribed . 1368467_1372637
to_be_transcribed . 1374832_1375869
to_be_transcribed . 1384080_1385570
www . 1389534_1392089
to_be_transcribed . 1393095_1394763
Anna . 1396072_1396897
to_be_transcribed . 1396997_1398215
www . 1398514_1400262
to_be_transcribed . 1401393_1402410
‹Elsa www› . 1404386_1406287
www . 1408071_1408959
to_be_transcribed . 1408984_1410175
‹Elsa Elsa &=laugh› . 1410175_1411694
to_be_transcribed . 1411719_1413106
‹Elsa www› . 1413235_1414627
to_be_transcribed . 1415839_1418526
to_be_transcribed . 1419494_1423380
to_be_transcribed . 1423408_1426620
to_be_transcribed . 1430446_1432390
to_be_transcribed . 1438977_1440544
to_be_transcribed . 1443587_1452526
Duck . 1452903_1453446
to_be_transcribed . 1453431_1456652
to_be_transcribed . 1464833_1467738
to_be_transcribed . 1474666_1477739
www . 1481013_1485033
to_be_transcribed . 1485671_1487318
www . 1488168_1489923
to_be_transcribed . 1491061_1493355
to_be_transcribed . 1498094_1504325
to_be_transcribed . 1505853_1508849
to_be_transcribed . 1510595_1516419
to_be_transcribed . 1524343_1531266
to_be_transcribed . 1540639_1546231
‹I love you› . 1546407_1547465
to_be_transcribed . 1547440_1548312
Elsa . 1548891_1549800
to_be_transcribed . 1549835_1552213
to_be_transcribed . 1552594_1556433
Olaf . 1557039_1558032
to_be_transcribed . 1558008_1558926
to_be_transcribed . 1562921_1564937
to_be_transcribed . 1572438_1574048
to_be_transcribed . 1578687_1579802
Flower . 1579954_1580925
to_be_transcribed . 1580871_1583073
to_be_transcribed . 1583227_1585284
‹Sippy cup› . 1585755_1586701
to_be_transcribed . 1586766_1588074
to_be_transcribed . 1589674_1591178
to_be_transcribed . 1594645_1595338
Cup . 1596262_1596781
to_be_transcribed . 1598039_1598981
‹Apple &=laugh› . 1599124_1599997
to_be_transcribed . 1599975_1600941
to_be_transcribed . 1601681_1604174
to_be_transcribed . 1608340_1610421
Bear . 1610506_1611072
to_be_transcribed . 1612692_1613825
‹Bear bear bear be(ar)› . 1613843_1615726
to_be_transcribed . 1614906_1618941
‹Bear bear› . 1619454_1621060
to_be_transcribed . 1621816_1622701
Boots . 1622774_1623223
to_be_transcribed . 1623190_1625396
to_be_transcribed . 1626267_1628335
to_be_transcribed . 1629340_1630217
Tree . 1630386_1631086
to_be_transcribed . 1631112_1631920
Tree . 1632081_1632698
www . 1633181_1635198
to_be_transcribed . 1637569_1638472
Duck . 1639375_1639948
to_be_transcribed . 1640978_1642563
www . 1644313_1645582
to_be_transcribed . 1645642_1646659
‹House www› . 1646716_1648559
to_be_transcribed . 1648816_1649795
House . 1649737_1650526
to_be_transcribed . 1650585_1652581
Car . 1652998_1653703
to_be_transcribed . 1656944_1659754
Sun . 1659830_1660615
to_be_transcribed . 1660613_1662154
‹Sun www› . 1661571_1663279
to_be_transcribed . 1663141_1666265
to_be_transcribed . 1667088_1672373
www . 1672464_1673111
to_be_transcribed . 1674145_1675491
Socks . 1675473_1676199
Ball . 1681547_1682269
to_be_transcribed . 1682207_1683095
Ball . 1683208_1684077
to_be_transcribed . 1684083_1685015
‹Train www› . 1684923_1686532
to_be_transcribed . 1686060_1687469
www . 1687677_1688931
to_be_transcribed . 1688941_1689875
‹Train &=laugh› . 1689981_1691270
www . 1691737_1694414
to_be_transcribed . 1695153_1696435
Blocks . 1696491_1697548
to_be_transcribed . 1700409_1701356
to_be_transcribed . 1702220_1703629
T-Shirt . 1704437_1705479
Shirt . 1706239_1707339
to_be_transcribed . 1707427_1709320
Shirt . 1709079_1709847
to_be_transcribed . 1709762_1712504
to_be_transcribed . 1714196_1716125
www . 1718283_1721960
to_be_transcribed . 1730659_1732931
to_be_transcribed . 1734181_1737302
Ten . 1737309_1737997
to_be_transcribed . 1738058_1739129
Tiny . 1739053_1740020
to_be_transcribed . 1740088_1740935
to_be_transcribed . 1741288_1743728
to_be_transcribed . 1744071_1745322
Toes . 1745474_1746130
to_be_transcribed . 1746142_1746971
to_be_transcribed . 1749038_1750056
Mouth . 1750283_1751061
to_be_transcribed . 1751429_1752061
Mouth . 1752105_1752713
to_be_transcribed . 1752681_1761585
to_be_transcribed . 1761781_1764735
Ears . 1765181_1766053
to_be_transcribed . 1765818_1768358
Eyes . 1768526_1769360
to_be_transcribed . 1769355_1770994
Nose . 1770883_1771805
to_be_transcribed . 1773168_1774276
Mouth . 1774451_1775092
to_be_transcribed . 1775106_1776261
to_be_transcribed . 1778470_1779613
Eyes . 1779652_1780303
to_be_transcribed . 1780435_1781621
Nose . 1782129_1782884
to_be_transcribed . 1782737_1783961
Nose . 1784041_1784744
to_be_transcribed . 1784536_1789212
‹Touch your mouth› . 1789526_1790666
to_be_transcribed . 1790440_1792302
to_be_transcribed . 1794485_1795253
to_be_transcribed . 1797734_1800603
Arms . 1800868_1801670
to_be_transcribed . 1801594_1803473
to_be_transcribed . 1805134_1806282
Wave . 1806921_1807677
to_be_transcribed . 1807545_1808610
to_be_transcribed . 1810720_1812114
Mouth . 1812160_1812842
to_be_transcribed . 1812801_1813683
Mouth . 1813907_1814501
Mouth . 1815492_1816214
to_be_transcribed . 1817555_1820212
to_be_transcribed . 1820468_1821484
to_be_transcribed . 1821934_1826549
to_be_transcribed . 1826842_1829416
to_be_transcribed . 1829841_1833236
to_be_transcribed . 1833994_1835113
to_be_transcribed . 1836671_1838594
Belly . 1838791_1839676
to_be_transcribed . 1839616_1844564
Legs . 1844385_1845141
to_be_transcribed . 1845121_1847880
Toes . 1847924_1848743
to_be_transcribed . 1848827_1849605
Toes . 1849646_1850310
to_be_transcribed . 1853684_1854865
Bear . 1855072_1855716
to_be_transcribed . 1855542_1856314
to_be_transcribed . 1857868_1862104
to_be_transcribed . 1863131_1867335
to_be_transcribed . 1871610_1873989
to_be_transcribed . 1874897_1876153
‹Bear xxx xxx› . 1876209_1878754
‹www xxx› . 1883434_1885144
to_be_transcribed . 1885157_1888236
Meow@o . 1890298_1890985
to_be_transcribed . 1890957_1892915
to_be_transcribed . 1894745_1895785
www . 1896158_1897517
to_be_transcribed . 1897575_1901082
Tiger . 1901146_1902003
to_be_transcribed . 1902208_1902909
‹Tiger tiger› . 1904907_1906429
to_be_transcribed . 1906604_1910855
‹Tiger tiger› . 1912158_1913837
to_be_transcribed . 1914810_1916572
to_be_transcribed . 1922627_1924575
to_be_transcribed . 1925560_1929968
to_be_transcribed . 1933822_1937550
www . 1939344_1948506
to_be_transcribed . 1950465_1952070
to_be_transcribed . 1952119_1954882
Tiger . 1954984_1955723
to_be_transcribed . 1956117_1958965
‹Meowmeow@o xxx› . 1960141_1962873
to_be_transcribed . 1962839_1963477
Cat . 1963868_1964697
Cat . 1965024_1965809
to_be_transcribed . 1965858_1967355
Up . 1969280_1969921
to_be_transcribed . 1970604_1971515
www . 1971589_1973656
www . 1973806_1980435
to_be_transcribed . 1980320_1983090
to_be_transcribed . 1983989_1987723
www . 1990962_1993654
www . 1995044_1998588
to_be_transcribed . 2000750_2001756
Bunny . 2002180_2002790
to_be_transcribed . 2002780_2004121
‹bunny www› . 2003460_2006314
to_be_transcribed . 2006483_2009597
xxx . 2012161_2015329
to_be_transcribed . 2015256_2016029
www . 2016686_2019811
to_be_transcribed . 2024342_2026064
to_be_transcribed . 2028237_2029362
to_be_transcribed . 2030237_2032147
www . 2037746_2040256
to_be_transcribed . 2040877_2042107
to_be_transcribed . 2042573_2045746
to_be_transcribed . 2045780_2050843
www . 2057958_2059264
www . 2060999_2062180
www . 2062837_2063970
to_be_transcribed . 2063635_2064446
to_be_transcribed . 2065325_2066516
‹Thank you› . 2066974_2068027
to_be_transcribed . 2067931_2069392
to_be_transcribed . 2072266_2073330
to_be_transcribed . 2081987_2083899
to_be_transcribed . 2086485_2087814
to_be_transcribed . 2096262_2099461
www . 2110366_2112917
to_be_transcribed . 2112801_2113654
www . 2116656_2118181
to_be_transcribed . 2124650_2127473
to_be_transcribed . 2128123_2131035
to_be_transcribed . 2131179_2132249
to_be_transcribed . 2143057_2144089
www . 2145230_2146109
to_be_transcribed . 2146152_2147056
to_be_transcribed . 2152933_2154296
to_be_transcribed . 2155033_2158590
to_be_transcribed . 2170872_2177391
www . 2186302_2188904
to_be_transcribed . 2201453_2206051
to_be_transcribed . 2206086_2206788
to_be_transcribed . 2207642_2209281
to_be_transcribed . 2214455_2217306
to_be_transcribed . 2218003_2220260
‹xxx www› . 2223104_2230396
to_be_transcribed . 2230815_2231573
to_be_transcribed . 2232643_2234706
www . 2236903_2238493
to_be_transcribed . 2245936_2249205
Bear . 2249379_2250051
to_be_transcribed . 2249860_2251319
to_be_transcribed . 2251715_2253787
to_be_transcribed . 2254653_2256232
www . 2268206_2272759
to_be_transcribed . 2275296_2276599
to_be_transcribed . 2282251_2286196
to_be_transcribed . 2291632_2294257
to_be_transcribed . 2299418_2303243
to_be_transcribed . 2303933_2307015
‹Elsa xxx› . 2307197_2309641
to_be_transcribed . 2311868_2315275
‹Elsa www› . 2315816_2318494
to_be_transcribed . 2317962_2321503
Elsa . 2322703_2324364
www . 2324583_2326125
to_be_transcribed . 2326142_2327450
to_be_transcribed . 2328750_2330919
‹xxx pushing› . 2330926_2332361
to_be_transcribed . 2332319_2338088
www . 2343436_2344821
to_be_transcribed . 2344927_2346544
www . 2346756_2350448
to_be_transcribed . 2350608_2353005
Push . 2353042_2353521
Push . 2354713_2355222
to_be_transcribed . 2356135_2357525
to_be_transcribed . 2360787_2363919
to_be_transcribed . 2369093_2371521
Eating . 2371642_2372439
to_be_transcribed . 2372439_2374173
to_be_transcribed . 2379016_2382894
to_be_transcribed . 2394179_2395803
Elsa . 2396043_2397279
‹www Elsa www› . 2397634_2399938
to_be_transcribed . 2400063_2400836
‹www Elsa www› . 2401644_2403170
to_be_transcribed . 2404486_2413456
Open . 2413631_2414274
to_be_transcribed . 2414342_2416148
to_be_transcribed . 2421919_2425832
Close . 2425078_2425843
to_be_transcribed . 2425863_2426601
to_be_transcribed . 2427127_2427993
www . 2428583_2430389
to_be_transcribed . 2435346_2437853
to_be_transcribed . 2443284_2447516
Elsa . 2451619_2452570
‹Anna Elsa› . 2454353_2455379
‹www Anna› . 2456218_2457785
www . 2458828_2461803
to_be_transcribed . 2461830_2463162
to_be_transcribed . 2463640_2466504
‹I love you› . 2466903_2468257
Elsa . 2468657_2469812
to_be_transcribed . 2470496_2471424
‹Elsa Olaf xxx› . 2472504_2474985
to_be_transcribed . 2475048_2475642
Anna . 2475861_2476521
to_be_transcribed . 2476417_2477583
www . 2477765_2481400
to_be_transcribed . 2481468_2486306
‹Who's that› ? 2486386_2487193
to_be_transcribed . 2487238_2488017
Anna . 2490265_2490874
to_be_transcribed . 2491902_2492908
www . 2492645_2493838
www . 2495133_2496309
‹www Elsa› . 2496624_2498680
to_be_transcribed . 2498695_2501362
to_be_transcribed . 2502597_2506508
to_be_transcribed . 2507255_2509840
to_be_transcribed . 2513830_2516893
‹Anna push push› . 2517150_2518971
to_be_transcribed . 2519205_2520463
to_be_transcribed . 2521489_2524443
to_be_transcribed . 2525682_2526628
to_be_transcribed . 2531563_2540169
to_be_transcribed . 2542561_2549840
to_be_transcribed . 2549849_2552567
to_be_transcribed . 2562391_2564708
‹Duck quackquackquack@o› . 2564739_2566122
to_be_transcribed . 2566113_2567113
to_be_transcribed . 2570719_2573424
www . 2574737_2575941
to_be_transcribed . 2576079_2577851
www . 2577767_2578729
to_be_transcribed . 2578846_2580251
Eating . 2580412_2581112
to_be_transcribed . 2581099_2582003
www . 2581995_2583283
Elsa . 2585026_2586056
Anna . 2587201_2587838
to_be_transcribed . 2587877_2592519
Duck . 2592675_2593292
‹Elsa Anna› . 2597531_2599549
Anna . 2601970_2603127
to_be_transcribed . 2603719_2605448
Open . 2606067_2607101
to_be_transcribed . 2607200_2608183
Open . 2607200_2608183
to_be_transcribed . 2608568_2609609
to_be_transcribed . 2611229_2612167
‹Close close› . 2612239_2614160
to_be_transcribed . 2612242_2615597
to_be_transcribed . 2620567_2622385
Slide . 2622639_2623472
www . 2624000_2626254
to_be_transcribed . 2626239_2627779
‹Who's that› . 2627052_2628126
to_be_transcribed . 2628159_2630433
Anna . 2630812_2631353
to_be_transcribed . 2631389_2632933
to_be_transcribed . 2635828_2636649
Elsa . 2636999_2637728
to_be_transcribed . 2637733_2638637
www . 2643766_2646904
to_be_transcribed . 2647288_2656198
‹Elsa xxx› . 2657784_2660058
Olaf . 2661411_2662303
Anna . 2662652_2663359
to_be_transcribed . 2663367_2665822
‹I love you› . 2666048_2667593
Elsa . 2668468_2669427
to_be_transcribed . 2677587_2679968
‹Elsa www no Elsa www› . 2681099_2684088
to_be_transcribed . 2684202_2685281
Elsa . 2686399_2687663
to_be_transcribed . 2688899_2689816
‹Elsa www Elsa www xxx› . 2690451_2695209
www . 2696131_2697130
to_be_transcribed . 2697182_2702241
www . 2704128_2705891
www . 2707593_2709065
to_be_transcribed . 2709063_2709901
to_be_transcribed . 2711615_2712371
Bear . 2712802_2713386
to_be_transcribed . 2713425_2714198
to_be_transcribed . 2716871_2717614
www . 2717688_2721276
to_be_transcribed . 2721214_2722697
www . 2725964_2728290
www . 2728750_2736284
‹Elsa www› . 2736809_2738572
to_be_transcribed . 2738538_2742200
‹&=laugh www› . 2742143_2746399
‹www Elsa› . 2749164_2756974
to_be_transcribed . 2756813_2758714
‹Elsa xxx› . 2758758_2761052
to_be_transcribed . 2760534_2762218
Tree . 2762252_2762850
to_be_transcribed . 2762828_2763312
Tree . 2763652_2764410
to_be_transcribed . 2765351_2766028
Elsa . 2766869_2767589
to_be_transcribed . 2767426_2775870
Elsa . 2777853_2778999
‹Elsa Anna› . 2779892_2781301
to_be_transcribed . 2781189_2782182
www . 2781707_2783665
‹Elsa Anna &=laugh› . 2786257_2788012
to_be_transcribed . 2788013_2789077
‹Elsa Anna› . 2790519_2792011
to_be_transcribed . 2791928_2792757
‹www Elsa Anna› . 2793953_2797974
to_be_transcribed . 2797953_2798824
‹Elsa Anna› . 2803318_2804763
to_be_transcribed . 2806008_2807140
‹Elsa Anna› . 2811418_2813054
to_be_transcribed . 2812743_2813593
‹Elsa Anna› . 2814344_2815374
to_be_transcribed . 2815312_2816043
‹Elsa Anna› . 2819013_2820133
to_be_transcribed . 2820119_2820820
‹www Elsa Anna› . 2821210_2823776
to_be_transcribed . 2823932_2824636
‹Elsa Anna› . 2832364_2833767
‹Yes xxx yes Elsa Anna› . 2834672_2838474
to_be_transcribed . 2838461_2839475
to_be_transcribed . 2840530_2841247
Olaf . 2841534_2842317
‹Elsa Anna› . 2848230_2850499
to_be_transcribed . 2852351_2853917
‹Elsa Anna› . 2860054_2862228
‹Elsa Olaf Elsa xxx› . 2870191_2877281
to_be_transcribed . 2877195_2878264
Olaf . 2878339_2879040
Anna . 2880685_2881224
to_be_transcribed . 2881487_2884052
Elsa . 2887055_2888016
to_be_transcribed . 2887917_2888591
Anna . 2888936_2889601
to_be_transcribed . 2889542_2890045
Olaf . 2890290_2891044
to_be_transcribed . 2891069_2893482
Elsa . 2894766_2895728
Anna . 2896040_2896865
Anna . 2899619_2900278
to_be_transcribed . 2900313_2900990
‹Elsa Elsa www› . 2905984_2911046
www . 2911709_2920468
www . 2922457_2924327
to_be_transcribed . 2924343_2925827
to_be_transcribed . 2926998_2928876
‹Elsa Anna xxx› . 2929541_2931798
to_be_transcribed . 2932418_2935204
Sven . 2935315_2936050
Anna . 2937117_2937692
to_be_transcribed . 2937686_2938525
to_be_transcribed . 2938946_2941073
to_be_transcribed . 2941785_2943257
Nose . 2943374_2943964
to_be_transcribed . 2943942_2944901
‹Elsa xxx Anna› . 2947955_2951990
to_be_transcribed . 2951954_2952629
to_be_transcribed . 2953816_2954790
Olaf . 2954860_2955679
to_be_transcribed . 2956272_2957523
‹xxx Sven› . 2957707_2958612
to_be_transcribed . 2961986_2963276
www . 2963742_2964576
to_be_transcribed . 2964607_2965588
‹All done› . 2967983_2968970
to_be_transcribed . 2969124_2971265
Snow . 2971671_2972466
to_be_transcribed . 2972820_2973908
Snow . 2973869_2974829
to_be_transcribed . 2974843_2976197
to_be_transcribed . 2983391_2984579
‹www xxx www› . 2984530_2988421
