# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1993
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Cameron/001028.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
duck . 43234_46234
xxx . 1130782_1133782
xxx . 1133782_1135351
xxx . 1145809_1148809
xxx . 1160354_1163354
moo+moo . 1178104_1179756
cow . 1188190_1190419
xxx . 1208390_1211074
xxx . 1211074_1212355
xxx . 1218437_1220749
xxx . 1226583_1229583
birds . 1231041_1234041
xxx . 1234041_1236807
xxx . 1241776_1244776
xxx . 1245902_1248902
gogogo@b . 1254158_1257158
xxx . 1257158_1258440
gogo@b . 1258440_1260297
xxx . 1303487_1306487
cow . 1357729_1360729
xxx . 1360729_1361722
moo . 1363096_1366096
baa+baa . 1368957_1371957
xxx . 1379899_1382899
neigh . 1400704_1403704
xxx . 1408421_1411421
xxx . 1418813_1421813
xxx . 1422800_1425800
xxx . 1425800_1426997
xxx . 1426997_1428279
bird . 1453764_1456764
balloon . 1462514_1465514
Bugs_Bunny . 1466479_1469479
xxx . 1473455_1476455
xxx . 1476455_1477486
xxx . 1485344_1488344
xxx . 1492896_1495896
xxx . 1495896_1497176
xxx . 1556304_1559304
xxx . 1560678_1563678
xxx . 1564477_1567078
xxx . 1567078_1568647
xxx . 1577907_1580907
xxx . 1589591_1592591
xxx . 1592591_1593910
xxx . 1593910_1595851
xxx . 1603459_1606431
xxx . 1606431_1609032
xxx . 1609170_1612170
xxx . 1612170_1614195
xxx . 1614195_1616091
xxx . 1616091_1618692
xxx . 1653177_1656177
xxx . 1659614_1662586
xxx . 1700991_1703991
xxx . 1703991_1705022
xxx . 1706398_1709398
xxx . 1709398_1711793
xxx . 1711793_1713650
xxx . 1713650_1715962
xxx . 1717062_1717805
xxx . 1717805_1719374
xxx . 1725208_1728208
xxx . 1728208_1730603
xxx . 1742630_1745630
xxx . 1745630_1747238
xxx . 1747238_1748520
xxx . 1750471_1753471
xxx . 1786137_1789137
raccoon . 1802195_1805195
bird . 1813712_1816712
xxx . 1816712_1817994
xxx . 1817994_1819973
xxx . 1819973_1822573
xxx . 1822573_1823317
xxx . 1823317_1825629
xxx . 1828656_1831656
xxx . 1836458_1839458
xxx . 1839458_1840778
xxx . 1847580_1848347
xxx . 1848347_1849256
xxx . 1849256_1851857
xxx . 1886464_1889464
xxx . 1889724_1892724
xxx . 1911106_1914106
xxx . 1914106_1915842
xxx . 1915842_1917244
xxx . 1917244_1918936
xxx . 1918936_1920300
xxx . 1920300_1921415
xxx . 1921415_1922901
xxx . 1922901_1924758
dog . 1940334_1943334
xxx . 1943334_1944820
baabaa . 1968448_1971448
xxx . 1971448_1972767
xxx . 1972767_1973677
xxx . 1973677_1975535
goat . 1997798_2000798
xxx . 2018353_2020582
xxx . 2032897_2035897
xxx . 2035953_2038953
xxx . 2038953_2040356
xxx . 2048130_2051130
xxx . 2056074_2057074
xxx . 2070959_2073959
xxx . 2090771_2093166
xxx . 2094996_2097996
xxx . 2099194_2101895
xxx . 2127047_2128245
xxx . 2140477_2142046
xxx . 2166001_2168396
down . 2170310_2173310
xxx . 2173365_2176365
xxx . 2176365_2178633
xxx . 2185171_2188171
xxx . 2188171_2189164
xxx . 2199743_2202743
xxx . 2213739_2216739
xxx . 3044382_3046611
baby . 3202044_3205044
book . 3224707_3227707
xxx . 3227763_3230763
xxx . 3275401_3277980
xxx . 3277980_3280852
xxx . 3280852_3283574
xxx . 3283574_3286258
xxx . 3301712_3304712
xxx . 3316268_3318209
xxx . 3323260_3326260
xxx . 3360329_3363329
xxx . 3365159_3368159
xxx . 3382742_3385742
basket . 3387655_3390655
basket . 3390999_3393999
xxx . 3411971_3414971
cracker . 3436612_3439612
xxx . 3488625_3491625
xxx . 3521402_3524402
xxx . 3524457_3527457
xxx . 3570609_3573609
done . 3631371_3633972
xxx . 3633972_3636284
xxx . 3636710_3639765
