# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/040600.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
ghost .
six .
vacuum .
elephant .
zebra .
zoo .
brush .
blue .
plate .
knife .
shark .
teeth .
feather .
green .
fish . 1014239_1017239
fishi . 1017240_1019840
bath . 1020340_1023340
bathi . 1033641_1036641
tub . 1046941_1049941
tubi . 1049942_1052689
thumb . 1052690_1055289
thumbi . 1055290_1056939
frog . 1061940_1064940
frogi . 1064941_1067790
car . 1078942_1081942
cari . 1083392_1086392
leaf . 1089343_1092343
glove . 1094944_1097944
glovei . 1101945_1104945
chalk . 1108146_1111146
chalki . 1114095_1117095
juice . 1117146_1120146
juicei . 1120292_1123292
cup . 1125042_1128042
cupi . 1128043_1130042
witch . 1133093_1136093
witchi . 1136094_1138943
hati . 1175161_1178161
hat . 1178162_1180661
badge . 1180811_1183811
badgei . 1183812_1186262
nose . 1187262_1190262
nosei . 1203759_1206759
hill . 1207558_1210558
hilli . 1210559_1212709
train . 1215610_1218000
traini . 1218712_1220911
mud . 1225263_1228263
mudi . 1230562_1233562
page . 1235362_1238362
pagei . 1246710_1249710
dog . 1251710_1254710
dogi . 1281063_1284063
bed . 1305561_1308561
bedi . 1308562_1310562
cheese . 1313113_1316113
cheesei . 1316114_1318313
square . 1331459_1334459
squarei . 1355961_1358961
comb . 1359012_1362012
combi . 1362662_1365662
ice . 1365663_1368162
icei . 1368163_1370063
peach . 1370064_1372113
peachi . 1372114_1374413
duck . 1444010_1447010
ducki . 1447011_1449760
ring . 1449761_1452761
ringi . 1452811_1455811
watch . 1455812_1458661
watchi . 1458662_1461211
door . 1461913_1464913
doori . 1467813_1470813
bridge . 1503612_1506612
bridgei . 1506613_1509113
off . 1510714_1513714
offi . 1526960_1529960
moth . 1554913_1557913
mothi . 1557914_1560463
robe . 1563759_1566759
robei . 1566760_1569109
tooth . 1579311_1582311
toothi . 1584461_1587461
van . 1604513_1607513
vani . 1607914_1610914
web . 1617960_1620960
webi . 1627060_1630060
mouth . 1635061_1638061
mouthi . 1655763_1658763
wish . 1686411_1689411
wishi . 1690712_1693712
stove . 1696413_1699413
stovei . 1700213_1703213
cage . 1704114_1707114
cagei . 1710864_1713864
spring . 1719160_1722160
springi . 1722210_1725210
goat . 1725261_1728261
goati . 1728262_1730561
laugh . 1916293_1919293
laughing . 1922794_1925794
fly . 1925795_1928144
flying . 1928594_1931594
run . 1940341_1943341
running . 1943342_1946091
hug . 1946092_1948341
hugging . 1962243_1965243
smile . 1969894_1972894
smiling . 1979994_1982994
splash . 1982995_1985845
splashing . 2006643_2009643
blow . 2009793_2012793
blowing . 2012794_2015593
skate . 2015994_2018994
skating . 2019344_2022344
break . 2023244_2026244
breaking . 2026345_2029345
swing . 2030241_2033241
swinging . 2033741_2036741
buzz . 2037342_2040342
buzzing . 2040343_2042092
catch . 2042243_2045243
catching . 2045693_2048693
kiss . 2048793_2051793
kissing . 2057745_2060745
ride . 2069197_2072197
riding . 2072544_2075544
rub . 2077044_2080044
rubbing . 2080045_2081794
shave . 2086995_2089995
shaving . 2090095_2093095
cough . 2093096_2095696
coughing . 2098946_2101946
crash . 2149596_2152596
crashing . 2164048_2167048
swim . 2191097_2194097
swimming . 2194247_2197247
fall . 2198347_2201347
falling . 2201348_2203948
sing . 2204748_2207748
singing . 2208945_2211945
sleep . 2211946_2214945
sleeping . 2219445_2222445
dig . 2222446_2225445
digging . 2229199_2232298
rain . 2241546_2244546
raining . 2246398_2249398
hiss . 2270501_2273501
hissing . 2273502_2276151
climb . 2300499_2303499
climbing . 2304249_2307249
stir . 2307250_2310250
stirring . 2310500_2313500
rake . 2314750_2317750
raking . 2317751_2320350
read . 2321100_2324100
reading . 2324501_2327501
drive . 2327502_2330451
driving . 2331152_2334152
throw . 2334153_2336452
throwing . 2337202_2340202
snow . 2344698_2347698
snowing . 2348698_2351698
