# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD13/030918.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
jumping . 1075686_1078686
light . 1079031_1082031
spoon . 1086736_1089736
yawn . 1098836_1101836
princess . 1102286_1105286
smoke . 1113536_1116536
thermometer . 1120535_1123535
mop . 1127736_1130736
chain . 1136536_1139536
soap . 1329488_1332488
soapi . 1333191_1336191
fish . 1337141_1340141
fishi . 1340142_1342138
bath . 1342189_1345189
bathi . 1345190_1347641
tub . 1347691_1350691
tubi . 1350692_1352891
thumb . 1354688_1357688
thumbi . 1357689_1360189
frog . 1364841_1367841
frogi . 1367842_1370641
car . 1373137_1376137
cari . 1376138_1378341
leafi . 1380338_1383338
leaf . 1383339_1385541
glove . 1385791_1388791
glovei . 1388792_1391041
chalk . 1393890_1396890
chalki . 1396891_1399486
juice . 1399487_1401737
juicei . 1401738_1404036
cup . 1404786_1407786
cupi . 1407787_1410291
witch . 1413791_1416791
witchi . 1416792_1419037
hat . 1425041_1428041
hati . 1428141_1431141
badge . 1431241_1434241
badgei . 1434242_1436789
nose . 1436841_1439841
nosei . 1439842_1441886
hill . 1451890_1454890
hilli . 1456337_1459337
train . 1462389_1465389
traini . 1465390_1468288
mud . 1473137_1476137
mudi . 1476138_1478339
page . 1481288_1484288
pagei . 1484289_1486586
dog . 1493037_1496037
dogi . 1496038_1498840
bed . 1498841_1501587
bedi . 1501588_1503538
cheese . 1505638_1508638
cheesei . 1508639_1511086
square . 1511691_1514691
squarei . 1514692_1517291
comb . 1524888_1527888
combi . 1527889_1530391
ice . 1531791_1534791
icei . 1534792_1537437
peach . 1539239_1542239
peachi . 1542240_1544741
duck . 1548541_1551541
ducki . 1551542_1554341
ring . 1557341_1560341
ringi . 1568991_1571991
watch . 1576388_1579388
watchi . 1579389_1581791
door . 1581792_1584137
doori . 1585340_1588340
bridge . 1589636_1592636
bridgei . 1596389_1599389
off . 1805875_1808875
offi . 1808876_1811675
moth . 1813520_1816520
mothi . 1817621_1820621
robe . 1822623_1825623
robei . 1826071_1829071
toothi . 1835075_1838075
tooth . 1839325_1842325
van . 1843622_1846622
vani . 1846623_1849470
web . 1865425_1868425
webi . 1869075_1872075
mouth . 1874071_1877071
mouthi . 1877175_1880175
wish . 1881772_1884772
wishi . 1884773_1887224
stove . 1888070_1891070
stovei . 1891071_1893775
cage . 1897623_1900623
cagei . 1900624_1903225
spring . 1904371_1907371
springi . 1909271_1912271
goat . 1917264_1920264
goati . 1920265_1922309
laughing . 1922464_1925464
laugh . 1931914_1934914
fly . 1938664_1941664
flying . 1941665_1944414
running . 1948364_1951364
run . 1952114_1955114
hugging . 1957859_1960859
hug . 1960860_1963011
smiling . 1963564_1966564
smile . 1967164_1970164
splashing . 1970764_1973764
splash . 1973765_1976164
blowing . 1978114_1981114
blow . 1982110_1985110
skate . 1985111_1985619
skating . 1985620_1987819
break . 1988819_1991819
breaking . 1991820_1994414
swinging . 2000915_2003915
swing . 2003916_2005865
buzz . 2005969_2008969
buzzing . 2008970_2011219
catch . 2012019_2015019
catching . 2019465_2022465
kiss . 2022565_2025565
kissing . 2025569_2028569
riding . 2029669_2032669
ride . 2032670_2034919
rub . 2034920_2037117
rubbing . 2037118_2039969
shaving . 2047067_2050067
shave . 2050068_2052617
cough . 2052618_2054819
coughing . 2054820_2057064
crash . 2058169_2061169
crashing . 2061170_2063969
swimming . 2072569_2075569
swim . 2076469_2079469
fall . 2082469_2085469
falling . 2085470_2087969
singing . 2090019_2093019
sing . 2093020_2095469
sleeping . 2097468_2100468
sleep . 2101969_2104969
digging . 2105019_2108019
dig . 2108020_2110469
rain . 2112219_2115219
raining . 2115220_2117769
hiss . 2120069_2123069
hissing . 2123070_2125019
climbing . 2125515_2128515
climb . 2128516_2130669
stirring . 2135465_2138465
stir . 2138466_2140915
rake . 2142169_2145169
raking . 2145170_2148019
reading . 2151019_2154019
read . 2154969_2157969
driving . 2161819_2164819
drive . 2164820_2167665
throwing . 2184719_2187719
throw . 2187720_2190564
snow . 2195817_2198817
snowing . 2198818_2201269
