# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD08/030820.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
present .
spring . 1352455_1353649
springi . 1356156_1357285
goat . 1361995_1363129
goati . 1364332_1365370
laughing . 1368652_1369966
laugh . 1377342_1378616
fly . 1381080_1382221
flying . 1382931_1384530
running . 1388398_1389586
run . 1390665_1391717
hugging . 1394140_1394928
hug . 1396812_1397761
smiling . 1399823_1401222
smile . 1402493_1403776
splashing . 1408155_1409695
splash . 1410885_1412390
blowing . 1421316_1422671
blow . 1424347_1425708
skate . 1427046_1428272
skating . 1429428_1430563
break . 1432861_1434049
breaking . 1435698_1437119
swinging . 1442020_1443573
swing . 1444918_1446131
buzz . 1450755_1451818
buzzing . 1453185_1454093
catch . 1455388_1456612
catching . 1457718_1459110
kissing . 1461072_1462260
kiss . 1463196_1464479
riding . 1465686_1467220
ride . 1468530_1469709
rub . 1474431_1475422
rubbing . 1476577_1477904
shave . 1484743_1485717
shaving . 1486691_1488081
cough . 1491862_1492782
coughing . 1493570_1495169
crash . 1497917_1499213
crashing . 1500333_1501859
swimming . 1511896_1513233
swim . 1514440_1515742
falling . 1517627_1519346
fall . 1521311_1522500
singing . 1525623_1527074
sing . 1528084_1529182
sleeping . 1533045_1534460
sleep . 1541913_1543405
digging . 1549157_1550220
dig . 1551554_1552533
rain . 1558520_1559815
raining . 1560863_1562133
hiss . 1566242_1567370
hissing . 1568254_1569021
climbing . 1579277_1580579
climb . 1600314_1601591
stir . 1602893_1603807
stirring . 1604842_1605931
raking . 1610942_1612241
rake . 1613283_1614707
read . 1625702_1626801
reading . 1627918_1628907
driving . 1635834_1637076
drive . 1638448_1639308
throwing . 1644458_1645777
throw . 1647418_1648827
snow . 1651252_1652524
snowing . 1653600_1654666
