# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD11/040704.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
stovei .
falling .
pagei . 993590_996189
dog . 996789_999789
dogi . 999790_1002039
bed . 1086639_1089639
bedi . 1089640_1091389
cheese . 1091390_1093289
cheesei . 1093290_1094989
square . 1101539_1104539
squarei . 1104540_1106789
comb . 1107439_1110439
combi . 1110440_1112389
ice . 1114689_1117689
icei . 1117690_1119639
peach . 1124389_1127389
peachi . 1127390_1129389
duck . 1129390_1131339
ducki . 1131340_1132239
ring . 1133738_1136738
ringi . 1136739_1138688
watch . 1153438_1156438
watchi . 1156439_1158138
door . 1169688_1172688
doori . 1172689_1174138
bridge . 1174488_1177488
bridgei . 1177489_1179488
off . 1203237_1206237
offi . 1206238_1207987
moth . 1208887_1211887
mothi . 1211888_1213887
robe . 1213888_1216187
robei . 1245836_1248836
tooth . 1249836_1252836
toothi . 1252837_1254586
van . 1270386_1273386
vani . 1273387_1275136
web . 1292440_1295440
webi . 1295441_1297440
mouth . 1297441_1300240
mouthi . 1301790_1304790
wish . 1333090_1336090
wishi . 1336091_1337840
stove . 1341839_1344839
cage . 1344441_1347441
cagei . 1347442_1349191
spring . 1349192_1350941
springi . 1356041_1359041
goat . 1364941_1367941
goati . 1367942_1369791
laugh . 1437385_1440385
laughing . 1440386_1441785
fly . 1442335_1445335
flying . 1445336_1446985
running . 1503210_1506210
run . 1507711_1510711
hugging . 1511815_1514815
hug . 1514816_1516760
smile . 1543364_1546364
splashing . 1551814_1554814
splash . 1555214_1558214
blowing . 1558659_1561659
blow . 1561660_1564414
skate . 1620802_1623802
skating . 1623803_1625502
break . 1635402_1638402
breaking . 1638403_1640152
swinging . 1663678_1666678
swing . 1666679_1668678
buzz . 1696090_1699090
buzzing . 1699091_1701240
catch . 1718540_1721540
catching . 1726390_1729390
kissing . 1730940_1733940
kiss . 1733941_1736392
riding . 1970599_1973599
ride . 1979999_1982999
rub . 1983749_1986749
rubbing . 1986750_1989249
shave . 2005596_2008596
shaving . 2019096_2022096
cough . 2036895_2039895
coughing . 2039896_2042195
crash . 2051050_2054050
crashing . 2054051_2055150
swimming . 2056550_2059550
swim . 2059551_2061400
fall . 2064299_2067299
singing . 2075052_2078052
sing . 2078053_2080199
sleeping . 2080449_2083449
sleep . 2083450_2085449
digging . 2085499_2088499
dig . 2088500_2090099
rain . 2091154_2094154
raining . 2107504_2110504
hiss . 2110505_2113004
hissing . 2114154_2117154
climbing . 2138403_2141403
climb . 2141404_2143603
stir . 2143604_2145853
stirring . 2145854_2147903
rake . 2152103_2155103
raking . 2155104_2157153
reading . 2157603_2160603
read . 2160604_2163153
drive . 2173152_2176152
driving . 2176153_2177302
throw . 2177452_2180452
throwing . 2180453_2182152
snow . 2182902_2185902
snowing . 2188802_2191802
