# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD06/030807.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
spoon .
yawn .
pig . 597407_600407
screw . 601809_604809
shower . 610410_613410
theirs . 613961_616961
thunder . 637150_640150
vest . 642850_645850
treehouse . 650050_653050
cob . 656147_659147
these . 665749_668749
sun . 669900_672900
pie . 672901_674850
drum . 677999_680999
water . 681350_684350
toes . 687250_690250
twelve . 699453_702453
zero . 712653_715653
gum . 718454_721454
three . 722209_725209
judge . 733605_736605
jelly . 738109_741109
brother . 742005_745005
frenchfries . 745308_748308
skunk . 750406_753406
noise . 754858_757858
quiet . 757859_760707
shoes . 762359_765359
zipping . 770409_773409
crayons . 778959_781959
grapes . 783656_786656
slippers . 793908_796908
jumpin . 805459_808459
light . 817007_820007
princess . 823510_826510
smoke . 829662_832662
thermometer . 834912_837912
mop . 845812_848812
chain . 849509_852509
soap . 862112_865112
soapi . 866357_869357
fish . 869358_871862
fishi . 871863_874261
bath . 878609_881609
bathi . 881610_884062
tub . 884161_887161
tubi . 887162_889112
thumb . 889962_892962
thumbi . 892963_894862
frog . 1030104_1033104
frogi . 1033801_1036801
cari . 1040000_1042156
car . 1042156_1043853
leaf . 1043853_1046853
leafi . 1048452_1051452
glove . 1059452_1062452
glovei . 1062453_1065253
chalk . 1072652_1075652
chalki . 1078002_1081002
juice . 1081951_1084951
juicei . 1084952_1087502
cup . 1087853_1090853
cupi . 1090854_1093605
witch . 1093606_1096055
witchi . 1098453_1101453
hat . 1105902_1108902
hati . 1108903_1111202
badge . 1112502_1115502
badgei . 1115503_1117551
nose . 1121902_1124902
nosei . 1124903_1127452
hill . 1127453_1130252
hilli . 1130253_1132202
train . 1135402_1138402
traini . 1138403_1141202
mud . 1141602_1144602
mudi . 1144603_1147352
page . 1147455_1150455
pagei . 1150456_1152752
dog . 1156455_1159455
dogi . 1159456_1161755
bed . 1163002_1166002
bedi . 1166003_1168252
cheese . 1168702_1171702
cheesei . 1171703_1174152
square . 1182352_1185352
squarei . 1185353_1188152
comb . 1190254_1193254
combi . 1193255_1196102
ice . 1196103_1199103
icei . 1200803_1203803
peach . 1212655_1215655
peachi . 1215656_1218553
duck . 1240150_1243150
ducki . 1243151_1245305
ring . 1257103_1260103
ringi . 1260104_1263003
watch . 1269453_1272453
watchi . 1272454_1275203
door . 1275555_1278555
doori . 1278603_1281603
bridge . 1282553_1285553
bridgei . 1285554_1288354
off . 1289255_1292255
offi . 1295152_1298152
mothi . 1310202_1313202
moth . 1313203_1315405
robe . 1324603_1327603
robei . 1327604_1330104
tooth . 1336353_1339353
toothi . 1343853_1346853
van . 1351503_1354503
vani . 1354504_1357004
web . 1360355_1363355
webi . 1363356_1365603
mouth . 1516211_1519211
mouthi . 1520112_1523112
wish . 1526216_1529216
wishi . 1529217_1531961
stove . 1533066_1536066
stovei . 1540511_1543511
cage . 1546362_1549362
cagei . 1549363_1552166
spring . 1553561_1556561
springi . 1557612_1560612
goat . 1560613_1563166
goati . 1563167_1564916
laughing . 1565119_1568119
laugh . 1568120_1570969
fly . 1574120_1577120
flying . 1578021_1581021
running . 1581569_1584569
run . 1584570_1586571
hugging . 1586969_1589969
hug . 1589970_1592121
smiling . 1600519_1603519
smile . 1603520_1606118
splashing . 1607019_1610019
splash . 1610020_1612919
blowing . 1614169_1617169
blow . 1617170_1619671
skate . 1620369_1623369
skating . 1623370_1625919
break . 1625920_1628769
breaking . 1628920_1631920
swing . 1632322_1635322
swinging . 1635323_1638120
buzz . 1638121_1640720
buzzing . 1642271_1645271
catch . 1647972_1650972
catching . 1651072_1654072
kissing . 1656269_1659269
kiss . 1660819_1663819
riding . 1665271_1668271
ride . 1668319_1671319
rub . 1671320_1674119
rubbing . 1674120_1675269
shaving . 1678000_1681000
shave . 1680576_1682821
cough . 1682355_1685355
coughing . 1685655_1688655
crashing . 1691505_1694505
crash . 1694805_1697805
swimming . 1700054_1703054
swim . 1703055_1705905
fall . 1707305_1710305
falling . 1710306_1713302
singing . 1715205_1718205
sing . 1718206_1720955
sleeping . 1723955_1726955
sleep . 1726956_1729555
digging . 1736155_1739155
dig . 1739156_1741605
rain . 1742605_1745605
raining . 1747102_1750102
hiss . 1750103_1753055
hissing . 1754250_1757250
climbing . 1760205_1763205
climb . 1763302_1766302
stir . 1769605_1772605
stirring . 1772606_1775105
rake . 1775655_1778655
raking . 1778656_1780904
reading . 1788604_1791604
read . 1791605_1793805
driving . 1796855_1799855
drive . 1799856_1802752
throwing . 1806355_1809355
throw . 1809705_1812705
snow . 1828805_1831805
snowing . 1831806_1834805
