# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/041115.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
riding .
bathi . 812997_814596
tub . 816296_819296
tubi . 819297_820892
thumb . 820893_822442
thumbi . 822443_823942
frog . 825442_828442
frogi . 828443_829792
car . 919091_922091
cari . 922092_924392
leaf . 924393_926092
leafi . 926093_927592
glove . 927593_929642
glovei . 929643_931692
chalk . 931993_934993
chalki . 934994_936443
juice . 940344_943344
juicei . 946644_949644
cup . 957245_960245
cupi . 960246_961995
witch . 961996_963645
witchi . 963646_965395
hat . 967591_970591
hati . 970592_972391
badge . 972392_974491
badgei . 974492_976396
nose . 976397_978442
nosei . 978443_980742
hill . 980743_983492
hilli . 983493_985742
train . 985743_987742
traini . 989144_991893
mud . 991894_994394
mudi . 994395_996894
page . 997294_1000294
pagei . 1000295_1002044
dog . 1005995_1008995
dogi . 1008996_1010395
bed . 1067692_1070692
bedi . 1070693_1072942
cheese . 1072943_1075942
cheesei . 1075943_1077543
squarei . 1082793_1084543
square . 1084544_1086493
comb . 1090193_1093193
combi . 1093194_1095194
ice . 1095195_1098094
icei . 1098095_1099844
peach . 1102295_1105295
peachi . 1108696_1111696
duck . 1113946_1116946
ducki . 1116947_1119246
ring . 1122392_1125392
ringi . 1125393_1126642
watch . 1130392_1133392
watchi . 1133393_1136292
door . 1138243_1141243
doori . 1141244_1142993
bridge . 1160795_1163795
bridge . 1163796_1165745
off . 1166699_1169699
offi . 1169700_1172349
moth . 1174249_1177249
mothi . 1177250_1179549
robe . 1179550_1182149
robei . 1182150_1183899
tooth . 1491650_1494650
toothi . 1494651_1496400
van . 1496596_1499596
vani . 1499597_1501096
web . 1502846_1505846
webi . 1505847_1507346
mouth . 1507347_1509447
mouthi . 1509448_1511147
wish . 1511646_1514646
wishi . 1514647_1516646
stove . 1516647_1518247
stovei . 1518248_1520447
cage . 1522847_1525847
cagei . 1527848_1530848
spring . 1538949_1541949
spring . 1541950_1543949
goat . 1544550_1547550
goati . 1547551_1549446
laugh . 1551196_1554196
laughing . 1554197_1555946
fly . 1561046_1564046
flying . 1564047_1566096
run . 1566097_1568897
running . 1568898_1570597
hug . 1570598_1572797
hugging . 1572798_1574797
smile . 1574798_1577248
smiling . 1577249_1578898
splash . 1578899_1581348
splashing . 1581349_1583598
blow . 1583649_1586649
blowing . 1586650_1589249
skate . 1591350_1594350
skating . 1596299_1599299
break . 1599300_1601795
breaking . 1603805_1606399
swinging . 1606650_1609650
swing . 1609651_1612151
buzz . 1612152_1614501
buzzing . 1614502_1616151
catch . 1616451_1619451
catching . 1619452_1620901
kiss . 1620902_1622552
kissing . 1622553_1624202
ride . 1627256_1630256
rub . 1630655_1633655
rubbing . 1633656_1635256
shave . 1635257_1637056
shaving . 1637057_1639056
cough . 1639057_1641606
coughing . 1641607_1643856
crash . 1643857_1645152
crashing . 1645153_1646903
swim . 1646904_1648403
swimming . 1648404_1650202
fall . 1651803_1654803
falling . 1654804_1656553
sing . 1670455_1673455
singing . 1673456_1675155
sleep . 1675156_1677355
sleeping . 1677356_1679105
dig . 1679605_1682605
digging . 1682606_1684255
rain . 1684256_1686306
raining . 1686307_1688506
hiss . 1692302_1695302
hissing . 1695303_1696907
climb . 1723604_1726604
climbing . 1726605_1728354
stir . 1728355_1730905
stirring . 1730906_1732355
rake . 1780005_1783005
raking . 1783006_1784755
read . 1784756_1787656
reading . 1787657_1789356
drive . 1792957_1795957
driving . 1795958_1797557
throw . 1797558_1800257
throwing . 1800258_1802007
snow . 1804803_1807803
snowing . 1807804_1809653
