# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/031028.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
plate .
snail .
smile . 2554480_2557480
smiling . 2557481_2559179
splash . 2560430_2563430
splashing . 2563431_2566229
blow . 2566230_2568579
blowing . 2568580_2570430
skate . 2570481_2573481
skating . 2573482_2575829
break . 2577480_2580480
swing . 2583020_2586020
swinging . 2586021_2588420
buzz . 2588421_2591170
buzzing . 2591171_2592470
catch . 2593471_2596471
catching . 2596472_2598420
kiss . 2600021_2603021
ride . 2609520_2612520
rub . 2617270_2620270
rubbing . 2620271_2622170
shave . 2622769_2625769
shaving . 2625770_2627820
cough . 2830742_2833742
crash . 2838542_2841542
crashing . 2841543_2843993
swim . 2843994_2846942
swimming . 2846943_2847743
fall . 2848842_2851842
sing . 2883043_2886043
singing . 2886044_2887043
sleep . 2887044_2889492
sleeping . 2889493_2891442
dig . 2891793_2894793
hiss . 2905042_2908042
climb . 2910742_2913742
climbing . 2914443_2917443
stir . 2927893_2930893
stirring . 2930894_2932592
rake . 2940543_2943543
raking . 2943544_2945493
drive . 2949792_2952792
driving . 2952793_2954992
throw . 2954993_2957092
throwing . 2957093_2959543
snow . 2959544_2961993
snowing . 2961994_2964043
