# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/041005.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
swing .
drum . 742006_745006
water . 747057_750057
toes . 753657_756657
twelve . 766054_769054
zero . 772805_775805
gum . 775854_778854
three . 812103_815103
judge . 819604_822604
jelly . 844104_847104
brother . 847804_850804
frenchfries . 851005_854005
skunk . 855555_858555
noise . 860456_863456
quiet . 863457_866406
shoes . 872357_875357
zipping . 882757_885107
crayons . 885107_888107
grapes . 903809_906809
slippers . 944057_947057
jumproping . 947557_950557
light . 958309_961309
spoon . 963659_966659
yawn . 970010_973010
princess . 973661_976661
smoke . 982406_985406
thermometer . 986156_989156
mop . 997157_1000157
chain . 1000957_1003957
soap . 1004007_1007007
soapi . 1007758_1010758
fish . 1012909_1015909
fishi . 1015910_1018759
bath . 1018760_1021359
bathi . 1021360_1022810
tub . 1025009_1028009
tubi . 1028010_1029409
thumb . 1029410_1031910
thumbi . 1031911_1033310
frog . 1040206_1043206
frogi . 1043207_1045956
car . 1084860_1087860
cari . 1087861_1090311
leaf . 1090312_1092811
leafi . 1092812_1094506
glove . 1094507_1096161
glovei . 1096162_1097811
chalk . 1126409_1129409
chalki . 1129410_1131709
juice . 1132609_1135609
juicei . 1135710_1138710
cup . 1139210_1142210
cupi . 1142211_1144510
witch . 1144661_1147661
witchi . 1147662_1149061
hat . 1155156_1158156
hati . 1158157_1159907
badge . 1162057_1165057
badgei . 1165207_1168207
nose . 1169358_1172358
nosei . 1172458_1175458
hill . 1189810_1192810
hilli . 1192811_1195010
train . 1195310_1198310
traini . 1207756_1210756
mud . 1210757_1212756
mudi . 1212757_1214261
page . 1214262_1217161
pagei . 1217162_1218807
dog . 1228809_1231809
dogi . 1231810_1234359
bed . 1260507_1263507
bedi . 1263508_1266007
cheese . 1266008_1268507
cheesei . 1268508_1270258
square . 1270908_1273908
squarei . 1273909_1275908
comb . 1276609_1279609
combi . 1279610_1281058
ice . 1322908_1325908
icei . 1326308_1329308
peach . 1364857_1367857
peachi . 1367858_1370607
duck . 1382208_1385208
ducki . 1385959_1388959
ring . 1393710_1396710
ringi . 1396711_1398710
watch . 1401510_1404510
watchi . 1405210_1408210
door . 1418406_1421406
doori . 1421407_1422906
bridge . 1422907_1425607
bridgei . 1425608_1427107
off . 1510408_1513408
offi . 1513409_1516258
moth . 1518409_1521409
mothi . 1521410_1523709
robe . 1532410_1535410
robei . 1535411_1537611
tooth . 1581909_1584909
toothi . 1584910_1586459
van . 1594861_1597861
vani . 1597862_1600108
web . 1616262_1619262
webi . 1619263_1621408
mouth . 1621658_1624658
mouthi . 1624659_1627160
wish . 1628512_1631512
wishi . 1631513_1633809
stove . 1635108_1638108
stovei . 1638109_1640610
cage . 1641061_1644061
cagei . 1644062_1646861
spring . 1648507_1651507
springi . 1651508_1653757
goat . 1666509_1669509
goati . 1669510_1671909
laughing . 1683910_1686910
laugh . 1686911_1689307
fly . 1700208_1703208
flying . 1703209_1706209
run . 1708909_1711909
running . 1711910_1714209
hugging . 1714210_1717160
hug . 1718660_1721660
smiling . 1723861_1726861
smile . 1726862_1728910
splash . 1728911_1730665
splashing . 1730666_1732665
blow . 1735616_1738616
blowing . 1738617_1740315
skating . 1746961_1749961
skate . 1751961_1754961
break . 1761112_1764112
breaking . 1764113_1766662
swinging . 1769067_1771366
buzz . 1773066_1776066
buzzing . 1776067_1777766
catch . 1784363_1786362
catching . 1786363_1789113
kissing . 1789663_1792663
kiss . 1792664_1794614
riding . 1807365_1810365
ride . 1810366_1812615
rub . 1812616_1815466
rubbing . 1815467_1817815
shave . 1817816_1820415
shaving . 1820416_1821565
coughing . 1824216_1827216
cough . 1827217_1828866
crash . 1828867_1831812
crashing . 1831813_1833063
swim . 1833064_1835612
swimming . 1835613_1836862
fall . 1837713_1840713
falling . 1840714_1842463
sing . 1853714_1856714
singing . 1856715_1859515
sleep . 1860865_1863865
sleeping . 1863866_1866765
dig . 1868366_1871366
digging . 1871367_1873916
rain . 1874716_1877716
raining . 1877717_1879666
hiss . 1886713_1889713
hissing . 1889714_1892463
climbing . 1921767_1924767
climb . 1924768_1927064
stir . 1927065_1929064
stirring . 1929065_1930464
rake . 1930465_1932514
raking . 1932515_1934414
read . 1935915_1938915
reading . 1938916_1940665
drive . 1943115_1946115
driving . 1946116_1948115
throw . 1948116_1950566
throwing . 1950567_1952266
snow . 1954562_1957562
snowing . 1958812_1961812
