# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030705.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
three .
cup .
vani . 1569393_1572193
web . 1574093_1577093
webi . 1577094_1579393
mouth . 1584044_1587044
mouthi . 1587045_1589290
wish . 1589790_1592790
wishi . 1599041_1602041
stove . 1602533_1605533
stovei . 1611692_1614692
cagei . 1620793_1623793
cage . 1623794_1625643
spring . 1627144_1630144
springi . 1630194_1633194
goat . 1633195_1636044
goati . 1640440_1643440
laughing . 1648940_1651940
laugh . 1651941_1653790
fly . 1654192_1657192
flying . 1657193_1660042
running . 1660142_1663142
run . 1663143_1665093
hugging . 1665193_1668193
hug . 1668194_1670344
smiling . 1675394_1678394
smile . 1681142_1684142
splashing . 1686244_1689244
splash . 1689245_1691244
blowing . 1697190_1700190
blow . 1700191_1702440
skate . 1702441_1704841
skating . 1712392_1715392
break . 1715393_1717893
breaking . 1723894_1726894
swinging . 1728094_1731094
swing . 1731095_1732993
buzz . 1732994_1734694
buzzing . 1734695_1737490
catch . 1737990_1740990
catching . 1740991_1743490
kissing . 1748340_1751340
kiss . 1751341_1753490
riding . 1755991_1758991
ride . 1758992_1760641
rub . 1760642_1762292
rubbing . 1762293_1764342
shave . 1765292_1768292
shaving . 1768293_1770242
cough . 1911754_1914754
coughing . 1914755_1916454
crash . 1916455_1919303
crashing . 1919304_1921603
swimming . 1922054_1925054
swim . 1925055_1927004
falling . 1928804_1931804
fall . 1931805_1933505
singing . 1933605_1936605
sing . 1936606_1939355
sleeping . 1942956_1945956
sleep . 1947356_1950356
digging . 1950402_1953402
dig . 1953403_1955402
raining . 1958902_1961902
rain . 1961903_1964152
hiss . 1965603_1968603
hissing . 1968604_1970853
climbing . 1972454_1975454
climb . 1975455_1977154
stir . 1977205_1980205
stirring . 1980206_1983055
rake . 1987456_1990456
raking . 1990457_1992956
reading . 1993852_1996852
read . 1997602_2000602
driving . 2021754_2024754
drive . 2024755_2027354
throw . 2033005_2035351
snowing . 2038056_2038948
snow . 2038948_2041106
throwing . 2041106_2044106
