# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2015
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030019.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
fishi .
door .
frenchfries . 737569_738868
skunk . 749746_750612
noise . 754813_755974
quiet . 760908_761888
shoes . 765179_766130
zipping . 775510_776683
crayons . 789285_790248
grapes . 801196_802099
slippers . 807272_808180
jumping . 813748_814915
light . 823047_823859
spoon . 832582_833551
yawn . 837102_837920
princess . 842266_843223
smoke . 848556_849332
thermometer . 856806_858334
mop . 865407_866268
chain . 871782_872756
soap . 880865_881726
soapi . 883170_884116
fish . 1014799_1015431
bath . 1020155_1021154
bathi . 1023591_1024746
tub . 1029534_1030503
tubi . 1032255_1033329
thumb . 1050200_1050964
thumbi . 1056342_1056962
frog . 1069755_1070482
frogi . 1072525_1073403
car . 1078354_1079305
cari . 1082017_1083039
leaf . 1087812_1088655
leafi . 1094376_1095405
glove . 1099385_1100215
glovei . 1104103_1104958
chalk . 1112483_1113380
chalki . 1115214_1116250
juice . 1123279_1124013
juicei . 1126662_1127552
cup . 1130258_1130962
cupi . 1152882_1153707
witch . 1159773_1160538
witchi . 1161785_1162645
hat . 1177265_1177934
hati . 1182072_1183059
badge . 1185652_1186609
badgei . 1187668_1188655
nose . 1192053_1192913
nosei . 1198366_1199180
hill . 1203490_1204351
hilli . 1205316_1206295
train . 1210997_1211617
traini . 1217046_1218015
mud . 1232867_1233727
mudi . 1235002_1235921
page . 1239067_1240096
pagei . 1241230_1242367
dog . 1247009_1247924
dogi . 1250912_1251766
bed . 1254727_1255233
bedi . 1257973_1258894
cheese . 1263696_1264716
cheesei . 1284651_1285596
square . 1361165_1361878
squarei . 1369130_1370158
comb . 1401020_1402048
combi . 1403443_1404333
ice . 1406785_1407565
icei . 1409271_1410250
peach . 1412436_1413251
peachi . 1414569_1415631
duck . 1422546_1423533
ducki . 1425203_1426118
ring . 1433240_1433937
ringi . 1435454_1436285
watch . 1444053_1444873
watchi . 1445905_1446786
doori . 1464284_1465428
bridge . 1468023_1468894
bridgei . 1470308_1471220
off . 1474502_1475215
offi . 1476609_1477782
moth . 1526636_1527706
mothi . 1559143_1560080
robe . 1562510_1563530
robei . 1567550_1568430
tooth . 1573103_1573940
toothi . 1577217_1578038
van . 1580912_1581841
vani . 1590787_1591683
web . 1594470_1595299
webi . 1597820_1598782
mouth . 1602036_1602849
mouthi . 1606392_1607271
wish . 1615224_1615813
wishi . 1616821_1617741
stove . 1620279_1621034
stovei . 1639362_1640117
cage . 1643052_1643890
cagei . 1647590_1648552
spring . 1651306_1652152
springi . 1655467_1656254
goat . 1660904_1661592
goati . 1665367_1666105
laugh . 1757010_1757847
laughing . 1763404_1764093
fly . 1767794_1768582
flying . 1769962_1770811
run . 1773514_1774135
running . 1775665_1776411
hug . 1779337_1779967
hugging . 1781357_1782157
smile . 1791643_1792381
smiling . 1795744_1796590
splash . 1799302_1800098
splashing . 1805397_1806550
blow . 1809813_1810642
blowing . 1814120_1815057
skate . 1818195_1819049
skating . 1823356_1824434
break . 1828380_1829143
breaking . 1832898_1834050
swing . 1936627_1937414
swinging . 1941328_1942323
buzz . 1945278_1946132
buzzing . 1947428_1948293
catch . 1951253_1952033
catching . 1980858_1981829
kiss . 1984792_1985505
kissing . 1986603_1987598
ride . 1991927_1992648
riding . 1994523_1995179
rub . 2000211_2001123
rubbing . 2003405_2004458
shave . 2006961_2007948
shaving . 2009615_2010568
cough . 2020237_2020900
coughing . 2025422_2026583
crash . 2029782_2030578
crashing . 2032316_2035316
swim . 2040437_2041556
swimming . 2046111_2046948
fall . 2142983_2143571
falling . 2144917_2146003
sing . 2148719_2149515
singing . 2150849_2151589
sleep . 2156263_2157092
sleeping . 2158849_2160047
dig . 2163004_2163766
digging . 2168689_2169427
rain . 2172195_2172950
raining . 2174466_2175373
hiss . 2177522_2178200
hissing . 2179140_2179839
climb . 2185168_2186114
climbing . 2271447_2272376
stir . 2274771_2275700
stirring . 2280375_2281221
rake . 2284367_2285088
raking . 2289318_2290230
read . 2293777_2294714
reading . 2295731_2296652
drive . 2300188_2301324
driving . 2305037_2306015
throw . 2308885_2309631
throwing . 2311355_2312641
snow . 2314846_2315584
snowing . 2318636_2319474
