# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1978
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "How a man becomes a shaman" and was told by a speaker called Orowao' Tocoin' Jain in 1978.
# source:	 Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 472-503.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Tomi' xin mijac ta , jami mijac .
<segmentation>	_ _ _ _ _ _ ca-in _ _
<glossing>	do travel 3sm 3s:rp/p take:p travel 3sm-3n 3s:rp/p coll
<translation>	Then he heals , then he takes ( out their bodies ) all kinds

<line_64>	carawajimao . Caxi xi' na wari' , mo 'o
<segmentation>	_ _ _ _ _ _ _
<glossing>	animal different sich whenever 3s:rp/p person run lead
<translation>	of different things . Whenever somebody is sick , they go get

<line_65>	nonon quem . Mija na ca caxi ca 
<segmentation>	nana-on _ _ _ _ _ _
<glossing>	3p:rp/p-3sm ref much 3s:rp/p INFL:nrp/p sick 3sm
<translation>	him . ` It is much

<line_66>	coxa' ma ta , quep 'ac ca
<segmentation>	co-xa' _ _ _ _ _
<glossing>	INFL:m/frp/p-younger:sibling-1s 2s emph do travel 3sm
<translation>	that your younger brother is sick ' , then he touches , 

<line_67>	na , nuru 'ac ca na . Cut 'ac cain na 
<segmentation>	_ _ _ _ _ _ _ ca-in _ 
<glossing>	3s:rp/p blow travel 3sm 3s:rp/p take:p travel 3sm-3n 3s:rp/p
<translation>	then he blows . Then he takes

<line_68>	'oro 'iri' 'aramaca' ximao ne carawa quem , 
<segmentation>	_ _ _ _ _ _ _
<glossing>	coll INFL:rp/p offend for:no:reason 3n animal ref 
<translation>	all the things that offend for no reason , 

<line_69>	cut 'ac ca na . 
<segmentation>	_ _ _ _
<glossing>	take:p travel 3sm 3s:rp/p
<translation>	then he takes ( them out of the body ) . 

<line_70>	Mi' xi' na wari' con quem . Cut 'ac
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	give whenever 3s:rp/p person prep:3sm ref take:p travel
<translation>	Whenever a person dies ( passes out ) . Then he takes . 

<line_71>	ca na quem . Xain xi' nana hwijima' con quem . 
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	3sm 3s:rp/p ref hot whenever 3p:rp/p children prep:3sm ref
<translation>	Whenever children have fever regarding him . 

<line_72>	Taxi' nain ma' quem . Ma' na ca
<segmentation>	_ na-in _ _ _ _ _
<glossing>	know 3s:rp/p-3n that:prox:hearer ref exist 3s:rp/p INFL:nrp/p
<translation>	He knows ( how to handle ) that too . It happens that

<line_73>	tomi' ximao ca . Caji ximicam 
<segmentation>	_ _ _ caji-0 ximi-cam 
<glossing>	speak for:no:reason 3sm strangeness-3n heart-3sf
<translation>	he says ( something ) for no reason . ` ( It is because of ) their

<line_74>	jicocon ta . Je ma' 
<segmentation>	ji-cocon _ _ _
<glossing>	mother-3pm emph emph:3n that:prox:hearer
<translation>	mother's immorality ( lit . bad heart ) . ' That is why there is

<line_75>	ca mana' mana' qui' wa pain 
<segmentation>	_ _ _ _ _ _
<glossing>	INFL:nrp/p angry angry coming:this:way infl prep:3n
<translation>	anger because of 

<line_76>	ma' , taxi' nain ma' CO
<segmentation>	_ _ na-in _ _
<glossing>	that:prox:hearer know 3s:rp/p-3n that:prox:hearer INFL:m/frp/p
<translation>	that , he knows about that who

<line_77>	tucuninim' na ma' . 
<segmentation>	_ _ _
<glossing>	shaman 3s:rp/p that:prox:hearer
<translation>	is a shaman . 

<line_78>	Wan nam xucun tarama' jicon , 
<segmentation>	_ na-m xije-con _ ji-con
<glossing>	have:sexual:relations 3s:rp/p-3sf otherness-3sm man mother-3sm
<translation>	` Another man had sexual relations with ( the child's ) mother , 

<line_79>	je para caxi ca ma' ta na pain
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	emph:3n therefore sick 3sm that:prox:hearer emph 3s:rp/p prep:3n
<translation>	that is why he ( the child ) is sick , ' he ( says ) , ` regarding

<line_80>	ca cao' ximao ca wari' co 
<segmentation>	_ _ _ _ _ _
<glossing>	INFL:nrp/p eat for:no:reason 3sm person INFL:m/frp/p
<translation>	when a person has illicit sexual relations who

<line_81>	terem' caxa' ta 'ac ca na . 
<segmentation>	_ _ _ _ _ _
<glossing>	lie:down:s bachelor's:bed emph travel 3sm 3s:rp/p
<translation>	lies in the bachelor's bed ' , then he ( says ) . 

<line_82>	Mana' mana' nana pain ma' cocon . 
<segmentation>	_ _ _ _ _ _
<glossing>	angry angry 3p:rp/p prep:3n that:prox:hearer prep:3pm
<translation>	They were angry because of that regarding them . 

<line_83>	'Om ca tomi' hwet tomi' hwet cain
<segmentation>	_ _ _ _ _ _ ca-in
<glossing>	not:exist INFL:nrp/p speak appear speak appear 3sm-3n
<translation>	He doesn't tell ( who it is )

<line_84>	co tucuninim' ma' . 
<segmentation>	_ _ _
<glossing>	INFL:m/frp/p shaman that:prox:hearer
<translation>	( the one ) who is a shaman . 

<line_85>	Joc xim joc xim nain quem . Mi' pin xi'
<segmentation>	_ _ _ _ na-in _ _ __
<glossing>	push night push night 3s:rp/p-3n ref give completely whenever
<translation>	He keeps it secret . Whenever a person passes out ( lit . dies )

<line_86>	na wari' con quem . Ma' na co 
<segmentation>	_ _ _ _ _ _ _
<glossing>	3s:rp/p person prep:3sm ref exist 3s:rp/p INFL:m/frp/p
<translation>	regarding him . ( It happens that ) there is one

<line_87>	mi' pin con quem . Mo 'o nonon
<segmentation>	_ _ _ _ _ _ nana-on
<glossing>	give completely prep:3sm ref run lead 3p:rp/p-3sm
<translation>	who passes out ( lit. dies ) regarding him . They go get him . 

<line_88>	quem . Nuru na quem , 'an xiho' nain mijac
<segmentation>	_ _ _ _ _ _ na-in _ 
<glossing>	ref blow 3s:rp/p ref takers together 3s:rp/p-3n wild:pig
<translation>	He blows , he imitates the wild pig , 

<line_89>	quem ca' na . Nuru nuru nuru , cao' ja' non
<segmentation>	_ _ _ _ _ _ _ _ na-on 
<glossing>	ref this:n 3s:rp/p blow blow blow eat splash 3s:rp/p-3sm
<translation>	thus it is . He blows and blows , he smears the ( oil of 

<line_90>	pain towaxi' co caxi na 
<segmentation>	_ _ _ _ _
<glossing>	prep:3n calm:coconut:species INFL:m/frp/p sick 3s:rp/p 
<translation>	the ) towaxi' coconut on him who is sick , 

<line_91>	ma' , xio pin 'ac ca na quem , 
<segmentation>	_ _ _ _ _ _ _
<glossing>	that:prox:hearer cold completely travel 3sm 3s:rp/p ref 
<translation>	then he gets well , 

<line_92>	ca' na . 'Om ca taraju xo' camain'
<segmentation>	_ _ _ _ _ _ _
<glossing>	this:n 3s:rp/p not:exist INFL:nrp/p hear correctly at:all 
<translation>	thus it is . He doesn't hear correctly at all 

<line_93>	cain 'oro me , 'oro jowin cwa' , 'oro carawa
<segmentation>	ca-in _ _ _ _ _ _ _
<glossing>	3sm-3n coll bird coll monkey:species this:m/f coll animal
<translation>	birds , the jowin monkeys , all different animals . 

<line_94>	jimao . Querec querec 'ac wari' non . 
<segmentation>	_ _ _ _ _ na-on
<glossing>	different see see like person 3s:rp/p-3sm
<translation>	They look like people to him ( he sees them and they are like people to him ) . 

<line_95>	'Om ca querec querec 'ac carawa con . 
<segmentation>	_ _ _ _ _ _ ca-on
<glossing>	not:exist INFL:nrp/p see see like animal 3sm-3sm
<translation>	They don't look like animals to him ( he doesn't see them and they are like animals to him ) . 

<line_96>	Win pe pin non . 
<segmentation>	_ _ _ na-on
<glossing>	same be:s completely 3s:rp/p-3sm
<translation>	He becomes completely used to them . ( They become one and the same with him . )

<line_97>	Querec wari' non piwa , tam , 'oro carawa
<segmentation>	_ _ na-on _ _ _ _
<glossing>	see person 3s:rp/p-3sm agouti:species bird:species coll animal
<translation>	He sees a piwa agouti ( as ) a person , a tam bird , all different

<line_98>	jimao , 'orojimain carawa . 
<segmentation>	_ 'orojima-in _
<glossing>	different smallness-3n animal
<translation>	animals , little animals . 

<line_99>	'Ac ne ma' 'ac ne ma' . 
<segmentation>	_ _ _ _ _ _
<glossing>	travel 3n that:prox:hearer travel 3n that:prox:hearer
<translation>	Then it goes on , then it goes on . 

<line_100>	Pain pain pin 'i na ne . 
<segmentation>	_ _ _ _ _ _
<glossing>	prep:3n prep:3n completely already:s 3s:rp/p rec:past
<translation>	When a long time has passed . 

<line_101>	Pi'am tohein' mami' 'ac cain na . 
<segmentation>	_ _ _ _ ca-in _
<glossing>	sleep dream again travel 3sm-3n 3s:rp/p
<translation>	Then he dreams of them ( the pigs ) again . 

<line_102>	Maqui' na mijac ta 'ac ca na ca tomi'
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	come 3s:rp/p wild:pig emph travel 3sm 3s:rp/p INFL:nrp/p speak
<translation>	` The wild pigs are coming ' , then he ( says ) when he speaks . 

<line_103>	ca . Maqui' na mijac ta . Pa' jein mijac , 
<segmentation>	_ _ _ _ _ _ je-in _ 
<glossing>	3sm come 3s:rp/p wild:pig emph kill 2p:rf-3n wild:pig
<translation>	` The wild pigs are coming . ' ` Kill the pigs . '

<line_104>	main ca maqui' ne ?
<segmentation>	ma'-in _ _ _
<glossing>	that:prox:hearer-3n INFL:nrp/p come 3n
<translation>	` Where are they coming from ? ' 

<line_105>	to nain ma' . maqui' na , xut je 
<segmentation>	_ na-in _ _ _ _ _
<glossing>	be:p 3s:rp/p-3n that:prox:hearer come 3s:rp/p walks 2p:rf
<translation>	` They are here , they are coming , go

<line_106>	pain ta 'ac cocon na . 
<segmentation>	_ _ _ ca-ocon _ 
<glossing>	prep:3n emph travel 3sm-pm 3s:rp/p
<translation>	regarding them after them ( lit . walk ) ' , then he ( says ) to them . 

<line_107>	'Om ca mixein ca , xut xut hwet
<segmentation>	_ _ _ _ _ _ _
<glossing>	not:exist INFL:nrp/p deceive 3sm walk:s walk:s aprroach
<translation>	He isn't deceiving , they walk 

<line_108>	nanain . Pa' 'ac cacain na con . 
<segmentation>	nana-in _ _ caca-in _ _
<glossing>	3p:rp/p-3n kill travel 3pm-3n 3s:rp/p prep:3sm
<translation>	to them . Then they kill them because of him . 

<line_109>	Tomi' 'ac ca na . Jamicocon 'oro wara 
<segmentation>	_ _ _ _ jami-cocon _ _
<glossing>	speak travel 3sm 3s:rp/p spirit-3pm coll already 
<translation>	Then he speaks . ` ( They are ) the spirits of

<line_110>	co cono' nana . 
<segmentation>	_ _ _
<glossing>	INFL:m/frp/p die:p 3p:rp/p
<translation>	those who have already died . ' 

<line_111>	Coxari' ca ma'
<segmentation>	co-xa'-'iri' _ _
<glossing>	INFL:m/frp/p-younger:sibling:1s-1pincl m that:prox:hearer
<translation>	` Our younger brother ( is ) that one , 

<line_112>	ta , co pa' pin hwe ma' . 
<segmentation>	_ _ _ _ _ _
<glossing>	emph INFL:m/frp/p kill completely 2p that:prox:hearer
<translation>	whom you killed there . '

<line_113>	Cowere' cam ma' ta , 
<segmentation>	co-we-'iri' _ _ _
<glossing>	INFL:m/frp/p-older:sister-1s-1pincl f that:prox:hearer emph
<translation>	` Our older sister ( is ) that one , 

<line_114>	co pa' ma ca' na . Querec pin' 
<segmentation>	_ _ _ _ _ _ _
