# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1962
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "Wirin - the origin of corn" and was told by a speaker called Manim in 1962.
# source:	Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 452-472.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Nama' na Wirin nana ta . Tota ta' na .
<glossing>	completely 3s:rp/pp-3n plant 2p:rf-3n 3s:rp/p-3pf coll child-3sm
<translation>	up . ` Plant it ' , he ( said ) to his daughters . 

<line_6>	Ma'e 'Oin' jein nanam mana panxica cam 
<segmentation>	_ _ je-in na-vcvm _ panxi-ca _ 
<glossing>	okay plant 2p:rf-3n 3s_rp/p-3pf coll child-3sm prep:3sf
<translation> 	` Okay . ' ` Plant it ' , he ( said ) to his children and the 

<line_7>	jicanam mana panxica . Ma'e . 'Oin' 'oin' 'oin' 'oin' 'oin'
<segmentation>	xi-vcvm _ panxi-ca _ _ _ _ _ _
<glossing>	mother-3pm coll child-3sm okay plant plant plant plant plant 
<translation>	mother of his children . ` Okay ' . ( They ) planted and planted

<line_8>	'oin' 'oin' 'oin' 'oin' 'oin' hooooo xam' . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	plant plant plant plant plant sound:of:motion all:of:it
<translation> 	and planted all of it . 

<line_9>	'Oin' xam' pin nanain . Pije' ca' na xitot . 
<segmentation>	_ _ _ nana-in _ _ _ _
<glossing>	plant all:of:it completely 3p:rp/p-3n child this:n 3s:rp/p garden
<translation>	They planted all of it . It was a small garden . 

<line_10>	'Om ca hwara' ne xitot ma' . Pije' 
<segmentation>	_ _ _ _ _ _ _
<glossing>	not:exist INFL:nrp/p big:s 3n garden that:prox:hearer child
<translation>	The garden was not big . It was small . 

<line_11>	ca' na . Xam' . Xam' pin na ta
<segmentation>	_ _ _ _ _ _ _
<glossing>	this:n 3s:rp/p all:of:it all:of:it completely 3s:rp/p emph
<translation>	( They planted ) all of it . ` It is all ( planted ) , father ' .

<line_12> 	te . Howa . To wet mao cacama ma'
<segmentation>	_ _ _ _ _ _ _
<glossing>	father:1s okay be:at:p still:go:s 3pf that:prox:hearer
<translation>	` Okay' . Then time passed ( lit . they stayed put ) . 

<line_13>	na . To to to to . 'Am horon 
<segmentation>	_ _ _ _ _ _ _
<glossing>	3s:rp/p be:at:p be:at:p be:at:p be:at:p finally:s big:p 
<translation>	Time passed and passed ( lit . they were and were ) . Finally it ( corn )

<line_14>	pin ta' na . 'Am horon pin ta' na . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	completely 1s:rf 3s:rp/p finally:s big:p completely 1s:rf 3s:rp/p
<translation>	( said ) , ` I will get big ' Finally it ( said ) , ` I will get big ' 

<line_15>	'Am tapa' ta' na wijein . Tapaaaa' 'ari . 'Am
<segmentation>	_ _ _ _ wije-in _ _ _
<glossing>	finally:s burst 1s:rf 3s:rp/p flower-3n burst all finally:s 
<translation>	Finally its flowers ( said ) , ` I will burst ( open ) . ' ( They ) all burst ( open ) .

<line_16>	hwerehwet qui' ta' na winain . 'Am 'an
<segmentation>	_ _ _ _ wina-in _ _ 
<glossing>	appear:p coming:this:way 1s:rf 3s:rp/p head-3n finally:s take:s
<translation>	Finally its heads ( said ) , ` I will come out . ' Finally it ( said ) , I 

<line_17>	warawa ta' na , 'am 'an warawa pin 'ari . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	hang:p 1s:rf 3s:rp/p finally:s take:s hang:p completely all
<translation>	will hang ' , finally it hung all completely . 

<line_18>	'Am tucu pin ta' na . 'I' querec 'i
<segmentation>	_ toco-u _ _ _ _ _ _
<glossing>	finally:s eye-1s completely 1s:rf 3s:rp/p tear see already:s
<translation>	Finally it ( said ) , ` I will have grains . ' When they tore and looked 
 
<line_19>	nanain ne . Tucu na mapac ta te . Quep
<segmentation>	nana-in _ toco-u _ _ _ _ _
<glossing>	3p:rp/p-3n rec:past eye-1s 3s:rp/p corn emph father:1s do
<translation>	at it . ` The corn has grains , father . ' Stop touching ( lit . doing )

<line_20>	maho' je 'e' Ma'e . Tucu tucu tucu tucu xam'
<segmentation>	_ _ _ _ toco-u toco-u toco-u toco-u _ 
<glossing>	stop sp:rf emph okay eye-1s eye-1s eye-1s eye-1s all:of:it
<translation>	it ! ' ` Okay . ' When all the ( corn plants ) had grains . 

<line_21>	pin 'i na ne . 'Awori pin 'i
<segmentation>	_ _ _ _ _ _ _
<glossing>	completely already:s 3s:rp/p rec:past ready completely already:s
<translation>	When it was all ready 

<line_22>	na con ne . Cao' mao cacamain na . 'Ep cao' 
<segmentation>	_ _ _ _ _ cacama-in _ _ _
<glossing>	3s:rp/p prep:3sm rec:past eat go:s 3pf-3n 3s:rp/p grind eat
<translation>	regarding him . Then they ate it . They ground and ate , 

<line_23>	'ep cao' 'ep cao' 'ep 'cao' ca' nanain . Cono'
<segmentation>	_ _ _ _ _ _ _ nana-in _ 
<glossing>	grind eat grind eat grind eat this:n 3p:rp/p-3n die:p
<translation>	ground and ate , thus it was . ` I will dry up ( lit . die ) ' , 

<line_24>	pin ta' na . Cono' pin 'ari . Quep ta' 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	completely 1s:rf 3s:rp/p die:s completely all do 1s:rf
<translation>	it ( said ) . It died all up ( lit . died ) . ` I will make 

<line_25>	xirinain na cote cacama . Quep quep 
<segmentation>	xiri-nain _ co-te _ _ _
<glossing>	house-3n 3s:rp/p INFL:m/frp/p-father:1s 3pf do do 
<translation>	it's house ' , ( said ) their father . ( He ) finished ( it ) ( lit . made it ) ready

<line_26>	'awori . Top jein mapac ta hwijima' . Ma'e . 
<segmentation>	_ _ je-in _ _ _ _
<glossing>	ready harvest:corn 2p:rf-3n corn emph children okay
<translation>	( finished it ) . ` Harvest the corn , children . ' ` Okay . '

<line_27>	Top mao cacamain na . Top top 
<segmentation>	_ _ cacama-in _ _ _ 
<glossing>	harvers:corn go:s 3pf-3n 3s:rp/p harvest:corn harvest:corn
<translation>	Then they harvested it . ( They ) harvested and harvested

<line_28>	top top top top top
<segmentation>	_ _ _ _ _
<glossing>	harvest:corn harvest:corn harvest:corn harvest:corn
<translation>	and harvested and harvested

<line_29>	top hoooopat pin nanain Quep tain
<segmentation>	_ _ _ nana-in _ _
<glossing>	harvest:conr all:of:it completely 3p:rp/p-3n do 1s:rf-3n
<translation>	and harvested all of it completely . ` I will do it ' , 

<line_30>	na cote cacama . Macori macori
<segmentation>	_ co-te _ macori-0 macori-0
<glossing>	3s:rp/p INFL:m/frp/p-father:1s 3pf vine-3n vine-3n
<translation>	( said ) their father . Its vine , its vine , 

<line_31>	macori macori macori macori , ma' xirim
<segmentation>	macori-0 macori-0 macori-0 macori-0 _ _
<glossing>	vine-3n vine-3n vine-3n vine-3n that:prox:hearer house
<translation>	( he wound vine around the frame of the house ) , there was the house

<line_32>	pain cain , xat . Je ma' . 
<segmentation>	_ _ _ _ _
<glossing>	prep:3n that:n:distal stand:s emph:3n that:prox:hearer
<translation>	there , ( it ) stood . ` That's that . '

<line_33>	Cote ne 'ara ne totacocon . Pije' ca'
<segmentation>	co-te _ _ _ tota-ocon _ _
<glossing>	INFL:m/frp/p-father:1s 3n neg:p 3n garden-3pm child this:n
<translation>	It was not a large garden . It was a small

<line_34>	na xitot . Mon to wet mao cacama
<segmentation>	_ _ _ _ _ _ _
<glossing>	3s:rp/p garden delay be:at:p still go:s 3pf
<translation>	garden . Time passed ( lit . they stayed put ) . 

<line_35>	ma' na , mon 'ep toc mao cacama
<segmentation>	_ _ _ _ _ _ _
<glossing>	that:prox:hearer 3s:rp/p delay grind drink go:s 3pf 
<translation>	Then they for a long time ground and drank ( corndrink ) . 

<line_36>	ma' na . Tota xi' nana 'oro wari' . 
<segmentation>	_ _ tota-0 _ _ _ _
<glossing>	that:prox:hearer 3s:rp/p garden-1s 1pincl:rf 3p:rp/p coll
<translation>	` We will clear land for gardens ' , ( said ) someone ( lit . the people ) . 

<line_37>	Tota tota pi' pin nana . Tom pin 
<segmentation>	tota-0 tota-0 _ _ _ _ _
<glossing>	garden-1s garden-1s finish completely 3p:rp/p burn completely
<translation>	They cleared land for gardens completely . When they completely

<line_38>	'iri nanain ne . Maji tomi' xun
<segmentation>	_ nana-in _ _ _ xi'-on
<glossing>	already:p 3p:rp/p-3n rec:past let's:go speak 1pincl:rf-3sm
<translation>	burned it . ` Let's go talk to 

<line_39>	Wirin pain mapac , ma . Xut xut xut xut
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	m:name prep:3n corn okay walk:s walk:s walk:s walk:s
<translation>	Wirin about corn ' , ` Okay . ' They walked and walked

<line_40>	hwet nonon . Xique' mi' xut mapac Wirin . Ma . 
<segmentation>	_ nana-on _ _ _ _ _ _ 
<glossing>	approach 3p:rp/p-3sm shell give 2s:1pexcl:rf corn m:name okay
<translation>	and approached him . ` Shell corn for us , Wirin . ' ' Okay . '

<line_41>	Main coco ma' quem? 'Awin
<segmentation>	ma'-in _ _ _ _
<glossing>	that:prox:hearer-3n basket that:prox:hearer ref take
<translation>	` Where's a basket ? ' He took

<line_42>	nain coco . Xique' mao cacain ma' na . 
<segmentation>	na-in _ _ _ caca-in _ _
<glossing>	3s:rp/p-3n basket shell go:s 3pm-3n that:prox:hearer 3s:rp/p
<translation>	a basket . Then they shelled ( corn ) . 

<line_43>	Xique' xique' xique' xique' . Tom na xaji . Hom 
<segmentation>	_ _ _ _ _ _ xaji-0 _
<glossing>	shell shell shell shell burn 3s:rp/p fire-3n sound:of:fire
<translation>	( They ) shelled and shelled . He burned its fire . Its fire . 

<line_44>	hom na xaji ma' . Tom to 
<segmenation>	_ _ _ _ _ _
<glossing>	sound:of:fire 3s:rp/p fire-3n that:prox:hearer burn be:at:p
<translation>	was burning well ( lit . onomatopeia for sound of fire ) . He burned it ( the corn )

<line_45>	tom to tom to tom to 'ari nain . 
<segmentation>	_ _ _ _ _ _ _ na-in
<glossing>	burn be:at burn be:at burn be:at all 3s:rp/p-3n
<translation>	and burned it and burned it completely . 

<line_46>	Mixem pin 'i na ne . Xique' mao
<segmentation>	_ _ _ _ _ _ _
<glossing>	black completely already:s 3s:rp/p rec:past shell go:s
<translation>	When it was all black . Then he shelled it , 

<line_47>	cain ma' na , xique' xique' xique' 'ari
<segmentation>	ca-in _ _ _ _ _ _
<glossing>	3sm-3n that:prox:hearer 3s:rp/p shell shell shell all 
<translation>	he shelled it all . 

<line_48>	nain . Xijein coco ma' . Xique' xique'
<segmentation>	na-in xije-in _ _ _ _
<glossing>	3s:rp/p-3n otherness-3n basket that:prox:hearer shell shell
<translation>	Another basket . ( He ) shelled it all . 

<line_49>	'ari Xijein coco ma' . Je
<segmentation>	_ xije-in _ _ _
<glossing>	all otherness-3n basket that:prox:hearer emph:3n
<translation>	Another basket . ` That's it ! '

<line_50>	ma' . 'An xiwap . Ma' ta . 
<segmentation>	_ _ _ _ _
<glossing>	that:prox:hearer takers swing:up that:prox:hearer emph
<translation>	( He ) swung ( it ) up . ` There ! '

<line_51>	Tom to ma pain xe ra ? Je
<segmentation>	_ _ _ _ _ _ _
<glossing>	burn be:at:p 2s:rp/p prep:3n fire 2s:rf emph:3n 
<translation>	` You burned it in the fire , didn't you . ' That's

<line_52>	ma' quira , 'ac 'i ma' 'ac
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer emph like n that:prox:hearer like
<translation>	just right , I did it like that 

<line_53>	'i ma' 'inain cacam mana pantiri'
<segmentation>	_ _ ina-in _ _ _
<glossing>	n that:prox:hearer 1s:rp/p-3n prep:3pf coll child-1pincl
<translation>	with our children long ago . 

<line_54>	pane . Tarama' na . 'Om ca cono' ne ?
<segmentation>	_ _ _ _ _ _ _
<glossing>	rem:past man 3s:rp/p not:exist INFL:nrp/p die:p 3n 
<translation>	It grew . ' Didn't it die ? '

<line_55>	'Om ca cono' ne . Howa . Maji ma nana . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	not:exist INFL:nrp/p die:p 3n okay let's:go emph 3p:rp/p
<translation>	` It didn't die . ' Okay . Let's go ' , they ( said ) .

<line_56>	Tan' . 'Oin' xin nana , hoc merem xin
<segmentation>	_ _ xi'-in _ _ _ _
<glossing>	arrive:p plant 1pincl:rf-3n 3p:rp/p cook call 1pincl:rf-3n
<translation>	( They ) arrived . ` We will plant it ' , they ( said ) , ' we will soak

<line_57>	ma' nana , 'oin' 'oin' . Ca maram
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer 3:rp/p plant plant INFL:nrp/p rotten
<translation>	it ' , they ( said ) , and ( they ) planted . And it

<line_58>	pin 'ac ne ma' na . Tarama' xira
<segmentation>	_ _ _ _ _ _ _
<glossing>	completely travel 3n that:prox:hearer 3s:rp/p man 3s:irr
<translation>	rotted . ` It would grow ( but it won't ) 

<line_59>	xi 'om ne ca cono' pin ne pain 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	INFL:irr not:exist 3n INFL:rp/p die:s completely 3n prep:3n
<translation>	because it died in the

<line_60>	xe ma' . Wereme xi' nana quem . Mo
<segmentation>	_ _ _ _ _ _ _
<glossing>	fire that:prox:hearer breathe 1pincl:rf 3p:rp/p ref run
<translation>	fire . ' ` We will breathe ( make plans ) ' , they ( said ) . 

<line_61>	hot tenenein mi' pan tarapa' ta na wari'
<segmentation>	_ tenene-in _ _ tara-pa _ _ _
<glossing>	take:out leaf-3n give emph 3s:rf-1s emph 3s:rp/p person
<translation>	` ( I will ) rund ( and ) he will take it out for me in its leaves ' , 

<line_62>	ma' . Ma . Xut xut xut xut
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer okay walk:s walk:s walk:s walk:s
<translation>	( said ) a person . ' Okay . ' They walked and walked and

<line_63>	hwet nonon . Hot tenenein mi' ne mapac
<segmentation>	_ nana-on _ tenene-in _ _ _
<glossing>	approach 3p:rp/p-3sm take:out leaf-3n give 2s:1s:rf corn
<translation>	approached him . ` Take corn out for me in its leaves !

<line_64>	wira . Ta xique' main me , hot tenenein 'e'
<segmentation>	_ _ _ ma-in _ _ tenene-in _
<glossing>	emph INFL:rf shell 2s-3n emph take:out leaf-3n only
<translation>	Don't shell it , just take it out in its leaves . ' 

<line_65>	ma' rain . Ma . Hooooo , 'awin . Xao 
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer 2s:rf-3n okay sound:of:going take pound
<translation>	` Okay . ' ( He ) went after it ( sound of his going ) and got ( it ) .

<line_66>	pe . Caraho' nain xaji . Caraho' caraho'
<segmentation>	_ _ _ _ _ _
<glossing>	be:at:s make:fire 3s:rp/p-3n fire-3n make:fire make:fire
<translation>	( He ) sat down . He made its fire . He made ( the fire ) completely . 

<line_67>	caraho' caraho' 'ari nain . 'I' nain . 'I' 'i'
<segmentation>	_ _ _ na-in _ na-in _ _
<glossing>	make:fire make:fire all 3s:rp/p-3n tear 3s:rp/p-3n tear tear
<translation>	` He tore ( shucked ) it . He shucked ( lit . tore ) it

<line_68>	'i' 'i' 'ari nain . Tom toto nain . Tom
<segmentation>	_ _ _ na-in _ _ na-in _ 
<glossing>	tear tear all 3s:rp/p-3n burn be:at:p 3s:rp/p-3n burn
<translation>	completely . He burned it . He burned and

<line_69>	toto tom toto tom toto tom toto tom
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	be:at:p burn be:at:p burn be:at:p burn be:at:p
<translation>	burned and burned

<line_70>	toto 'ari nain . Xique' nain . Xique' xique' 
<segmentation>	_ _ na-in _ na-in _ _
<glossing>	be:at:p all 3s:rp/p-3n shell 3s:rp/p-3n shell shell
<translation>	it all . He shelled it . ( He ) shelled

<line_71>	xique' xique' xique' 'ari . Tao' tao' tao' tao' tao' tao'
<segmentation>	_ _ _ _ _ _ _ _ _ _
<glossing>	shell shell shell all close close close close close close
<translation>	( it ) all . ( He ) ( packed and ) closed ( it in the basket ) . 

<line_72>	'ari . 'An xiwap . Ma' ta . Hot
<segmentation>	_ _ _ _ _ _
<glossing>	all takers swing:up that:prox:hearer emph take:out
<translation>	( He ) swung ( it ) up . ` There ! ' You should have taken

<line_73>	tenenein ximain ne wira . Tarama' mao ne pain
<segmentation>	tenene-in xima-in _ _ _ _ _ _
<glossing>	leaf-3n 2s:irr-3n rec:past emph man neg 3n prep:3n
<translation>	it out in its leaves ! It didn't grow this way before . 

<line_74>	ca' pane . Cono' cono' 'a mao ne pain ca' 
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	this:n rem:past die:p die:p neg:s neg 3n prep:3n this:n
<translation>	It died this way before . 

<line_75>	pane . Tom to 'a ximain pain xe ta . 'Ac 'i 
<segmentation>	_ _ _ _ xima-in _ _ _ _ _
<glossing>	rem:past burn be:at:p neg:s 2s:irr-3n prep:3n fire emph like n
<translation>	You shouldn't have burned it with fire . ' I ( did ) like that

<line_76>	ma' 'i ma' 'inain cacam mana
<segmentation>	_ _ _ 'ina-in _ _
<glossing>	that:prox:hearer n that:prox:hearer 1s:rp/p-3n prep:3pf coll
<translation>	regarding our

<line_77>	pantiri' pane . 'Ane ca wari' mao ta'
<segmentation>	panxi-'iri' _ _ _ _ _ _
<glossing>	child-1pincl rem:past different INFL:nrp/p person neg 1s
<translation>	children long ago . It's the way I am ( lit . ( It's ) because I'm a person ) . '

<line_78>	ne . Howa 'An xiwap . 'An tiquin' 
<segmentation>	_ _ _ _ _ _
<glossing>	rec:past okay takers swing:up takers continue
<translation>	` Okay . ' ( He ) swung ( it ) up . ( He ) carried 

<line_79>	'an tiquin' 'an 'tiquin' wa' . 'Oin' xin . 
<segmentation>	_ _ _ _ _ _ xi'-in
<glossing>	takers continue takers continue arrive:s plant 1picl:rf-3n 
<translation>	and carried ( it ) and arrived . ` We will plant it . '

<line_80>	'Oin' 'oin' 'oin' maram . Ma' mao ne mapac , to 'e'
<segmentation>	_ _ _ _ _ _ _ _ _ _
<glossing>	plant plant plant rotten exist neg 3n corn be:at:p only
<translation>	( They ) planted and ( it ) rotted . There was no corn . When they

<line_81>	ma' 'iri nana ne . Tota ta' 
<segmentation>	_ _ _ _ tota-0 _
<glossing>	that:prox:hearer already:p 3p:rp/p rec:past garden-1s 1s:rf
<translation>	just were ( with nothing to eat ) . ` I will clear land for a

<line_82>	na quem . Tota tota tota 'ari Tom tain
<segmentation>	_ _ tota-0 tota-0 tota-0 _ _ ta-in
<glossing> 	3s:rp/p ref garden-1s garden-1s garden-1s all burn 1s:rf-3n
<translation>	garden ' , he ( said ) . ( He ) cleared it all . ` I will burn it , '

<line_83>	na . Tom pin 'ari . 'Oin' jein . 'Oin' 'oin' 'oin'
<segmentation>	_ _ _ _ _ je-in _ _ _
<glossing>	3s:rp/p burn completely all plant 2p:rf-3n plant plant plant
<translation>	he ( said ) . ( He ) burned it all . ` Plant it. ' ( They ) planted

<line_84>	xam' . 'Oin' pije' ca' na . 'Om ca mao
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	all:of:it plant child this:n 3s:rp/p not:exist INFL:nrp/p go:s
<translation>	all of it . He planted a little . The garden did not go

<line_85>	ne pira xitot ma' ta . Tota pije' ca'
<segmentation>	_ _ _ _ _ tota-0 _ _
<glossing>	3n distance garden that:prox:hearer emph garden-1s child this:ne
<translation>	far . He made it a small garden . 

<line_86>	nain . 'Om ca mao ne pira xitot . 'Awori
<segmentation	na-in _ _ _ _ _ _ _
<glossing>	3s:rp/p-3n not:exist INFL:nrp/p go:s 3n distance garden ready
<translation>	The garden didn't go far . 

<line_87>	pin 'i na con ne , top 
<segmentation>	_ _ _ _ _ _
<glossing>	completely already:s 3s:rp/p prep:3sm rec:past harvest:corn 
<translation>	When it was ready by him , ` I will harvest it ' ,

<line_88>	tain na . Top 'an xat . 'Ep cao' 
<segmentation>	ta'-in _ _ _ _ _ _
<glossing>	1s:rf-3n 3s:rp/p harvest:corn takers stand:s grind eat 
<translation>	he ( said ) . ( He ) harvested and stored ( it ) . Then they ground

<line_89>	mao cacamain na . Wereme xin nana pain
<segmentation>	_ cacama-in _ _ xi'-in _ _
<glossing>	go:s 3pf-3n 3s:rp/p breathe 1pincl:rf-3n 3p:rp/p prep:3n
<translation>	and ate it . ` We will make plans ( lit . breathe ) ' , they ( said ) because 

<line_90>	xicomicocon . Xao pe 'ho' xi' ta pain ma'
<segmentation>	xicomi-cocon _ _ _ _ _ _ _
<glossing>	hunger-3pm pound be:at:s now dub pass:3s prep:3n that:prox:hearer
<translation>	of their hunger . ` It should be sat in wait for there , 

<line_91>	'an ca' Xi' ta pain ma' . Xao pe
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	takers this:n dub pass:3n prep:3n that:prox:hearer pound be:at:s
<translation>	it should be taken from him there . I will sit in wait 

<line_92>	ho' ton me . Ma . Mao nain mapac ma' , 
<segmentation>	_ ta'-on _ _ _ na-in _ _
<glossing>	now 1s:rf-3sm emph okay go:s 3s:rp/p-3n corn that:prox:hearer
<translation>	for him . ' ` Okay . ' He went to the corn , 

<line_93>	ca xat ne mapac ma' , tarama'
<segmentation>	_ _ _ _ _ _
<glossing>	INFL:nrp/p stand:s 3n corn that:prox:hearer man 
<translation>	where the corn stood , her man . 

<line_94>	nequem . To wet mao camain xirim na narima' 
<segmentation>	_ _ _ _ cama-in _ _ _
<glossing>	poss:3sf be:at:p still go:s 3sf-3n house 3s:rp/p woman
<translation>	Then the woman stayed at the house . 

<line_95>	ma' . Xao pe . Tuquio , 
<segmentation>	_ _ _ _
<glossing>	that:prox:hearer pound be:at:s sound:of:getting:attention
<translation>	( He ) sat down . ` Tuquio ' ( he tried to get her subconscious attention ) . 

<line_96>	pe top tocon rain . 
<segmentation>	_ _ toco-con ra-in
<glossing>	be:at:s sound:of:grinding eye-3sm 2s:rf-3n
<translation>	` Flip a grain when the stone hits it while grinding . '

<line_97>	Tuquio , pe top tocon
<segmentation>	_ _ _ toco-con
<glossing>	sound:of:getting:attention be:at:s sound:of:grinding eye-3sm
<translation>	` Tuquio , flip a grain when the stone hits it while grinding . 

<line_98>	rain . Pe top tocon rain . Pe
<segmentation>	ra-in _ _ toco-con ra-in _ 
<glossing>	2s:rf-3n be:at:s sound:of:grinding eye-3sm 2s:rf-3n be:at:s
<translation>	Flip a grain when the stone hits it while grinding . Flip a grain

<line_99>	top tocon rain . Pe top
<segmentation>	_ toco-con _ _ _
<glossing>	sound:of:grinding eye-3sm 2s:rf-3n be:at:s sound:of:grinding
<translation>	when the stone hits it while grinding . ' When the stone flipped a

<line_100>	tocon 'i' na pacun pain mapac ma'
<segmentation>	toco-con _ _ _ _ _
<glossing>	eye-3sm already:s 3s:rp/p stone prep:3n corn that:prox:hearer
<translation>	grain while grinding the corn . 

<line_101>	ne . Toroooo na ca toin mao ne 
<segmentation>	_ _ _ _ _ _ _
<glossing>	rec:past sound:of:movement 3s:rp/p INFL:nrp/p fly:p go:s 3n
<translation>	` Torooooo' ( it went ) when a grain of corn flew . 

<line_102>	tocoi mapac ma' . Xat wet mao ca 
<segmentation>	toco-i _ _ _ _ _ _
<glossing>	eye-3n corn that:prox:hearer stand:s still go:s 3sm 
<translation>	Then the person

<line_103>	ma' na wari' ma' . Tu
<segmentation>	_ _ _ _ _
<glossing>	that:prox:hearer 3s:rp/p person that:prox:hearer sound:of:running
<translation>	was there . Tu ( sound of his running ) 

<line_104>	tu tu tu 
<segmentation>	_ _ _
<glossing>	sound:of:running sound:of:running sound:of:running
<translation>	tu tu tu ( sound of his running ) , 

<line_105>	tu tu tu 
<segmentation>	_ _ _
<glossing>	sound:of:running sound:of:running sound:of:running
<translation>	tu tu tu ( sound of his running , 

<line_106>	tu hoooo 'an 'itac . 
<segmentation>	_ _ _ _
<glossing>	sound:of:running sound:of:motion takers swallow 
<translation>	sound of his running , sound of his movement ) ( he ) took and swallowed ( it ) . 

<line_107>	Hmmmmmmmmmm . 'Om xi 'an hwein con
<segmentation>	_ _ _ _ hwe-in _
<glossing>	sound-of-anger not:exist INFL:irr takers 2p-3n prep:3sm
<translation>	Sound of anger . ` You should not take it regarding 

<line_108>	cwaji' hwe . Narain ho' narain ho' co-'aji'
<segmentation>	_ _ _ _ _ _ _ 
<glossing>	INFL:m/frp/p-elder:brother:1s 2p deny now deny:p now
<translation>	your older brother . " He shall deny it until he doesn't want to 

<line_109>	noc pin tarain 'e' xuhun
<segmentation>	_ _ tara-in _ xihwe-on
<glossing>	dislike completely 3s:rf-3n emph 2p:irr-3sm
<translation>	anymore , " you should just ( say) regarding

<line_110>	cwaji' hwe ta . Nain ho' mi'
<segmentation>	co-'aji' _ _ _ _ _
