# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/ED/ED5072.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Parkhaus . 580_1760
auf . 300753_301264
und . 302236_302372
jetzt . 302372_302831
noch . 302831_303123
die . 303123_303298
grosse . 303298_303783
und . 307643_307915
jetz . 307915_308187
hat . 308187_308459
die . 308809_308964
grosse . 308964_309450
Mama . 309450_309890
noch . 309890_310175
nichts . 310175_310797
des . 317156_317421
tu . 317421_317596
ich . 317596_317719
dann . 317719_318037
in . 318173_318328
den . 318328_318509
Mülleimer . 318509_319746
ja . 330068_330671
aber . 333540_333954
so . 333954_334330
jo . 334615_334900
aber . 338351_338753
wo . 338753_338967
soll . 338967_339303
ich . 339303_339614
dann . 339614_340016
sitzen . 340016_340754
Mama . 341749_342179
so . 342179_342593
nur . 346382_346718
des . 346718_347340
und . 348551_348829
des . 348829_349432
und . 353184_353654
des . 353654_354463
Naami . 354463_355176
muss . 355176_355500
wieder . 355500_355810
aufpassen . 355810_356704
Namii . 358323_358608
guck . 359754_360078
des . 360078_360285
stellt . 360285_360700
sich . 360700_360901
da . 360901_361276
hin . 361276_361509
und . 363614_363866
der . 363866_364514
macht . 364514_365039
ah . 365039_368704
Kuhflatschen . 387510_389589
ja . 395715_396155
des . 398979_399244
ist . 399244_399484
halt . 399484_399808
so . 399808_400274
ich . 403415_404101
stand . 404101_404658
hier . 404658_404982
heut . 404982_405390
auf . 405390_405707
dem . 405707_406128
Baum . 406128_406873
der . 413460_413718
ist . 413718_413964
umgefallen . 413964_415207
ich . 415751_416127
tanze . 416127_416820
heut . 416820_417325
fröhlich . 417325_418192
vom . 418192_418734
Baum . 418734_419287
der . 421395_421638
ist . 421638_421780
hingefallen . 421780_422713
nein . 426280_426903
der . 427906_428094
kriegst . 428094_428787
aber . 428787_429085
garnichts . 429085_429862
nein . 432381_432964
ja . 435470_435852
weil . 435988_436396
der . 436921_437122
immer . 437122_437640
sagt . 439680_440262
ich . 440444_440683
will . 440683_441143
nicht . 441143_441525
ich . 441525_441836
will . 441836_442218
nicht . 442218_442639
ich . 442639_442833
tanz . 442833_443319
rum . 443319_443746
aber . 447996_448357
der . 448357_448526
quatscht . 448526_449335
so . 449335_449944
ja . 456330_456705
ja . 461426_461672
so . 464275_464534
da . 465976_466257
schmeisst . 466677_467163
der . 467163_467396
um . 467396_468128
schmeisst . 468601_469106
den . 469106_469423
um . 469423_470187
aber . 477933_478166
der . 478166_478386
hilft . 478386_478781
gar . 478781_479118
nicht . 479118_479409
mehr . 479409_479914
des . 486112_486358
ist . 486358_486539
ein . 486539_486811
Umschuckbär . 486986_488262
ja . 497159_497517
ja . 501025_501343
ich . 503765_504004
nehm . 504004_504322
dafür . 504322_504879
ein . 504879_504984
anderes . 504984_505882
nein . 510765_511911
nein . 514011_515279
ja . 517578_518391
der . 519916_520129
Bär . 521360_521878
soll . 522085_522461
nicht . 522461_522966
da . 522966_523471
rein . 523626_524662
Guck . 525035_525355
da . 525860_526249
soll . 526249_526579
er . 526579_526735
rein . 526735_527492
ja . 530439_530896
jetz . 531799_532071
dann . 532071_532272
kann . 532272_532524
er . 532524_532647
nicht . 532647_532913
mehr . 532913_533101
raus . 533101_533826
das . 534652_534953
ist . 534953_535296
des . 535296_535542
Beste . 535542_536196
und . 539013_539291
dann . 539291_539512
hab . 540431_540625
ich . 540625_540826
was . 540826_541208
anderes . 541208_542290
gutes . 542290_543229
nicht . 544356_544656
da . 544656_544925
nehm . 544925_545295
wir . 545295_545647
da . 546046_546648
des . 546648_547451
einfach . 548915_549633
des . 550627_551194
ja . 553940_554442
Mama . 557392_557793
ich . 557793_557948
mag . 557948_558324
bisschen . 558324_558894
mehr . 558894_559755
ja . 563777_564373
der . 564865_565059
Eisbär . 565059_565894
hat . 565894_566335
noch . 566335_566678
nichts . 566678_567345
die . 581644_581806
müssen . 581806_582214
wirs . 582214_582544
aufgegessen . 582544_583509
werden . 583509_584124
wir . 586063_586196
müssen . 586196_586617
die . 586617_586786
ganzen . 586786_587407
aufgegessen . 587407_588508
werden . 588508_589123
ja . 597425_597795
ja . 622228_623316
und . 623549_623756
des . 623756_624061
auch . 624061_624533
weg . 624533_625071
Dooba . 630044_630485
der . 638444_638657
Dooba . 638657_639493
Dobaa . 640529_641144
Miidano . 643793_644524
Midanoo . 646143_646642
Namii . 648797_649317
und . 651123_651259
Naami . 651259_651709
Biimo . 653784_654329
Bimoo . 655556_656006
Badonii . 659034_659769
und . 661996_662242
Baadoni . 662242_663266
tschüss . 665079_668317
