# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/Parents/BL/ADBL6011.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
darf . 13314_13570
ich . 68059_68226
der . 68365_69092
Baadoni . 69652_70744
und . 72714_72894
der . 72894_73310
ist . 73310_73548
der . 73548_74110
Badonii . 74513_75261
und . 77163_77306
dann . 77306_77486
haben . 77486_77644
wir . 77644_77756
noch . 77756_77919
die . 77919_78007
Bären . 78007_78471
die . 78471_78578
verwechsel . 78578_79118
ich . 79118_79269
immer . 79269_79473
da . 79473_79568
muss . 79568_79809
ich . 79809_79875
spickeln . 79875_80337
des . 81986_82134
ist . 82134_82271
der . 82271_82458
Biimo . 82458_83214
der . 83871_84000
Braunbär . 84000_84635
und . 85980_86116
das . 86116_86291
ist . 86291_86437
der . 86437_86607
Bimoo . 86607_87087
und . 89200_89898
der . 89898_90027
fällt . 90027_90263
immer . 90263_90429
um . 90429_90538
und . 91839_91988
das . 91988_92197
ist . 92197_92357
der . 92357_92554
Miidano . 92554_93756
und . 94340_94454
das . 94454_94756
ist . 94756_94924
der . 94924_95045
Midanoo . 95045_95735
alles . 98962_99255
gemerkt . 99255_99777
Naami . 110355_110752
Dobaa . 117143_117645
natürlich . 121929_122606
der . 126967_127161
sitzende . 127161_127593
Braunbär . 127593_128050
ist . 128050_128184
Biimo . 128184_128705
Bimoo . 133787_134184
gut . 152233_152535
dann . 152651_152871
sag . 152871_153091
ich . 153091_153238
die . 153238_153337
Namen . 153337_153635
einfach . 153635_154010
nochmal . 154010_154416
in . 155321_155455
der . 155455_155580
gleichen . 155580_155956
Reihenfolge . 155956_156594
wie . 156594_156767
eben . 156767_157068
das . 157672_157823
ist . 157823_158043
das . 158043_158263
Naami . 158263_158962
und . 159458_159596
das . 159596_159855
Namii . 159855_160325
das . 161326_161490
ist . 161490_161689
der . 161689_161827
Dooba . 161827_162538
und . 162996_163172
der . 163172_163341
Dobaa . 163341_163763
der . 165006_165446
Adler . 165718_166240
mit . 166240_166412
den . 166412_166580
ausgebreiteten . 166580_167857
Schwingen . 167857_168383
heisst . 168383_169018
Baadoni . 169583_170592
der . 171623_171882
andere . 171882_172223
ist . 172223_172438
Badonii . 172438_173180
und . 173733_173871
dann . 173871_174013
gibst . 174013_174380
den . 174380_174565
Braunbären . 174565_175799
das . 175799_176023
ist . 176023_176235
der . 176235_176390
Biimo . 176390_177071
und . 177817_177911
der . 177911_178033
Eisbär . 178033_178612
ist . 178612_178763
der . 178763_178911
Bimoo . 178911_179410
und . 180366_180587
der . 180587_180898
grosse . 180898_181548
Tiger . 181548_182095
ist . 182095_182392
der . 182392_182788
Miidano . 183045_183944
und . 184515_184608
der . 184608_184793
kleine . 184793_185206
Tiger . 185206_185661
ist . 185661_186006
der . 186006_186116
Midanoo . 186116_187047
ja . 192070_192184
ich . 192184_192350
mach . 192350_192535
das . 192535_192700
nicht . 192700_192831
zum . 192831_193036
ersten . 193036_193415
Mal . 193415_193578
wir . 197071_197205
können . 197205_197397
jetzt . 197397_197603
noch . 197603_197706
spielen . 197706_197971
mein . 197971_198095
rechter . 198095_198406
rechter . 198406_198771
Platz . 198771_199124
ist . 199124_199270
leer . 199270_199510
gut . 209955_210300
als . 210492_210721
was . 210721_210908
soll . 210908_211076
ich . 211076_211215
kommen . 211215_211533
genau . 227518_227913
Biimo . 232652_233037
immernoch . 234137_234592
Biimo . 234682_234971
Midanoo . 239743_240359
nein . 246004_246371
Bimoo . 246944_247400
Bimoo . 252829_253209
des . 259740_259908
ist . 259908_260016
völlig . 260016_260391
unlogisch . 260391_261030
Naami . 275103_275522
Dobaa . 280410_280759
echt . 290415_290898
von . 290898_291200
wem . 291200_291411
abgelehnt . 291411_292063
genau . 307150_307871
Miidano . 309775_310416
Namii . 313863_314338
Badonii . 318191_318820
genau . 318967_319485
Baadoni . 322798_323467
Mensch . 323898_324114
bist . 324222_324416
gut . 324416_324770
perfekt . 328049_328692
gut . 331733_332091
wenns . 332359_332596
euch . 332596_332889
reicht . 332889_333334
