# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/RL/RL6061.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
soll . 6023_6209
sagst . 394548_395055
ja . 397827_398377
ja . 399390_399668
Biimo . 406388_407172
Bimoo . 412315_413501
Miidano . 425876_426507
hab . 426507_426779
ich . 426779_426951
dir . 426951_427076
gesagt . 427076_428228
Biidano . 429184_430316
Miidano . 431808_432687
der . 434078_434222
heißt . 434222_434418
doch . 434418_434657
Miidano . 434657_435288
Midanoo . 444575_446042
der . 447658_447849
kommt . 447849_448658
hier . 448839_449207
hin . 449207_449407
Naami . 461730_462461
hab . 462461_462643
ich . 462643_462815
gesagt . 462815_463723
nein . 466486_466811
doch . 468838_469254
doch . 470224_470453
wir . 470453_470559
geh . 470559_470697
gehn . 471070_471209
raus . 471209_471534
Naami . 473723_474426
hab . 474426_474622
ich . 474622_474779
gesagt . 474779_475649
ist . 476992_477184
doch . 477184_477365
richtig . 477365_477905
geh . 477905_478130
Namii . 480745_481882
Biimo . 489697_490352
Bimoo . 495529_496198
Biimo . 499802_500897
Bimoo . 501666_502326
Bimoo . 504087_505070
Bimoo . 507460_508473
Biimo . 513726_514448
gut . 521924_522320
in . 522865_522961
mein . 522961_523209
Mikrofon . 523209_523955
Dooba . 525389_526369
Dobaa . 537406_537994
Badonii . 547525_548390
ich . 557132_557261
tus . 557261_557520
in . 557520_557673
mein . 557673_557940
Baadoni . 562830_563786
wieso . 566673_566931
hört . 567500_567777
man . 567777_567983
des . 567983_568260
nicht . 568260_568480
so . 568480_568666
genau . 568666_569364
ähm . 585052_585960
der . 591667_591806
Midanoo . 591806_592958
ich . 592958_593197
weiß . 593197_593842
es . 593842_594573
Midanoo . 596136_597355
Midanoo . 602432_604105
Miidano . 607365_608392
Miidano . 611375_612336
Namii . 624008_625131
Naami . 628745_629797
das . 632961_633143
ich . 633143_633415
immer . 633711_634027
so . 634027_634299
Naami . 634634_635504
der . 639438_639791
Baadoni . 644461_645398
Badonii . 649270_650164
den . 657922_658108
muss . 658108_658290
ich . 658290_658438
mal . 658438_658787
aufs . 658787_659078
weiße . 659078_659456
setzen . 659456_659858
weil . 660259_660345
des . 660345_660627
ist . 660627_660737
Eis . 660737_661459
dann . 663289_663514
ist . 663514_664088
wie . 664322_664365
heißt . 664365_664709
der . 664709_664829
wie . 666736_666784
heißt . 666784_667047
der . 667047_667214
Mama . 667214_667816
Bimoo . 682572_683169
Biimo . 692050_693030
ähm . 701782_702289
des . 702552_702781
weiß . 702781_703020
ich . 703020_703173
nimmer . 703173_703665
Dobaa . 706031_706486
ich . 709115_709220
habs . 709220_709492
gesagt . 709492_710223
Dobaa . 712264_713545
Dobaa . 719879_720792
Dooba . 723187_723947
nicht . 732096_732264
so . 732264_732474
gross . 732474_733062
doch . 736350_736690
oder . 738162_738463
doch . 747206_747808
we . 748520_748769
Herr . 748955_749361
Eisbär . 749361_750456
Dobaa . 756493_757320
Braunbär . 772015_772568
Braunbär . 778892_780005
nicht . 785808_786009
so . 786009_786205
ganz . 786205_787194
ich . 793217_793509
find . 793509_793982
lieber . 793982_794403
schöner . 794403_795067
Bimoo . 795655_796802
nein . 808728_809110
hi . 809110_809483
ja . 810473_810578
gut . 810578_811123
Midanoo . 812169_813450
ist . 814956_815085
des . 815085_815257
der . 815257_815391
Kleine . 815391_816012
mag . 818880_819115
von . 819115_819315
allen . 819315_819683
den . 819683_819913
Kleinen . 819913_820706
mag . 821777_822116
den . 822116_822408
braun . 822408_823058
den . 823938_824459
kleinen . 824459_824822
Pinguin . 824822_826117
und . 826963_827317
den . 827317_827523
kleinen . 827523_827805
Adler . 827805_828866
und . 828866_828976
den . 828976_829109
kleinen . 829109_829461
Tiger . 829461_830414
und . 830849_830901
den . 830901_831131
den . 831402_831758
kleinen . 831758_832972
den . 834439_834649
Biber . 834649_836289
und . 839315_839463
tschüss . 839463_840003
und . 841370_841458
den . 841458_841695
tschüss . 841695_842149
mag . 842149_842589
ich . 842589_842708
nämlich . 843024_843354
des . 843354_843812
Namii . 846743_848081
Naamii . 850347_850767
Naaami . 854300_855366
aber . 856537_856699
die . 856699_856771
ist . 856771_856895
auch . 856895_857144
noch . 857144_857364
schau . 857846_858037
mal . 858037_858315
du . 858315_858420
bis . 858420_858683
größer . 858683_859405
du . 860370_860437
bis . 860437_860552
eine . 860552_860681
grössere . 860681_861273
Mama . 861273_861646
und . 861646_861799
ich . 861799_861914
auch . 861914_862330
und . 864610_864658
ich . 864658_864839
bin . 864839_865265
viel . 865939_866278
grösser . 866278_866904
als . 866904_867320
als . 868319_868611
der . 868611_868821
kleine . 868821_869366
Pinguin . 869366_870250
noch . 870953_871063
viel . 871063_871340
grösser . 871340_871713
weil . 871713_871847
schau . 871847_872009
mal . 872009_872220
wenn . 873003_873214
der . 873214_873305
kleine . 873305_873696
Pinguin . 873892_874337
steht . 874337_874715
schau . 874939_875159
mal . 875159_875432
reicht . 878018_878443
ja . 878443_878562
nur . 878562_878811
bis . 878811_879083
zu . 879461_879638
meiner . 879638_880384
Hose . 880943_882004
ähm . 895082_896219
ich . 897070_897233
weiß . 897233_897596
es . 897596_897845
nicht . 897845_898045
Biimo . 901162_901692
Bimoo . 907624_908523
ich . 921338_921462
kanns . 921462_921787
wieder . 921787_922117
mano . 923259_923900
wieso . 923900_924325
hier . 924784_924980
drauf . 924980_925391
drücken . 925391_925841
oder . 925927_926328
Biimo . 946232_947160
also . 952264_953167
ich . 954678_954836
weiß . 954836_955266
es . 955266_955553
nicht . 955553_956145
mehr . 956145_956504
Dobaa . 965767_966618
Dooba . 967345_967909
au . 972187_972478
au . 973993_974070
ähm . 977626_978687
nein . 981026_982425
ich . 982635_982769
weiß . 982769_983051
es . 983051_983133
nicht . 983133_983400
meins . 983649_983867
auch . 983867_984117
da . 984117_984275
hinlegen . 984275_984901
Tisch . 985906_986316
meins . 988563_988797
auch . 988797_989098
aufn . 989098_989380
Tisch . 989380_989676
legen . 989676_990001
war . 997138_997391
aber . 997391_997645
mal . 997645_998108
schon . 998108_998553
ganz . 998553_999007
viel . 999007_999303
mit . 999303_999714
aa . 1000292_1000388
wo . 1000388_1000531
ist . 1000531_1000704
es . 1000704_1000981
doch . 1002568_1002788
ähm . 1007730_1008390
also . 1009606_1010694
wie . 1013213_1013404
heißen . 1013404_1014059
die . 1014059_1014233
Tiger . 1014233_1016133
am . 1016133_1016688
ich . 1020536_1020656
überleg . 1020656_1021415
ich . 1033981_1034163
habs . 1034163_1034923
vergessen . 1034923_1036113
ich . 1041658_1041820
weiß . 1041820_1042227
es . 1042227_1042423
an . 1042423_1042700
nicht . 1042700_1043422
aber . 1056758_1056839
wir . 1056839_1056967
kriegens . 1056967_1057489
ja . 1057489_1057689
immer . 1058101_1058421
wieder . 1058421_1058966
geh . 1058966_1059396
