# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/ED/ED6011.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
also . 14032_14636
Baadoni . 277285_278510
m . 288628_288854
wie . 288854_288934
heisst . 288934_289275
der . 289275_289415
nochmal . 289415_290244
Biimo . 292462_293816
Biimo . 294444_295608
oh . 295682_295798
Bimoo . 297238_297733
ah . 308542_309261
wie . 311790_311942
heisst . 311942_312346
der . 312346_312533
nochmal . 312533_313335
wie . 317666_317849
heisst . 317849_318008
der . 318008_318133
nochmal . 318133_318792
wie . 321080_321143
heisst . 321143_321424
nochmal . 321530_322891
Biimo . 325022_325695
Bimoo . 326922_327498
wenn . 339825_340085
du . 340085_340284
nicht . 340284_340605
sagst . 340605_342060
ähm . 343946_345092
Biimo . 345184_346230
Bimoo . 346708_347428
Midanoo . 348232_349713
und . 350798_351054
Miidano . 351054_352197
Naami . 352935_354176
und . 354460_355348
mh . 356704_356966
Namii . 357339_357777
und . 358924_359251
Naami . 359251_360515
wie . 361455_361559
heisst . 361559_361836
der . 361836_361951
nochmal . 361951_362566
da . 362566_362696
muss . 362696_362968
ich . 362968_363113
spickeln . 363113_363798
Dooba . 369119_370201
und . 370738_371146
Dobaa . 371146_371765
und . 373761_374193
Adler . 381396_382258
Baadoni . 384748_385580
und . 385872_386068
Badonii . 386068_386807
kann . 387989_388233
ich . 388233_388381
jetzt . 388381_388683
spielen . 388683_389599
des . 390119_390505
große . 390505_391281
ja . 392669_392900
und . 392900_393144
den . 393144_393365
Zirkus . 393365_394253
nein . 396428_397558
doch . 399776_400375
doch . 402372_402837
sonst . 403570_403818
kann . 403818_403992
ich . 403992_404090
nicht . 404090_404428
ich . 405799_406084
möchte . 406084_406874
die . 406874_407120
Vordere . 407120_408538
ja . 409159_409476
die . 409608_409820
aber . 413088_413438
nicht . 413438_413939
ganz . 413939_415881
sososososo . 417340_420178
okay . 420755_421780
ich . 427476_427606
kann . 427606_427919
gar . 427919_428114
nicht . 428114_428281
spielen . 428281_429179
tinst . 429556_430072
so . 431808_433162
nach . 433162_433539
vorne . 433539_434554
aber . 436623_436793
dann . 436793_437051
kann . 437051_437302
ich . 437302_437397
nicht . 437397_437669
richtig . 437669_438091
spielen . 438091_438575
bitte . 438575_438977
schön . 438977_439441
stzo . 441596_442785
aber . 451399_451682
ich . 451682_451856
mag . 451856_452187
mit . 452187_452449
dem . 452449_452871
spielen . 452871_453326
nur . 453326_453571
mit . 453571_453899
dem . 453899_454432
und . 455885_456019
alle . 456019_456376
Tiere . 456376_456875
raus . 456875_457515
da . 457515_458024
kann . 458539_458753
ich . 458753_458854
alle . 458854_459227
Tiere . 459227_459737
raus . 459737_460558
ja . 464474_464952
das . 465194_465397
kann . 465397_465697
man . 465697_466162
s . 470248_470395
kann . 470395_470776
man . 470776_471359
hey . 474001_474403
wer . 474403_474558
hat . 474558_474789
des . 474789_474969
denn . 474969_475240
so . 475240_475384
fest . 475384_475797
drangemacht . 475797_476862
jetzt . 477672_478090
da . 479135_479252
ist . 479252_479359
nur . 479359_479565
der . 479565_479756
Elefant . 479756_480904
drin . 480904_481286
alles . 481844_482169
raus . 482169_482911
und . 483415_483579
den . 483579_483795
Zirkus . 483795_484973
so . 485577_485839
in . 486037_486210
Zirkus . 486210_487120
und . 494168_494328
der . 494328_494499
Peitscher . 494499_495713
der . 496841_497155
bleibt . 497155_497629
da . 497629_497922
drin . 497922_498471
