# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/AD/AD6021.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
guten . 1930_2303
haben . 72936_73110
dazu . 73110_73423
eine . 73423_73522
Klatsche . 73522_74090
Fliege . 82130_83251
genau . 83320_83944
eine . 84420_84750
Fliege . 84750_85501
und . 85850_86020
was . 86020_86210
siehst . 86210_86559
du . 86559_86641
hier . 86641_87210
genau . 90320_90930
und . 90930_91042
die . 91042_91150
stehen . 91150_91540
auf . 91540_91719
einem . 91719_92080
Flughafen . 92080_93170
und . 94420_94590
was . 94590_94830
ist . 94830_94999
da . 94999_95170
witziges . 95170_96000
eine . 97670_97980
Tomate . 97980_99300
und . 101130_101420
das . 101420_102120
eine . 104630_105010
Eisenbahn . 105060_106518
und . 108030_108367
das . 108367_109070
na . 110370_110690
was . 110690_110982
fürn . 110982_111199
Vogel . 111199_111826
Papa . 113835_114386
Papagei . 114760_115640
genau . 117104_117865
ja . 120934_121559
und . 121559_121817
des . 121890_122120
ist . 122120_122400
ein . 122480_122701
Berg . 122701_123230
aus . 123230_123450
dem . 123450_123700
Feuer . 123700_124155
kommt . 124155_124694
und . 125013_125181
wie . 125181_125314
heissen . 125314_125668
diese . 125668_125917
Berge . 125917_126252
dann . 126252_126549
Vulkan . 128487_129461
und . 130791_131022
des . 131022_131527
ein . 132650_132838
Paket . 132838_133774
genau . 135910_136612
schau . 136612_136910
mal . 136910_137210
was . 137800_138010
ist . 138010_138170
des . 138170_138585
dann . 139410_139602
tu . 139602_139790
des . 139790_139964
mal . 139964_140043
auf . 140043_140170
die . 140170_140313
andere . 140313_140640
Eisenbahn . 140640_141253
drauf . 141253_141719
und . 145210_145429
des . 145429_146054
genau . 148580_149284
und . 150570_150806
hier . 150806_151112
haben . 151112_151328
wir . 151328_151443
nochmal . 151443_151919
einen . 151919_152337
genau . 154804_155578
und . 156165_156411
hier . 156411_156658
ist . 156658_156934
ein . 156934_157290
super . 158940_159427
bist . 159427_159726
du . 159726_160054
das . 160119_160430
ist . 160430_160694
ein . 160694_161040
Spiegel . 162718_164202
und . 165910_166157
hier . 166157_166347
ist . 166347_166531
nochmal . 166531_166927
ein . 166927_167261
Flughafen . 169589_170830
Flughafen . 172589_173342
auf . 173342_173520
Flughafen . 173520_174256
was . 174256_174474
ist . 174474_174603
das . 174603_175187
genau . 177124_177887
was . 178841_179088
ist . 179088_179293
das . 179293_179824
ein . 181090_181433
Postauto . 181433_182859
und . 184430_184675
hier . 184675_184980
ist . 184980_185281
eine . 185281_185860
ne . 190722_191199
das . 191199_191450
ist . 191450_191580
eine . 191580_191870
Kanone . 191870_192770
na . 193502_193690
da . 193690_193847
wird . 193847_194134
eine . 194134_194328
Kanonenkugel . 194328_195428
abgeschossen . 195428_196359
und . 197570_197770
das . 197770_198135
ist . 198135_198440
ein . 198440_198860
genau . 201650_202150
und . 202150_202287
zwar . 202287_202580
ein . 202580_202747
spezieller . 202747_203371
Affe . 203371_203655
der . 203655_203808
heißt . 203808_204119
Gorilla . 204119_204670
was . 205600_205786
siehst . 205786_206120
du . 206120_206245
hier . 206245_206671
und . 208800_208950
wer . 208950_209070
sitzt . 209070_209361
auf . 209361_209516
dem . 209516_209729
Pferd . 209729_210231
genau . 213740_214423
na . 217770_217960
die . 217960_218080
machen . 218080_218520
einen . 218520_218793
Ausritt . 218793_219390
was . 220020_220260
ist . 220260_220410
da . 220410_220937
ein . 222640_222900
Matrose . 222900_223680
und . 226080_226274
was . 226274_226475
siehst . 226475_226761
du . 226761_226912
hier . 226912_227387
na . 230299_230681
so . 230770_230905
was . 230905_231147
hat . 231147_231342
die . 231342_231662
Louisa . 231801_232763
und . 232763_232992
die . 232992_233291
Valerie . 233716_234550
zum . 235180_235426
Schwimmen . 235426_236020
zum . 236020_236317
Baden . 236317_236928
genau . 239529_239964
ein . 239964_240184
Bikini . 240184_241144
genau . 243666_244411
so . 246570_247076
und . 247076_247262
das . 247262_247494
ist . 247494_247719
eine . 247719_248174
und . 249414_249632
hier . 249632_249759
haben . 249759_250005
wir . 250005_250125
nochmal . 250125_250585
eine . 250585_251073
super . 253406_253945
und . 254960_255142
des . 255142_255325
kennst . 255325_255686
du . 255686_255765
inzwischen . 255765_256336
auch . 256336_256752
na . 259280_259643
was . 259750_259964
hatten . 259964_260241
wir . 260241_260428
hier . 260428_260631
gerade . 260631_261254
genau . 265210_266340
Bikini . 266567_267353
und . 267684_267936
des . 267936_268156
hatten . 268156_268433
wir . 268433_268576
auch . 268576_269466
genau . 272480_273071
eine . 273071_273365
Kanone . 273365_274208
und . 275592_275844
des . 275844_276165
ist . 276165_276479
genau . 276887_277749
des . 278570_278836
ist . 278836_279289
jawoll . 282674_283360
ja . 284584_284859
super . 284859_285595
des . 289663_290011
wüsst . 290011_290394
ich . 290394_290523
auch . 290523_290785
nicht . 290785_290978
wenns . 290978_291230
nicht . 291230_291380
drunter . 291380_291818
stünde . 291818_292374
des . 292670_292870
ist . 292870_293020
ein . 293020_293219
Kobold . 293219_294062
hier . 296471_296669
haben . 296669_296854
wir . 296854_296992
nochmal . 296992_297620
die . 300956_301124
Polizisten . 301124_302333
des . 303768_304110
ist . 304110_304381
ein . 304381_304800
so . 306920_307186
ähnlich . 307186_307621
ein . 307621_307900
Saxofon . 307900_308909
und . 311701_311884
des . 311884_312069
ist . 312069_312257
nochmal . 312257_312682
eine . 312682_313150
genau . 315520_316357
und . 321092_321292
des . 321292_321550
ist . 321550_321784
ein . 321784_322160
ein . 325500_325735
Postauto . 325735_326934
und . 327090_327322
das . 327322_327566
ist . 327590_327808
ein . 327808_328179
ein . 333520_333885
Müllauto . 333885_335378
ein . 335378_335615
Muellwagen . 335615_336792
der . 338152_338573
Matrose . 339291_340547
was . 343580_343861
ist . 343861_344020
des . 344020_344625
ein . 346692_346890
Radfahrer . 346890_348095
und . 350470_350673
des . 350673_350928
ist . 350928_351182
ein . 351182_351485
nein . 352339_352842
ein . 352842_353182
Spiegel . 353182_354132
da . 354909_355052
hatten . 355052_355370
wir . 355370_355455
schonmal . 355455_355899
einen . 355899_355976
Spiegel . 355976_356636
ne . 356636_356954
und . 358370_358575
des . 358575_358760
ist . 358760_358910
eine . 358910_359410
Kokosnuss . 360920_362320
des . 364660_364888
ist . 364888_365080
nochmal . 365080_365505
eine . 365505_365995
eine . 370080_370480
Malerin . 370480_371349
und . 373580_373770
den . 373770_374050
hatten . 374050_374322
wir . 374322_374458
auch . 374458_374770
schon . 374770_375140
den . 375140_375320
Freund . 375320_376043
super . 376911_377390
des . 378589_378846
kennst . 378846_379271
du . 379271_379369
auch . 379369_379963
jawohl . 381908_382682
und . 382739_382902
des . 382902_383117
ist . 383117_383320
eine . 383320_383760
genau . 385270_385790
und . 386070_386215
des . 386215_386450
ist . 386450_386610
nochmal . 386610_387200
und . 388679_388861
des . 388861_389106
ist . 389106_389265
nochmal . 389265_389698
ein . 389698_390090
genau . 395965_396550
und . 400130_400297
des . 400297_401035
des . 405476_405620
hatten . 405620_405899
wir . 405899_406040
noch . 406040_406261
nicht . 406261_406549
ja . 414540_415090
soll . 415700_415870
ich . 415870_415968
dir . 415968_416140
helfen . 416140_416590
ein . 417210_417452
Wohnwagen . 417452_418373
den . 420220_420504
hatten . 420504_420836
wir . 420836_420980
schonmal . 420980_421540
und . 424580_424818
des . 424818_425000
ist . 425000_425253
ein . 425253_425686
nein . 427150_427760
ein . 428630_429010
Paket . 429200_430672
und . 432306_432452
des . 432452_432699
ist . 432699_432913
ein . 432913_433300
nein . 435550_436150
ja . 440630_440821
super . 440821_441671
der . 443450_443910
Wohnwagen . 446780_448019
oi . 449270_449510
was . 449510_449740
ist . 449740_449887
denn . 449887_450006
des . 450006_450420
ja . 453964_454616
und . 454920_455101
weiss . 455101_455403
du . 455403_455474
auch . 455474_455643
was . 455643_455911
des . 455911_456053
ist . 456053_456446
eine . 457330_457643
Pistole . 457643_458933
den . 463977_464190
hatten . 464190_464479
wir . 464479_464650
schonmal . 464650_465311
genau . 467770_468505
des . 469130_469368
ist . 469368_469622
ein . 469622_469915
Müllwagen . 473945_475005
der . 475129_475521
die . 478779_479206
genau . 490130_490950
und . 490950_491151
des . 491151_491524
jawohl . 492394_493260
der . 497280_497469
Kobolt . 497469_498158
des . 498339_498537
doch . 498537_498716
Pumuckl . 498716_499177
ne . 499177_499515
den . 499580_499799
erkennen . 499799_500190
wir . 500190_500397
der . 501151_501327
Pumuckel . 501327_502098
dann . 503817_504094
ist . 504094_504308
des . 504308_504999
okay . 509931_510441
und . 510441_510624
was . 510624_510859
ist . 510859_511000
des . 511000_511645
Trampolin . 513173_513760
und . 513760_513920
des . 513920_514225
hier . 514225_514460
war . 514460_514650
des . 514650_514866
Saxofon . 515130_516173
ne . 516270_516480
spielt . 516524_516842
die . 516842_516917
Tante . 516917_517250
Sonja . 517281_517780
macht . 518744_518990
ihr . 518990_519061
bitte . 519061_519310
zu . 519310_519611
spielt . 519829_520138
die . 520138_520236
Tante . 520236_520540
Sonja . 520540_521017
ne . 521440_521706
okay . 522880_523450
okay . 525285_525860
jetzt . 526621_526824
haben . 526824_526995
wir . 526995_527094
die . 527094_527243
uns . 527243_527508
einmal . 527508_527976
angeschaut . 527976_528862
halt . 529031_529289
halt . 529289_529665
halt . 529665_529975
halt . 529975_530500
und . 531110_531345
beim . 531345_531528
nächsten . 531528_532350
Mal . 532350_532823
ähm . 533780_534035
spielen . 534035_534370
wir . 534370_534449
damit . 534449_534760
mal . 534760_534903
Memory . 534903_535573
okay . 536167_536651
na . 538082_538302
weil . 538302_538493
das . 538493_538693
die . 538693_538784
Britta . 538784_539140
uns . 539140_539380
als . 539380_539650
Aufgabe . 539650_540186
gestellt . 540186_540750
hat . 540750_541000
wir . 541413_541590
fangen . 541590_541860
mit . 541860_542015
Klatschmemory . 542015_542893
an . 542893_543288
und . 543580_543810
spielen . 543810_544280
dann . 544280_544636
richtiges . 544636_545211
Memory . 545211_545848
ne . 546165_546492
erstmal . 547138_547503
so . 547503_547620
zum . 547620_547925
Üben . 547925_548300
damit . 548300_548590
du . 548590_548722
dir . 548722_548950
die . 549420_549550
Bilder . 549550_549999
anschaust . 549999_550829
und . 550829_551115
n . 551115_551172
bischen . 551172_551526
kennen . 551526_551824
lernst . 551824_552360
so . 552860_552994
pass . 552994_553248
mal . 553248_553367
auf . 553367_553536
wärend . 553536_553890
ich . 553890_554000
das . 554000_554159
einräume . 554159_554820
kannst . 555130_555410
du . 555410_555490
mal . 555490_555610
gucken . 555610_556020
ob . 556020_556222
alle . 556222_556426
unsere . 556426_556767
Tierfreunde . 556767_557481
da . 557481_557778
sind . 557778_558160
machst . 558213_558540
du . 558540_558626
des . 558626_559024
