# language_name_wals:	Gooniyandi
# language_name_glotto:	Gooniyandi
# iso639_3:	gni
# year_composed:	1982
# year_published:	1984
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	vowel length is indicated by ":", and "..." indicates a pause. Up and down arrows, as well as so-called en dashes (↑↓–) are used for rising, falling and level tones respectively.
# short_description:	Citing from McGregor (1984), p. 471: "This text was recorded 'on site', at a waterhole on the Fitzroy River, where the events described took place. It tells of a hunting trip the speaker had gone on with two friends a number of years previously. (If, as is likely, the place referred to in line (79) is the Fitzroy Crossing ration station, the events must have occurred sometime between end of the Second War and 1951 - v. Kolig 1981:23). This story was told by Jack Bohemia in 1982."
# source:	McGregor, William B. (1984). A Grammar of Kuniyanti: An Australian Aboriginal language of Southern Kimberley, Western Australia. PhD thesis submitted to the University of Sydney.
# copyright_short:	Copyright and use of this thesis must be used in accordance with the provisions of the Copyright Act 1968.
# copyright_long:	Reproduction of material protected by copyright may be an infringement of copyright and copyright owners may be entitled to take legal action against persons who infringe their copyright. Section 51 (2) of the Copyright Act permits an authorized officer of a university library or archives to provide a copy (by communication or otherwise) of an unpublished thesis kept in the library or archives, to a person who satisfies the authorized officer that he or she requires the reproduction for the purposes of research or study. The Copyright Act grants the creator of a work a number of moral rights, specifically the right of attribution, the right against false attribution and the right of integrity. You may infringe the author’s moral rights if you: - fail to acknowledge the author of this thesis if you quote sections from the work; - attribute this thesis to another author;  subject this thesis to derogatory treatment which may prejudice the author’s reputation. For further information contact the University’s Copyright Service. sydney.edu.au/copyright
# sample_type:	whole
# comments:	Citing from McGregor (1984), p. 471: "The texts are divided into tone units, indicated by slashes, and sentences, which correspond to the numbered lines." Underlining is used in the original texts for stressed syllables, this is not provided here. In glosses, white spaces are removed between stems and morphological markers, in order to get the word-to-gloss alignments which in the original texts are provided by tabs, e.g. "this -LOC" is given as "this-LOC" here. Additionally, a white space is replaced by a dot if two separate glosses refer to the same orthographic word in the Goonyiandi text, e.g. "pakiyirri↑" corresponds to "we lay" coded as "we.lay". Note that, unfortunately, the glosses are often incomplete in the sense that a word which has been glossed before is left unglossed when it appears again, e.g. "wantajpirrayi" in sentence (8) and (9). In such cases, we add an underscore "_" to the glossed line to indicate that there is a gloss missing.

<line_1>	/ ngirntajiya walyarraya pakiyirri↑ / ngarlutu yuwulu pakiyirrirri↓ /
<line_36>	niyi wartji liya↓ /
<glossing>	he he.went west
<translation>	He went west .

<line_37>	niyajiyangka wirrpnga ngaarri- / jurranga↓ /
<glossing>	this-ABL he.threw.it stone he.chased.it
<translation>	From there he threw stones , and chased ( the roos ) .

<line_38>	ngiti ngirnta pilika warangjirriyi- / niyi ... lililuwa↑ / nganyi ngilingiliwa↓ /
<glossing>	we this middle we.sat he west.side I east.side
<translation>	We sat in the middle , him on the west end , me on the east .

<line_39>	warangjirri::↓ / milarla- / niyingka parawu nyakpini- / jakarrangka yuwulu jakarrangka↓ / nawunka pakiyirrinhi↓ / pamathitiya↓ /
<glossing>	_ I.saw.it he-ERG female.roo he.speared.it [subsection.term]-ERG man _-ERG bereaved we.lie-on.him Gogo-LOC
<translation>	We sat . I saw him spear a female kangaroo , the jakarra man , who we are bereaved of at Gogo .
<comment>	This is the first place in the text where the speaker attempts to establish the identity of one of the other hunters . This description identifies a recently deceased resident of Gogo-Bayulu - note that he is not named - v . Dixon 1980 : 28-29 .

<line_40>	nyakpini↑ / parawu↓ /
<glossing>	_ _
<translation>	He killed a female kangaroo .

<line_41>	nganyingka jawangari nyakluni↓ / nyamani↓ /
<glossing>	I-ERG male.roo I.speared.it big
<translation>	I speared a male kangaroo , a big one .

<line_42>	likayirrayi::- / niyi yanya yuwulu pijngarni↑ / yanya jakarranyali↓ /
<glossing>	we.waited that other man he.emerged other _-REP
<translation>	We waited for the other man to come , the other jakarra man .
<comment>	The information that the second of the two is also a jakarra man is non-defining .

<line_43>	wantajjirra:: ngirntajiyayu↓ /
<glossing>	we.carried.it this-ALL
<translation>	We carried them up to here .

<line_44>	niyajiya wupiyirrarri walyarraya- / purrungku↓ /
<glossing>	this-LOC we.cooked.it sand-LOC to.the.north
<translation>	We cooked ( the kangaroo ) here , on the sand , to the north .

<line_45>	wupiyirrarri:: wili↓ /
<glossing>	_ _
<translation>	We cooked them , O.K .

<line_46>	niyinhingi warangjirri↑ / kunyjirra:: kurlayirrarni↓ /
<glossing>	then we.sat we.waited we.lifted.it.out
<translation>	Then we sat ; we waited and lifted them out .

<line_47>	thikiyikiyirra kajkajpirrayi:: wili↓ /
<glossing>	little.pieces-ALL they.chopped.it.up _
<translation>	They chopped it up into little pieces .

<line_48>	mikamingirrangi↓ / ngirnta wartjawilawirrangi↓ / ngiwawu↓ / pulkawulkayu↓ / yanyangka jakarrangka mikamingirrangi↓ / pamathitiyirra↓ /
<glossing>	he.said-to.us this I'll.take.it-to.them to.south old.men-DAT other-ERG _-ERG he.said-to.us Gogo-ALL
<translation>	He said to us " I could take this to the old man at Gogo " , one of the jakarra men said .

<line_49>	yuwu wartpawirrangi↓ /
<glossing>	yes you'll.take.it-to.them
<translation>	" Yes , take it to them " ( we told him ) .

<line_50>	kajkajjinmi: pakiya takurrwinarrirri wili↓ / nyamani bag↓ /
<glossing>	we.chopped.it bag-LOC they.inserted.it _ big _
<translation>	We cut it up and put it into a bag , a big bag .

<line_51>	ngiwawu wantajmawu wartji↑ / ngiti ngirntajiyanyali warangjirri↓ /
<glossing>	to.south carry-INF he.went we this-LOC-REP we.sat
<translation>	He went south carrying it , while we stayed here still .

<line_52>	wartngawirrangi ngiwawu::- / pamathiti ... pijnga↓ /
<glossing>	he.took.it-to.them _ _ he.brought.it
<translation>	He took it south , and brought it to Gogo .

<line_53>	pulkawulka ngangpintirri↓ /
<glossing>	old.men he.gave.them
<translation>	He gave it to the old men .

<line_54>	niyajiya pakiyi↓ / mungaya parnkiyi↓ /
<glossing>	this-LOC he.lay morning he.returned
<translation>	He stayed the night , and returned next morning .

<line_55>	ngiti ngirntajiya pakiyirri↓ / likayirrayi↑ / pijngarni↓ /
<glossing>	we this-LOC we.lay we.(2).waited he.emerged
<translation>	We stayed here and waited until he arrived .

<line_56>	wawanyi↑ / wawanyi yawunjirra- / ngiyi ... ngu ... nguwawu↓ /
<glossing>	goanna _ we.belted.it south _ to.south
<translation>	We belted goannas to the south .

<line_57>	yawunjirra: wili↓ /
<glossing>	_ _
<translation>	We belted them , right .

<line_58>	nganyingka parawu↑ / karntiwirri nyaklunpini wanyjirriyurru↓ /
<glossing>	I-ERG female.roo two I.speared.them river.roos-DU
<translation>	Me , it was two female river kangaroos I speared .

<line_59>	parnkiyirra ngirntajiyayu↓ / ngaalu↓ / ngaalu riwiya niyi↓ /
<glossing>	we brought them back this -ALL sKade place -LOC that
<translation>	We brought them back here to the shade , over there .

<line_60>	[cough] / warangjirri↓ / wupiyirrarri wili↓ / ngapjirra::↓ /
<glossing>	_ _ _ we.ate.it
<translation>	We sat , cooked it and ate .

<line_61>	yuwarni pijngarni↑ / paplikajnhingi↓ / walkaboutju↓ / karntiwirri / karntiwirri↑ pijpirrarni↓ /
<glossing>	one he.emerged pub-ABL _-DAT two _ they.emerged
<translation>	Someone came up , from the pub , on walkabout - two , two came up .

<line_62>	ngangjirriti↑ / niyaji wanyjirri wantajpirrayi ngilayani↓ /
<glossing>	we.gave.them this river.roo they.carried.it from.east
<translation>	We gave them the roo and they carried it away west .

<line_63>	ngiti ngirntajiyanyali pakiyirri↓ / karrwaru parnkiwirri ngilayani↓ /
<glossing>	we this-LOC-REP we.lay afternoon they.returned _
<translation>	We stayed here , but in the afternoon they returned west .

<line_64>	kintiwa wartpirri:- / mayaruyirra↓ / ngila pi— /
<glossing>	upstream they.went house-ALL east
<translation>	They went upstream to town , east ...

<line_65>	ngiti ngirntiyanyali wampa pakiyirri wili↓ /
<glossing>	we this-LOC-REP still we.lay _
<translation>	We stayed there .

<line_66>	palyuwa↑ / wartjirri ngilangku↑ /
<glossing>	behind we.went to.east
<translation>	Then later we followed east .

<line_67>	ngilangku jukjinmi thithingka↓ / wanyjirri↓ /
<glossing>	_ we.hunted.it going-ERG river.roo
<translation>	We hunted river roos as we were going along east .

<line_68>	pitingka nyakpirrini↓ / parawu nyakpini↑ / parawu yanyangka nyakpini↑ / yaa karntiwirri parawu nyaklun- ... nyakpuntirni↓ /
<glossing>	they-ERG they.killed.it f.roo he.speared.it _ other-ERG _ yes two _ _ they.killed.them
<translation>	They killed some , one killed a female roo , the other killed a female roo ; yes they killed two female roos .

<line_69>	nganyi wartngi: marlami↓ / mangarri nyakkuwaluni↓ /
<glossing>	I I.went nothing not I.was.spearing.it
<translation>	I went along without luck , I speared nothing .

<line_70>	wartjirri kintiwa:↓ /
<glossing>	we.went upstream
<translation>	We went upstream .

<line_71>	bridge ngurru ngila pakilaari↓ / niyinhingingka mirnalukumirnaluku- / niyajiya nyakluni nganyingka yuwarni↓ /
<glossing>	_ that east it's.a.fact.it.lies that-ABL-ERG this.side-(reduplicated) this-LOC I.speared.it I-ERG one
<translation>	A little bit this side of the bridge , there I speared one .

<line_72>	kintiwa wartjirri yalawanyali↓ / bridgenhingingka kintiwaa- / niyajiya warangjirri ngaalu↓ /
<glossing>	upstream we.went close-REP _-ABL-ERG upstream.side this-LOC we.sat shade
<translation>	We went upstream a little way , and on the upstream side of the bridge we sat in the shade .

<line_73>	wupiyirrarri: wili↓ /
<glossing>	_ _
<translation>	We cooked ( the roos ) .

<line_74>	kintiwa↑ / karrwaru wartjirri:↓ / paplikajja pijjirrarni↓ /
<glossing>	_ afternoon we.went pub-LOC we.emerged
<translation>	Upstream , in the afternoon we went , and arrive at the pub .

<line_75>	niyinhingi pakiyirri- / piti / ngiti kintiwa marrajkanyali wartjirri↓ /
<glossing>	then _ _ we _ past-WA-REP we.went
<translation>	We went upstream right past ( the pub ) .

<line_76>	manyi ngangjinpirra niyajiya / japa manyi ngangjinpiti↓ /
<glossing>	food they.gave.us this-LOC supper _ they.gave.us
<translation>	They gave us food , supper there ( at the ration station ? )

<line_77>	ngapjirra wili↓ /
<glossing>	we.ate.it _
<translation>	We ate it .

<line_78>	kintiwa wartjirri↑ / ngila ... policestationjayu↓ / niyajiya pakiyirri↓ /
<glossing>	_ we.went east _-ALL _ _
<translation>	We went east to the policestation , where we stopped .

<line_79>	ngiti mayarurni↑ / nganyi mayaruyarni tiriplunti↓ / warrkumja↓ /
<glossing>	we house-SEQ _ house-TOC-SEQ I.entered work-LOC
<translation>	We , house now ... I went into the station to work .

<line_80>	yilpa warrkumjirri↓ / karntiwirrinyali tiripjirri ngiti karntiwirri↓ /
<glossing>	for.good we.worked two-REP we.entered _ _
<translation>	For good we worked , the two of us .

<line_81>	niyi yanya ngiwawu parnpinti↓ / pamathitiyirra↓ / ngiti yilpa warangjirri niyajiya↓ /
<glossing>	that other to.south he.returned _-ALL we for.good we.sat this-LOC
<translation>	The other one went south to Gogo , but we stopped there for good .
